N	2gram	Losev_Dial_2	OGranits
1	и в	19	13
2	и его	5	12
3	прежде всего	8	9
4	не может	9	8
5	и не	30	8
6	может быть	20	8
7	и их	3	7
8	точки зрения	12	7
9	и пр	5	7
10	таким образом	4	6
11	не только	19	6
12	то что	14	6
13	только в	5	6
14	мы должны	2	6
15	как бы	14	6
16	все же	4	5
17	с точки	8	5
18	но ведь	2	5
19	хотя бы	4	5
20	в поэзии	7	5
21	то же	12	4
22	тех пор	3	4
23	но мы	2	4
24	в своей	8	4
25	все это	4	4
26	в каждом	2	4
27	только и	2	4
28	было бы	3	4
29	но в	2	4
30	связана с	2	3
31	и уже	3	3
32	что в	7	3
33	никогда не	9	3
34	но и	12	3
35	так и	10	3
36	понятно что	2	3
37	что же	2	3
38	в их	2	3
39	не как	2	3
40	и все	12	3
41	в одном	4	3
42	самом деле	4	3
43	в ее	4	3
44	да и	6	3
45	тела и	5	3
46	как и	10	3
47	не в	8	3
48	за пределы	4	3
49	в которой	2	3
50	и то	7	3
51	одно и	4	3
52	в себе	15	3
53	в искусстве	2	3
54	говорить о	5	3
55	с этим	3	3
56	так как	14	3
57	не менее	3	2
58	уже в	4	2
59	самого начала	2	2
60	в нем	10	2
61	может иметь	3	2
62	ее в	2	2
63	сознания и	5	2
64	данном случае	2	2
65	а не	16	2
66	во времени	4	2
67	другой стороны	4	2
68	с другой	5	2
69	не на	2	2
70	в связи	4	2
71	собственно говоря	2	2
72	и должно	2	2
73	а в	4	2
74	с одной	2	2
75	все эти	2	2
76	вовсе не	13	2
77	есть не	7	2
78	в тех	2	2
79	с самого	2	2
80	к тому	2	2
81	и к	7	2
82	как в	2	2
83	в общем	2	2
84	в чем	3	2
85	в том	14	2
86	что иное	3	2
87	так же	2	2
88	том что	10	2
89	в зависимости	2	2
90	мы видим	2	2
91	с ними	2	2
92	в своих	2	2
93	в данном	3	2
94	зависимости от	2	2
95	что они	6	2
96	в этом	8	2
97	от этого	3	2
98	тем что	2	2
99	между тем	2	2
100	и следовательно	5	2
101	могут быть	4	2
102	при этом	4	2
103	к сожалению	2	2
104	нуждается в	3	2
105	не что	3	2
106	форм и	2	2
107	в другом	4	2
108	и может	6	2
109	несмотря на	2	2
110	того или	2	2
111	мы уже	8	2
112	в целях	3	2
113	в области	2	2
114	в самом	5	2
115	и при	2	2
116	между собою	3	2
117	в ней	2	2
118	иное как	3	2
119	явлений и	2	2
