N	3gram	Bakhtin_Pr_1	Formalny
1	с точки зрения	6	14
2	не может быть	11	14
3	на самом деле	3	12
4	то же время	3	7
5	в то же	3	7
6	и т п	13	5
7	с другой стороны	4	5
8	в данном случае	4	4
9	в самом деле	3	4
10	в большинстве случаев	5	4
11	то ни было	2	4
12	и не может	2	4
13	бы то ни	3	4
14	для того чтобы	2	4
15	в художественном произведении	4	3
16	то же самое	2	3
17	в этом отношении	2	3
18	в том что	3	3
19	по отношению к	19	3
20	точки зрения самого	2	2
21	в области познания	2	2
22	то или иное	2	2
23	так и в	2	2
24	и в то	2	2
25	тем не менее	3	2
26	в отличие от	5	2
27	может быть только	3	2
28	формы и содержания	2	2
29	в высшей степени	5	2
30	в этом смысле	3	2
31	не следует что	2	2
