N	2gram	Vygotskiy__4	Hudozhes
1	в качестве	21	19
2	состоит в	4	16
3	и не	8	16
4	в том	42	15
5	и в	20	15
6	не только	15	15
7	в частности	5	13
8	может быть	12	13
9	тогда как	2	13
10	при этом	12	12
11	а в	2	12
12	и его	5	12
13	но не	3	11
14	в этом	24	11
15	в себе	10	11
16	представляет собой	3	10
17	как бы	7	10
18	но и	9	10
19	так и	5	10
20	то же	16	10
21	а не	7	10
22	такого рода	6	9
23	в его	11	9
24	точки зрения	24	9
25	себя в	3	8
26	с другой	12	7
27	в отличие	2	7
28	отличие от	2	7
29	но в	3	7
30	в основе	17	6
31	что в	19	6
32	том что	35	6
33	не в	4	6
34	приводит к	3	6
35	не может	6	6
36	по своей	6	6
37	могут быть	7	5
38	а также	2	5
39	ни в	3	5
40	только в	10	5
41	тем самым	7	5
42	в самом	6	5
43	того что	10	5
44	в нем	2	5
45	то что	15	5
46	между ними	4	5
47	и т.п	2	5
48	другой стороны	9	5
49	в их	12	5
50	место в	2	4
51	в этих	3	4
52	прежде всего	2	4
53	к тому	6	4
54	а только	3	4
55	в ходе	4	4
56	и как	9	4
57	для него	2	4
58	еще не	2	4
59	и тем	8	4
60	в своей	7	4
61	со стороны	3	4
62	входит в	2	4
63	в слове	2	4
64	по пути	2	4
65	и то	10	4
66	сказать что	6	4
67	между тем	9	4
68	мы имеем	2	4
69	не знает	2	4
70	и т.д	2	4
71	как это	9	4
72	к которому	3	4
73	не менее	3	3
74	если бы	5	3
75	в отношении	10	3
76	это не	5	3
77	одного и	6	3
78	этом смысле	8	3
79	как уже	4	3
80	что он	6	3
81	и к	5	3
82	и того	5	3
83	по своему	4	3
84	того же	9	3
85	в свою	2	3
86	одно и	6	3
87	далеко не	2	3
88	к нему	2	3
89	как говорит	2	3
90	в целом	11	3
91	таким образом	25	3
92	как и	9	3
93	в той	2	3
94	и что	8	3
95	с точки	11	3
96	во всей	4	3
97	и для	4	3
98	в таком	2	3
99	их в	2	3
100	потому что	12	3
101	в данном	2	3
102	его в	6	3
103	в которой	3	3
104	в области	4	3
105	на деле	3	3
106	в виду	3	3
107	слова в	9	2
108	на этом	3	2
109	том числе	2	2
110	речь идет	5	2
111	и более	7	2
112	числе и	2	2
113	в нашем	4	2
114	тому что	4	2
115	в своем	4	2
116	роль в	4	2
117	идет о	3	2
118	свою очередь	2	2
119	слова не	3	2
120	одной стороны	9	2
121	говорит что	3	2
122	случае не	2	2
123	встречаются в	2	2
124	одной из	3	2
125	даже в	2	2
126	не является	5	2
127	как в	5	2
128	здесь не	2	2
129	а с	2	2
130	с одной	9	2
131	именно в	3	2
132	все эти	5	2
133	того чтобы	7	2
134	для того	5	2
135	так же	11	2
136	и на	6	2
137	в силу	6	2
138	между двумя	2	2
139	у него	2	2
140	но как	2	2
141	в этой	3	2
142	в равной	3	2
143	о том	5	2
144	и это	2	2
145	в чем	3	2
