N	2gram	Potebnia_M_3	formyVre
1	и в	30	46
2	в этом	10	22
3	прежде всего	3	14
4	и т	5	14
5	вовсе не	7	13
6	и его	4	12
7	только в	21	11
8	не только	21	11
9	т п	2	11
10	во время	2	10
11	в том	32	10
12	как бы	3	10
13	точки зрения	2	10
14	то есть	34	10
15	у него	2	9
16	не в	15	9
17	мы уже	2	9
18	вместе с	12	9
19	но и	19	9
20	и не	15	9
21	связи с	2	8
22	как и	10	8
23	в его	4	8
24	жизни и	2	8
25	то же	23	8
26	того чтобы	3	8
27	для того	4	8
28	потому что	46	8
29	из них	6	8
30	в них	5	7
31	в одном	2	7
32	может быть	28	7
33	то что	18	7
34	так и	11	7
35	и на	3	7
36	так сказать	2	7
37	и все	3	6
38	при этом	3	6
39	как мы	7	6
40	еще не	5	6
41	его в	3	6
42	все же	2	6
43	все это	4	6
44	те же	6	6
45	и наконец	2	6
46	так как	13	6
47	и с	2	6
48	в своем	5	5
49	с этим	6	5
50	в то	10	5
51	но не	7	5
52	он не	4	5
53	в нем	9	5
54	что в	17	5
55	в смысле	4	5
56	должно быть	5	5
57	место в	3	4
58	уже в	5	4
59	с этой	2	4
60	из этих	9	4
61	человека и	5	4
62	в образе	3	4
63	же время	5	4
64	с ним	6	4
65	же в	2	4
66	том что	18	4
67	так что	7	4
68	что они	2	4
69	в ряду	3	4
70	том же	2	4
71	в котором	4	4
72	его жизни	2	4
73	как в	10	4
74	человеческой жизни	3	4
75	а не	15	4
76	их в	2	4
77	в себе	16	4
78	о том	2	4
79	и самое	2	4
80	не было	4	3
81	прежде чем	2	3
82	себя и	4	3
83	та же	2	3
84	к этому	3	3
85	к тому	7	3
86	ему в	2	3
87	что он	6	3
88	и как	5	3
89	тем более	4	3
90	для него	9	3
91	том как	3	3
92	что и	13	3
93	слова и	5	3
94	отношение к	2	3
95	в форме	2	3
96	на нас	2	3
97	целый ряд	2	3
98	т д	3	3
99	таким образом	14	3
100	в их	2	3
101	уже не	6	3
102	того что	18	3
103	и даже	2	3
104	и по	4	3
105	а в	12	3
106	в которых	2	3
107	тем что	7	3
108	до того	4	2
109	не были	2	2
110	по своему	2	2
111	и есть	3	2
112	и та	2	2
113	говорить о	3	2
114	на котором	2	2
115	с другой	7	2
116	что все	3	2
117	по себе	16	2
118	можно сказать	3	2
119	все в	2	2
120	именно в	3	2
121	мы видим	2	2
122	в этой	2	2
123	перестает быть	4	2
124	с тем	7	2
125	все что	4	2
126	она не	2	2
127	было бы	9	2
128	и о	2	2
129	словом и	5	2
130	только под	2	2
131	и потому	4	2
132	явлений и	2	2
133	только один	2	2
134	один из	4	2
135	сих пор	3	2
136	мы видели	4	2
137	и до	2	2
138	не может	6	2
139	если не	4	2
140	этом отношении	2	2
141	с одной	7	2
142	тем же	4	2
143	человек не	2	2
144	так же	3	2
145	как на	5	2
146	форма в	4	2
147	но это	6	2
148	людей и	2	2
149	от этого	2	2
150	и от	4	2
151	могут быть	3	2
152	не могла	2	2
153	не знает	3	2
154	далеко не	4	2
155	и это	4	2
156	там где	3	2
157	в последнем	3	2
158	до сих	3	2
