N	2gram	Losev_Vlad_1	Poddanst
1	не только	24	17
2	и в	31	14
3	и не	17	12
4	в отношении	3	10
5	в этом	14	10
6	то же	6	9
7	в том	11	9
8	в качестве	6	9
9	но в	12	9
10	н и	3	8
11	хотя бы	2	8
12	же время	4	7
13	в то	8	7
14	только в	9	7
15	но и	19	6
16	было бы	2	6
17	а н	2	5
18	с другой	3	5
19	е н	2	5
20	не в	5	5
21	и о	2	5
22	может быть	6	5
23	в котором	6	4
24	то что	18	4
25	что в	14	4
26	в своем	4	4
27	не может	6	4
28	россии и	2	4
29	и к	6	4
30	а в	9	4
31	том что	14	4
32	мы должны	2	4
33	и если	5	4
34	а также	5	4
35	и потому	6	4
36	в нем	4	3
37	и т	2	3
38	с тем	2	3
39	в россии	4	3
40	тем самым	2	3
41	для того	2	3
42	и как	4	3
43	с ними	2	3
44	но не	3	3
45	точки зрения	2	3
46	в себе	4	3
47	что мы	2	3
48	тот же	3	3
49	потому что	11	3
50	хотя и	4	3
51	н н	9	3
52	не менее	2	2
53	суждений о	2	2
54	в частности	2	2
55	не будем	2	2
56	отнюдь не	3	2
57	д н	3	2
58	тем более	2	2
59	со стороны	2	2
60	в них	2	2
61	все это	5	2
62	и и	7	2
63	как раз	7	2
64	не столько	2	2
65	в тот	2	2
66	и весьма	2	2
67	в жизни	3	2
68	м и	7	2
69	между прочим	11	2
70	главным образом	4	2
71	и других	2	2
72	и вот	3	2
73	того что	2	2
74	в которую	2	2
75	для нас	4	2
76	как на	2	2
77	м а	2	2
78	для тех	2	2
79	в виде	3	2
80	не было	5	2
81	в начале	3	2
82	из них	2	2
83	в общем	3	2
84	и мы	2	2
85	и это	2	2
86	в полной	2	2
87	никак не	4	2
88	да и	4	2
89	в его	12	2
90	и с	14	2
