N	3gram	Bakhtin_Pr_3	Formalny
1	с точки зрения	4	13
2	в то же	12	8
3	в его целом	2	8
4	и т д	2	8
5	то же время	12	8
6	на самом деле	10	6
7	не может быть	6	5
8	и т п	6	4
9	во всяком случае	5	4
10	так и в	2	4
11	по отношению к	5	4
12	смысле этого слова	2	3
13	бы то ни	4	3
14	но в то	3	2
15	и в этом	2	2
16	а вовсе не	2	2
17	и не в	3	2
18	и не может	2	2
19	в большинстве случаев	2	2
20	как мы видели	2	2
21	сводится к тому	2	2
22	и наконец в	2	2
23	может войти в	2	2
24	сама по себе	2	2
25	как и все	2	2
