N	2gram	Propp_Isto_6	OGranits
1	и в	26	13
2	и его	7	12
3	прежде всего	4	9
4	не может	6	8
5	и не	10	8
6	может быть	11	8
7	в его	5	7
8	таким образом	12	6
9	не только	10	6
10	то что	6	6
11	только в	5	6
12	мы должны	2	6
13	как бы	4	6
14	все же	8	5
15	и эта	3	5
16	и наконец	3	5
17	то же	5	4
18	но мы	2	4
19	в своей	3	4
20	мы не	6	4
21	мы можем	7	4
22	было бы	2	4
23	но в	7	4
24	связана с	3	3
25	отношению к	2	3
26	что в	12	3
27	никогда не	13	3
28	но и	9	3
29	так и	5	3
30	что же	2	3
31	по отношению	2	3
32	в одном	3	3
33	превращается в	7	3
34	здесь мы	4	3
35	тела и	2	3
36	как и	5	3
37	не в	3	3
38	и то	3	3
39	в себе	3	3
40	с этим	2	3
41	так как	18	3
42	но для	2	3
43	еще в	3	2
44	и др	2	2
45	с этой	2	2
46	и тем	4	2
47	в нем	8	2
48	может иметь	2	2
49	ее в	6	2
50	своего рода	2	2
51	данном случае	3	2
52	а не	2	2
53	другой стороны	8	2
54	но так	3	2
55	с другой	10	2
56	в них	3	2
57	а в	3	2
58	с одной	7	2
59	все эти	8	2
60	вовсе не	2	2
61	в книге	4	2
62	в тех	3	2
63	к тому	2	2
64	как в	6	2
65	если бы	3	2
66	не имеет	2	2
67	в том	12	2
68	что иное	2	2
69	так же	2	2
70	том что	10	2
71	мы видим	5	2
72	с ними	2	2
73	в своих	3	2
74	в данном	3	2
75	зависимости от	2	2
76	что они	2	2
77	в этом	12	2
78	от этого	3	2
79	тем что	5	2
80	могут быть	3	2
81	при этом	3	2
82	и ее	3	2
83	одной стороны	7	2
84	кажется что	2	2
85	мы уже	6	2
86	там где	5	2
87	в ней	5	2
88	а также	4	2
