N	2gram	Berdyaev_M_2	Istorich
1	и в	46	26
2	т е	4	22
3	так как	8	18
4	никогда не	18	13
5	потому что	12	13
6	что в	4	12
7	в том	3	12
8	и на	3	12
9	в этом	20	12
10	может быть	21	11
11	в образе	3	10
12	том что	4	10
13	и не	18	10
14	не только	18	10
15	что он	7	9
16	но и	15	9
17	в нем	22	8
18	вместе с	2	8
19	и это	5	8
20	с ним	3	8
21	превращается в	2	7
22	уже не	4	7
23	и его	5	7
24	у него	22	7
25	о том	3	7
26	но в	10	7
27	то что	5	6
28	и там	6	6
29	ее в	2	6
30	как в	7	6
31	не может	15	6
32	в более	2	6
33	и с	3	6
34	в русской	6	6
35	как он	3	6
36	у нас	11	5
37	как и	13	5
38	мы видим	2	5
39	в ней	11	5
40	в его	5	5
41	не будет	3	5
42	так и	4	5
43	то же	5	5
44	и что	2	5
45	тем что	3	5
46	только в	3	5
47	его в	3	5
48	и этим	2	5
49	есть и	3	4
50	это не	5	4
51	прежде всего	12	4
52	не всегда	2	4
53	с его	4	4
54	но это	8	4
55	до сих	3	4
56	все что	4	4
57	связано с	3	4
58	на его	2	4
59	как бы	8	4
60	что и	4	4
61	сих пор	3	4
62	на земле	8	4
63	и он	11	4
64	у них	4	4
65	себе в	2	4
66	связана с	7	3
67	если бы	3	3
68	в них	3	3
69	и от	3	3
70	если он	2	3
71	вопрос о	6	3
72	так что	2	3
73	не в	9	3
74	же как	3	3
75	они не	4	3
76	она не	8	3
77	нет в	4	3
78	и эта	2	3
79	от того	3	3
80	еще в	2	3
81	его с	2	3
82	один из	5	3
83	в своей	5	3
84	что она	5	3
85	а в	2	3
86	и других	2	3
87	и вот	5	3
88	к своему	2	3
89	вот почему	2	3
90	в своих	3	3
91	та же	10	3
92	сказать что	3	3
93	приходит к	2	3
94	в себе	10	3
95	не было	11	3
96	как будто	2	3
97	него и	2	3
98	того как	3	3
99	от этого	2	3
100	есть еще	2	2
101	все время	2	2
102	в этих	2	2
103	с собой	2	2
104	в своем	8	2
105	что у	4	2
106	не означает	2	2
107	но он	11	2
108	не видел	2	2
109	не будут	2	2
110	к тому	5	2
111	он был	9	2
112	что иное	3	2
113	по отношению	2	2
114	что они	3	2
115	как у	2	2
116	так же	6	2
117	после того	2	2
118	не так	3	2
119	чтобы получить	2	2
120	но для	2	2
121	не есть	13	2
122	отношению к	2	2
123	не имеет	4	2
124	жизни и	6	2
125	это означает	2	2
126	ни в	3	2
127	что же	2	2
128	он не	10	2
129	увидим что	2	2
130	в царстве	4	2
131	человека в	14	2
132	в народе	6	2
133	а не	13	2
134	того что	6	2
135	что не	2	2
136	должны быть	4	2
137	его не	2	2
138	и те	2	2
139	можно было	2	2
140	тех которые	3	2
141	людей и	3	2
142	к себе	2	2
143	самого себя	4	2
144	в этой	7	2
145	которые в	2	2
146	что это	6	2
147	то он	2	2
148	ничего не	2	2
149	нет ни	2	2
150	стоит на	2	2
151	е в	2	2
