N	2gram	Ircho_Kome_3	VeschiIm
1	т е	16	42
2	не может	3	33
3	не только	5	31
4	может быть	6	29
5	и не	21	28
6	и в	22	26
7	то что	4	24
8	и т	4	21
9	а не	4	20
10	что она	4	14
11	и что	6	13
12	было бы	3	12
13	но и	4	12
14	все же	4	12
15	и ее	2	12
16	таким образом	12	11
17	то же	7	10
18	в ней	4	10
19	как бы	3	10
20	потому что	10	10
21	что мы	2	10
22	в том	12	9
23	в самом	9	9
24	бы то	2	9
25	и с	4	9
26	ни было	2	9
27	прежде всего	5	9
28	то ни	3	9
29	что не	3	9
30	себя и	2	8
31	на то	3	8
32	в себе	4	8
33	и это	2	8
34	ничего не	3	8
35	совершенно не	2	7
36	говорить о	3	7
37	в то	6	7
38	его в	8	7
39	так как	11	7
40	е в	2	7
41	том что	13	7
42	не будет	2	7
43	как раз	6	7
44	с другими	2	7
45	в этом	8	7
46	так что	6	6
47	что они	2	6
48	что в	5	6
49	но если	3	6
50	со стороны	11	6
51	в результате	2	6
52	точки зрения	4	6
53	но в	5	6
54	ясно что	6	6
55	она не	2	6
56	если мы	2	6
57	с ним	5	6
58	можно было	2	6
59	не менее	5	5
60	в отношении	4	5
61	это не	2	5
62	с этой	3	5
63	тем не	3	5
64	не в	4	5
65	свою очередь	6	5
66	еще не	6	5
67	из себя	3	5
68	а в	7	5
69	что для	2	5
70	с тем	4	5
71	если бы	8	5
72	отнюдь не	4	5
73	в свою	7	5
74	в ее	3	5
75	того же	6	5
76	в сущности	2	5
77	и для	4	5
78	на себя	4	5
79	в своем	8	4
80	с другой	4	4
81	же время	5	4
82	и мы	3	4
83	из них	5	4
84	в их	2	4
85	от того	2	4
86	в и	2	4
87	сам себя	2	4
88	и даже	3	4
89	с этим	3	4
90	о том	8	4
91	и все	2	4
92	то это	5	4
93	как и	3	4
94	во всех	2	4
95	и о	2	4
96	его на	2	4
97	нет и	4	4
98	должен быть	2	4
99	что и	8	4
100	даже не	3	4
101	между ними	2	4
102	с точки	3	4
103	мы не	2	4
104	тем что	5	4
105	никогда не	3	3
106	к тому	6	3
107	несмотря на	4	3
108	без всякого	2	3
109	и сам	5	3
110	в нем	3	3
111	отношение к	5	3
112	все это	5	3
113	отношения к	2	3
114	их в	3	3
115	к себе	5	3
116	нисколько не	3	3
117	на это	3	3
118	в одном	2	3
119	один из	3	3
120	не мешает	2	3
121	что он	8	3
122	тот же	2	3
123	к ней	8	3
124	в своей	5	3
125	вместе с	9	3
126	так и	4	3
127	из того	3	3
128	самом деле	6	3
129	бы в	4	3
130	того чтобы	6	3
131	хотя бы	4	3
132	ему не	3	3
133	тем более	4	3
134	в основе	2	3
135	на вопрос	2	2
136	в частности	3	2
137	тому что	2	2
138	человека и	2	2
139	именно потому	2	2
140	ни в	10	2
141	но все	4	2
142	что ему	2	2
143	и если	2	2
144	в виду	2	2
145	так или	2	2
146	только один	2	2
147	не мог	2	2
148	так же	4	2
149	в своих	2	2
150	теперь же	3	2
151	ли в	2	2
152	как это	5	2
153	ничем не	4	2
154	мы можем	3	2
155	на него	4	2
156	о которой	2	2
157	о чем	7	2
158	и во	2	2
159	если он	2	2
160	не с	2	2
161	а затем	2	2
162	в силу	2	2
163	в качестве	2	2
164	ближе к	2	2
165	наряду с	2	2
166	об этом	7	2
167	он не	5	2
168	когда он	4	2
169	как в	2	2
170	приводит к	3	2
171	если не	3	2
172	все равно	3	2
173	как мы	2	2
174	для того	6	2
175	при всем	2	2
176	тем же	3	2
177	и его	6	2
178	или иначе	2	2
179	из его	2	2
180	тут же	4	2
181	во всяком	3	2
182	на ее	3	2
183	если же	2	2
184	том как	3	2
