N	2gram	Tiupa_Vved_1	Dialekti
1	и не	12	30
2	а не	15	18
3	может быть	18	17
4	то что	6	16
5	и в	13	15
6	стало быть	7	15
7	как бы	4	14
8	не имеет	2	14
9	того что	6	13
10	по себе	2	13
11	это не	6	12
12	прежде всего	7	11
13	в том	10	11
14	не может	7	11
15	говорить о	2	11
16	и все	4	11
17	в этом	21	11
18	в основе	3	10
19	потому что	5	10
20	том что	7	10
21	было бы	4	9
22	мы не	4	9
23	то же	5	9
24	уже не	5	9
25	не в	6	8
26	в себе	5	8
27	не только	20	8
28	что в	3	7
29	должна быть	2	7
30	что мы	2	7
31	как и	11	7
32	и его	5	7
33	только в	6	7
34	перед нами	6	6
35	же время	3	6
36	хотя и	7	6
37	и тем	2	6
38	в результате	3	6
39	если бы	7	6
40	в то	4	6
41	что и	2	6
42	так и	8	5
43	в своем	5	5
44	можно сказать	4	5
45	в ней	4	5
46	в нем	5	5
47	таким образом	4	5
48	и на	3	5
49	о том	5	5
50	мы имеем	5	5
51	в жизни	4	5
52	что такое	18	5
53	и для	3	5
54	но это	3	4
55	есть в	2	4
56	один из	3	4
57	жизни и	7	4
58	но и	19	4
59	или не	2	4
60	также и	4	4
61	и с	2	4
62	не о	2	4
63	той или	3	4
64	отнюдь не	7	4
65	не как	2	4
66	еще не	7	4
67	как раз	2	4
68	бы в	3	4
69	тому как	2	4
70	в силу	2	4
71	в его	4	4
72	подобно тому	2	4
73	не всегда	2	3
74	тем самым	5	3
75	в свою	4	3
76	и наконец	2	3
77	с ним	3	3
78	но в	6	3
79	к этому	2	3
80	об этом	4	3
81	в своей	5	3
82	со стороны	5	3
83	быть и	2	3
84	бы и	4	3
85	как в	4	3
86	в данном	13	3
87	мы можем	2	3
88	могут быть	4	3
89	едва ли	3	3
90	в области	3	3
91	не менее	4	2
92	в частности	13	2
93	двух или	3	2
94	из этих	3	2
95	что на	2	2
96	свою очередь	4	2
97	как о	2	2
98	при этом	26	2
99	в самом	2	2
100	никогда не	4	2
101	в котором	8	2
102	другой стороны	2	2
103	то и	2	2
104	быть не	4	2
105	не было	2	2
106	лишь в	2	2
107	и по	3	2
108	о ней	4	2
109	тоже не	2	2
110	том как	3	2
111	если она	2	2
112	тот кто	2	2
113	но они	2	2
114	однако в	4	2
115	в них	2	2
116	но о	2	2
117	все же	6	2
118	в качестве	8	2
119	все что	3	2
120	в аспекте	2	2
121	никак не	2	2
122	в этот	2	2
123	тем не	3	2
124	во всех	2	2
125	что же	3	2
126	бы не	2	2
127	все равно	2	2
128	которая не	2	2
129	или иначе	2	2
130	тем что	2	2
131	всей его	2	2
132	история это	2	2
133	как будто	4	2
134	от этих	2	2
135	ни от	2	2
136	отличие от	2	2
