N	2gram	Propp_Isto_4	Morfolog
1	может быть	14	52
2	и т	27	49
3	т д	24	47
4	и пр	11	40
5	таким образом	10	20
6	в сказке	47	19
7	представляет собой	2	17
8	не может	6	17
9	т е	18	16
10	в этих	7	16
11	могут быть	6	15
12	с этим	2	14
13	этих случаях	8	14
14	и в	26	13
15	в этом	7	13
16	эта форма	2	13
17	и др	5	12
18	так как	9	12
19	перед нами	3	11
20	мы видим	6	11
21	волшебное средство	9	11
22	связи с	3	11
23	видим что	2	10
24	представляют собой	4	10
25	не всегда	6	9
26	этом случае	3	9
27	так и	10	9
28	в связи	2	9
29	то же	8	9
30	и не	9	9
31	а не	6	9
32	мы имеем	7	9
33	с другой	4	8
34	а затем	3	8
35	по существу	3	8
36	что и	9	8
37	при помощи	10	8
38	вопрос о	4	7
39	в тех	4	7
40	и этим	2	7
41	в качестве	7	7
42	в лес	3	7
43	нет необходимости	3	7
44	все же	9	7
45	или же	3	7
46	имеем в	2	7
47	в иное	7	6
48	это не	5	6
49	этот случай	9	6
50	не могут	2	6
51	и здесь	5	6
52	в том	3	6
53	но не	5	6
54	а также	3	6
55	в форме	2	6
56	а в	8	6
57	во время	7	6
58	иное царство	6	6
59	не менее	2	5
60	здесь можно	2	5
61	и другие	3	5
62	в образе	3	5
63	иногда в	2	5
64	этот момент	2	5
65	мы увидим	3	5
66	наряду с	3	5
67	на коне	8	5
68	как бы	3	5
69	то что	16	5
70	или в	3	5
71	потому что	6	5
72	можно наблюдать	2	5
73	герой получает	4	5
74	что в	14	4
75	и как	5	4
76	в сказку	7	4
77	на котором	3	4
78	раньше чем	5	4
79	вовсе не	4	4
80	героя в	7	4
81	об этом	7	4
82	герой и	2	4
83	тем не	2	4
84	было бы	2	4
85	на его	3	4
86	о пощаде	3	4
87	не только	15	4
88	то это	5	4
89	в некоторых	5	4
90	как в	7	4
91	как мы	5	4
92	другой стороны	4	4
93	тех же	2	4
94	так же	18	4
95	три года	4	4
96	как и	7	4
97	там где	3	4
98	героя а	2	4
99	то мы	2	4
100	хотя и	2	4
101	тем что	5	4
102	в точности	5	4
103	на этом	2	4
104	его в	9	4
105	ничего не	5	4
106	в других	2	4
107	ложного героя	2	4
108	только что	3	3
109	связана с	2	3
110	если бы	2	3
111	это уже	2	3
112	вступают в	2	3
113	с собой	5	3
114	он должен	3	3
115	если герой	2	3
116	же в	3	3
117	том что	3	3
118	но все	5	3
119	но это	3	3
120	что они	6	3
121	на нем	5	3
122	в целом	2	3
123	он не	7	3
124	со змеем	2	3
125	ни в	2	3
126	но и	12	3
127	на него	3	3
128	от того	2	3
129	из которых	5	3
130	и по	5	3
131	к нему	6	3
132	у яги	5	3
133	то здесь	2	3
134	а по	4	3
135	мы можем	6	3
136	из них	2	3
137	в руки	3	3
138	большей частью	3	3
139	мы должны	5	3
140	с того	3	3
141	начинается с	2	3
142	но в	5	3
143	сказка знает	2	2
144	от погони	3	2
145	что ни	3	2
146	можно показать	2	2
147	и более	3	2
148	с тем	2	2
149	ниже в	2	2
150	в лесу	12	2
151	в виде	2	2
152	в частности	2	2
153	сказку как	2	2
154	однако в	2	2
155	его и	2	2
156	и за	2	2
157	помощи которой	2	2
158	хотя бы	2	2
159	точно так	5	2
160	конь который	2	2
161	что эта	3	2
162	этого не	2	2
163	к этому	5	2
164	дает сказка	2	2
165	многих других	3	2
166	герою в	2	2
167	таких случаях	2	2
168	что он	10	2
169	по ночам	3	2
170	имеется в	2	2
171	таких случаев	2	2
172	так например	2	2
173	и конь	2	2
174	можно вызвать	2	2
175	можно указать	2	2
176	и при	3	2
177	поставить вопрос	2	2
178	только в	3	2
179	от него	2	2
180	а на	4	2
181	есть и	2	2
182	тех случаях	2	2
183	когда герой	4	2
184	у нее	2	2
185	но есть	2	2
186	мы уже	5	2
187	или на	2	2
188	коня и	8	2
189	но для	2	2
190	в таких	2	2
191	ни одной	2	2
192	герой в	3	2
193	или просто	2	2
194	себя в	2	2
195	здесь имеется	2	2
196	а впоследствии	2	2
197	на птице	2	2
198	с золотыми	3	2
199	и только	5	2
200	случаях когда	3	2
201	все эти	3	2
202	и наоборот	2	2
203	же происходит	3	2
204	и что	5	2
205	к себе	3	2
206	того что	2	2
207	уже не	5	2
208	не имеет	3	2
209	право на	2	2
210	и его	10	2
211	благодарные животные	5	2
212	совершенно одинаково	2	2
213	живое существо	2	2
214	этот вопрос	2	2
215	в другом	5	2
216	сказке о	3	2
217	что мы	3	2
218	о том	4	2
219	волшебного помощника	2	2
220	здесь не	4	2
221	одна из	2	2
222	сказать что	2	2
223	как это	3	2
