N	2gram	Tiupa_Anal_2	Freidism
1	таким образом	2	24
2	и не	12	23
3	не может	4	20
4	точки зрения	4	19
5	прежде всего	3	18
6	в этом	18	15
7	в его	2	15
8	может быть	6	13
9	и его	4	12
10	как и	14	11
11	как бы	10	11
12	то что	7	11
13	с точки	2	11
14	так и	15	10
15	как мы	3	10
16	его в	2	10
17	с ним	2	10
18	но в	6	10
19	и в	16	9
20	во всех	4	9
21	по отношению	4	9
22	все что	2	8
23	отношению к	4	8
24	еще не	2	8
25	в своей	2	8
26	он не	2	8
27	не только	16	8
28	все это	4	8
29	то же	4	8
30	только в	4	8
31	и все	3	8
32	один из	2	7
33	в самом	6	7
34	те же	2	7
35	сказать что	2	7
36	никогда не	3	6
37	вовсе не	2	6
38	для него	4	6
39	за пределы	4	6
40	того что	2	6
41	на протяжении	2	6
42	и к	5	5
43	можно сказать	4	5
44	не в	4	5
45	в этой	9	5
46	в то	2	5
47	что в	2	5
48	но и	12	5
49	в себя	4	5
50	а в	3	5
51	и на	6	5
52	могут быть	10	5
53	я и	3	5
54	не менее	4	4
55	но не	4	4
56	в котором	2	4
57	в этих	2	4
58	в пределах	9	4
59	к тому	7	4
60	сводится к	3	4
61	же время	2	4
62	на этом	4	4
63	при этом	10	4
64	как раз	4	4
65	и за	3	4
66	данном случае	5	4
67	это только	2	4
68	уже не	4	4
69	и для	2	4
70	той же	2	4
71	в таком	2	4
72	с ними	3	4
73	с их	2	4
74	в данном	8	4
75	говорить о	6	4
76	если бы	3	3
77	конечном счете	2	3
78	о себе	2	3
79	на себя	5	3
80	что все	2	3
81	в конечном	3	3
82	в себе	7	3
83	он был	2	3
84	и смерть	2	3
85	по поводу	3	3
86	она не	2	3
87	было бы	3	3
88	в общем	2	3
89	ни о	3	3
90	с ее	2	3
91	себя в	2	3
92	на него	2	3
93	вместе с	2	3
94	со стороны	3	3
95	приводит к	3	3
96	не знает	3	3
97	как в	4	3
98	и т.п	8	3
99	на этот	2	3
100	между двумя	4	3
101	мы имеем	3	3
102	у него	4	3
103	на всех	2	3
104	таком случае	2	3
105	в сознании	4	3
106	борьбы с	3	2
107	только не	4	2
108	для всех	2	2
109	в нашем	3	2
110	того же	4	2
111	с другой	6	2
112	миф и	2	2
113	в конце	4	2
114	к этому	2	2
115	в одну	2	2
116	не позволяет	2	2
117	и смерти	4	2
118	тем не	3	2
119	том что	12	2
120	них не	2	2
121	на этой	2	2
122	а не	10	2
123	что с	2	2
124	одной стороны	4	2
125	из них	3	2
126	в своем	4	2
127	для нее	2	2
128	и до	2	2
129	ответ на	3	2
130	на две	3	2
131	во второй	4	2
132	дело не	2	2
133	что она	2	2
134	в их	3	2
135	только на	3	2
136	в нас	2	2
137	отношения к	2	2
138	этом отношении	3	2
139	с одной	5	2
140	внутренней речи	4	2
141	в отличие	2	2
142	и даже	9	2
143	так же	2	2
144	отличие от	2	2
145	роль в	2	2
146	воли и	3	2
147	на основе	2	2
148	в таких	2	2
149	и то	3	2
150	здесь в	2	2
151	случае в	3	2
152	что и	3	2
153	к его	2	2
154	теми же	2	2
155	речи и	2	2
156	жизни но	2	2
157	как это	6	2
158	в эту	3	2
159	это было	2	2
