N	2gram	Trubetskoy_1	Tragedij
1	и в	23	18
2	в этом	12	9
3	не только	7	8
4	и не	8	7
5	и на	6	7
6	и с	5	7
7	может быть	16	7
8	как бы	10	7
9	что он	7	6
10	же время	2	6
11	у него	5	6
12	но в	4	6
13	все же	13	5
14	что это	5	5
15	так и	10	5
16	это не	3	5
17	не может	17	5
18	то же	4	5
19	в дальнейшем	2	5
20	как и	9	5
21	в то	6	5
22	несмотря на	6	5
23	но и	9	4
24	то что	18	4
25	в целом	5	4
26	что в	8	4
27	все это	11	4
28	я не	2	4
29	прежде всего	3	4
30	и все	7	4
31	в нем	3	4
32	так же	8	4
33	том что	19	4
34	в этой	6	4
35	и что	8	4
36	в себе	5	4
37	еще не	5	4
38	с ее	2	3
39	отнюдь не	2	3
40	в своем	10	3
41	никто не	2	3
42	в конце	4	3
43	что за	2	3
44	все эти	19	3
45	тем самым	3	3
46	жизнь и	3	3
47	к нему	2	3
48	должно быть	4	3
49	в его	5	3
50	что с	5	3
51	для него	2	3
52	при этом	9	3
53	и сам	2	3
54	как будто	5	3
55	в мире	6	3
56	с ним	6	3
57	то есть	2	3
58	и до	3	2
59	не могут	4	2
60	что и	7	2
61	в частности	2	2
62	состоит из	4	2
63	данном случае	3	2
64	то и	2	2
65	даже если	2	2
66	что все	5	2
67	вопрос о	3	2
68	отношение к	4	2
69	к тому	8	2
70	между этими	2	2
71	столь же	5	2
72	не так	4	2
73	в том	30	2
74	друг друга	2	2
75	отличие от	3	2
76	но все	5	2
77	так что	5	2
78	в таком	4	2
79	не в	8	2
80	в глазах	2	2
81	в данном	3	2
82	и то	4	2
83	одна из	2	2
84	потому что	9	2
85	ничем не	4	2
86	с тем	2	2
87	в виде	4	2
88	и ее	2	2
89	как у	3	2
90	о том	7	2
91	его в	5	2
92	что эти	2	2
93	и это	3	2
94	нет в	2	2
95	в самом	8	2
96	этими двумя	2	2
97	он не	3	2
98	никогда не	4	2
