N	2gram	Propp_Morf_1	Problema
1	и в	13	30
2	то что	8	18
3	не только	4	18
4	том что	4	17
5	в этом	14	17
6	но и	4	13
7	таким образом	21	13
8	потому что	3	13
9	в том	6	12
10	и не	12	12
11	также и	4	12
12	о том	2	12
13	в виде	2	10
14	для нас	2	10
15	точки зрения	2	10
16	в этой	2	10
17	все же	7	9
18	который в	2	9
19	сказать что	2	9
20	но в	2	9
21	только в	2	9
22	вовсе не	4	8
23	хотя и	3	8
24	с точки	2	8
25	что он	4	7
26	у нас	2	7
27	как и	3	7
28	связи с	10	7
29	но не	4	7
30	может быть	52	7
31	так и	6	7
32	в связи	9	7
33	не в	3	7
34	здесь не	2	7
35	в результате	7	7
36	с другой	8	6
37	прежде всего	9	6
38	можно сказать	2	6
39	уже не	2	6
40	и как	5	6
41	несмотря на	4	6
42	и для	2	6
43	как бы	3	6
44	что и	7	6
45	другой стороны	4	6
46	и что	2	6
47	а в	7	6
48	его в	2	6
49	при помощи	9	6
50	так как	16	6
51	не менее	5	5
52	с тем	2	5
53	что в	8	5
54	в которой	3	5
55	тем не	5	5
56	так же	3	5
57	и их	2	5
58	не может	14	5
59	а не	11	5
60	того как	2	5
61	мы можем	2	5
62	в частности	2	4
63	все еще	3	4
64	ясно что	5	4
65	об этом	4	4
66	но все	3	4
67	было бы	3	4
68	в качестве	5	4
69	а с	2	4
70	и к	4	4
71	или в	4	4
72	в то	3	4
73	далеко не	5	4
74	учение о	3	3
75	и другие	6	3
76	однако в	2	3
77	не всегда	9	3
78	перейти к	2	3
79	же в	2	3
80	что его	2	3
81	в начале	3	3
82	что они	2	3
83	совсем не	3	3
84	смысле слова	4	3
85	то время	3	3
86	как будто	2	3
87	еще не	3	3
88	для того	2	3
89	он не	3	3
90	а также	4	3
91	в настоящее	3	3
92	и тем	2	3
93	того что	3	3
94	к нему	3	3
95	мотив не	2	3
96	в других	3	3
97	время как	3	3
98	в другом	2	3
99	настоящее время	3	3
100	о похищении	2	3
101	не могут	4	2
102	прежде чем	3	2
103	мы будем	3	2
104	это уже	3	2
105	в какой	3	2
106	по всему	2	2
107	хотя бы	4	2
108	как в	3	2
109	это не	6	2
110	во втором	3	2
111	не все	6	2
112	один из	5	2
113	представляет собою	6	2
114	к этому	3	2
115	на то	2	2
116	к тому	4	2
117	то же	7	2
118	как мы	6	2
119	без всякого	2	2
120	по существу	12	2
121	в глаза	2	2
122	мы имеем	9	2
123	на его	4	2
124	вслед за	5	2
125	но для	2	2
126	всяком случае	2	2
127	отношению к	4	2
128	бы то	3	2
129	из них	3	2
130	и за	2	2
131	на него	3	2
132	наряду с	5	2
133	по отношению	4	2
134	или же	6	2
135	то ни	3	2
136	все эти	2	2
137	мы не	8	2
138	самом деле	4	2
139	того чтобы	3	2
140	об освобождении	2	2
141	можно было	2	2
142	во всяком	2	2
143	между тем	5	2
144	тем что	4	2
145	в таких	2	2
146	ничего не	4	2
