N	2gram	Potebnia_M_1	slovoVRo
1	и в	39	41
2	в нем	20	30
3	и т	6	28
4	то есть	42	26
5	т п	4	23
6	могут быть	9	19
7	во всех	5	17
8	но и	20	16
9	и не	18	16
10	точки зрения	8	16
11	языка в	6	16
12	не только	21	16
13	а не	21	15
14	то же	6	14
15	может быть	27	14
16	не может	22	14
17	и его	5	14
18	в то	4	14
19	в сущности	2	13
20	в его	5	13
21	слова и	4	13
22	же время	4	12
23	как бы	6	12
24	языка и	17	12
25	в этом	15	12
26	так и	13	11
27	язык и	5	10
28	таким образом	13	9
29	слова в	2	8
30	прежде всего	4	8
31	но в	9	8
32	как в	10	8
33	как мы	2	8
34	с точки	3	8
35	или в	2	8
36	все они	2	7
37	не в	15	7
38	и следовательно	2	7
39	с ним	3	7
40	вовсе не	5	7
41	в своей	3	7
42	все же	6	7
43	в слове	8	7
44	во всяком	3	7
45	того же	3	6
46	это не	7	6
47	при этом	6	6
48	и даже	4	6
49	а в	5	6
50	в них	3	6
51	оно не	3	6
52	только в	25	6
53	с другой	7	5
54	в самом	3	5
55	т д	4	5
56	еще более	2	5
57	в языке	33	5
58	так сказать	2	5
59	и от	3	4
60	в каждом	4	4
61	оно и	3	4
62	одной стороны	3	4
63	одним из	2	4
64	в ней	7	4
65	с ее	2	4
66	в их	2	4
67	за пределы	2	4
68	с одной	3	4
69	языка но	3	4
70	и с	3	4
71	в которой	2	4
72	и все	3	4
73	языка как	5	4
74	как и	9	4
75	в смысле	4	4
76	еще не	6	4
77	том же	2	4
78	и потому	5	4
79	язык в	8	4
80	другой стороны	5	4
81	и для	5	4
82	там где	4	4
83	есть как	2	3
84	не могут	4	3
85	никогда не	4	3
86	хотя бы	2	3
87	из этих	4	3
88	язык как	7	3
89	к тому	4	3
90	словом и	2	3
91	в том	26	3
92	следовательно и	2	3
93	в свою	4	3
94	для него	4	3
95	от языка	4	3
96	в своем	3	3
97	своего языка	2	3
98	ни были	3	3
99	в разных	2	3
100	и других	4	3
101	того что	8	3
102	речь и	2	3
103	друг друга	5	3
104	в других	2	3
105	не было	4	3
106	в истории	7	3
107	о том	2	3
108	в первом	5	3
109	так как	21	3
110	и во	3	3
111	с этим	7	3
112	не могло	3	3
113	языка а	3	3
114	бы ни	4	3
115	в себе	13	3
116	с этой	2	3
117	она не	3	3
118	не были	2	3
119	и может	2	3
120	было бы	12	3
121	но оно	3	3
122	он не	3	3
123	но эти	2	3
124	из этого	2	3
125	к языку	2	3
126	самого предмета	4	3
127	смысле в	4	3
128	свою очередь	4	2
129	в другой	3	2
130	взаимного понимания	2	2
131	тому что	3	2
132	язык не	5	2
133	столь же	3	2
134	или даже	3	2
135	одного из	2	2
136	что все	3	2
137	на все	2	2
138	том и	2	2
139	ни было	2	2
140	для нас	9	2
141	есть для	2	2
142	так что	16	2
143	языка то	4	2
144	и той	3	2
145	на язык	7	2
146	для того	3	2
147	хотя и	3	2
148	и по	6	2
149	и тем	3	2
150	в целом	2	2
151	в этих	7	2
152	друг другу	3	2
153	может казаться	2	2
154	не могла	2	2
155	уже не	2	2
156	точке зрения	2	2
157	должно быть	7	2
158	так же	5	2
159	не из	3	2
160	сказать что	3	2
161	потому что	52	2
162	но он	2	2
163	могут не	2	2
164	между тем	5	2
165	в сознании	3	2
166	а как	2	2
167	нисколько не	2	2
168	для них	2	2
169	как увидим	2	2
170	слова для	4	2
171	в одном	8	2
172	связь с	2	2
173	из одного	3	2
174	у нас	2	2
175	том что	16	2
176	мы видим	4	2
177	то в	5	2
178	но не	8	2
179	слов и	4	2
180	и о	2	2
181	и самое	2	2
182	одним словом	2	2
183	языке а	2	2
184	если мы	3	2
185	только на	3	2
186	не есть	10	2
187	той же	3	2
188	мы не	10	2
189	и то	3	2
190	быть только	5	2
191	с языком	2	2
192	а между	3	2
193	связи с	3	2
194	и вообще	3	2
195	из него	2	2
