N	2gram	Kanaev_Sov_1	VelikijI
1	и не	6	20
2	и в	7	16
3	так как	4	9
4	еще не	3	8
5	и потому	3	7
6	а не	3	7
7	как бы	4	5
8	все это	3	5
9	и есть	2	4
10	что все	2	4
11	в нем	3	4
12	как и	6	4
13	в этом	7	4
14	говорить о	2	4
15	и все	3	4
16	в его	2	4
17	что в	2	3
18	в конце	3	3
19	в том	4	3
20	не в	3	3
21	и будет	2	3
22	тот же	2	3
23	и мы	3	3
24	жизни и	4	3
25	и они	2	3
26	и что	2	3
27	к чему	2	3
28	их в	4	3
29	все эти	5	3
30	но в	3	3
31	не могут	2	2
32	это не	4	2
33	прежде всего	5	2
34	для нас	3	2
35	одна из	3	2
36	и во	2	2
37	не только	4	2
38	нет и	4	2
39	но мы	3	2
40	мы не	9	2
41	уже не	2	2
42	а в	4	2
43	могут быть	2	2
44	во всяком	2	2
