N	3gram	Vinokur_Ku_1	Myshleni
1	с точки зрения	9	18
2	в том что	15	15
3	для того чтобы	15	15
4	с другой стороны	6	9
5	по отношению к	8	7
6	о том что	5	6
7	заключается в том	2	6
8	не может быть	3	5
9	вместе с тем	3	5
10	в целом и	2	5
11	в этом отношении	5	4
12	до сих пор	4	4
13	к тому что	2	3
14	в свою очередь	3	3
15	на то что	2	3
16	можно было бы	3	3
17	в первую очередь	2	3
18	во всяком случае	5	3
19	в том чтобы	8	3
20	в зависимости от	5	2
21	том что он	4	2
22	в самом деле	7	2
23	в то же	2	2
24	а с другой	3	2
25	то же время	2	2
26	речь идет о	2	2
