N	2gram	Vygotskiy__5	Morfolog
1	может быть	9	52
2	таким образом	19	20
3	представляет собой	7	17
4	не может	18	17
5	в этих	3	16
6	могут быть	4	15
7	с этим	3	14
8	и в	16	13
9	в этом	25	13
10	так как	16	12
11	мы видим	4	11
12	связи с	3	11
13	видим что	2	10
14	представляют собой	2	10
15	прежде всего	3	9
16	этом случае	3	9
17	так и	7	9
18	то же	8	9
19	и не	12	9
20	а не	10	9
21	с другой	4	8
22	по существу	3	8
23	что и	3	8
24	в результате	4	8
25	вопрос о	12	7
26	в качестве	4	7
27	но если	6	7
28	все же	3	7
29	это не	4	6
30	не могут	4	6
31	и здесь	2	6
32	в том	18	6
33	но не	10	6
34	а в	3	6
35	подобно тому	4	6
36	не менее	3	5
37	тому как	4	5
38	если мы	7	5
39	и другие	2	5
40	в ходе	12	5
41	вслед за	2	5
42	во всех	2	5
43	как бы	5	5
44	то что	26	5
45	потому что	21	5
46	мы не	3	5
47	что в	16	4
48	к началу	4	4
49	и как	3	4
50	раньше чем	3	4
51	вовсе не	2	4
52	отношению к	12	4
53	было бы	10	4
54	на его	2	4
55	не только	16	4
56	то это	2	4
57	как в	5	4
58	как мы	10	4
59	другой стороны	2	4
60	так же	15	4
61	по отношению	12	4
62	показать что	3	4
63	как и	8	4
64	что функции	3	4
65	тем что	5	4
66	точки зрения	18	4
67	с точки	9	4
68	на этом	3	4
69	его в	2	4
70	если в	3	4
71	ничего не	5	4
72	только что	5	3
73	если бы	8	3
74	между собой	13	3
75	в какой	6	3
76	он должен	5	3
77	же в	2	3
78	том что	15	3
79	но все	2	3
80	но это	3	3
81	что они	5	3
82	в целом	4	3
83	в пределах	4	3
84	того чтобы	17	3
85	в сущности	13	3
86	момент когда	2	3
87	он не	8	3
88	не является	5	3
89	и другим	2	3
90	в первом	3	3
91	но и	6	3
92	от того	3	3
93	самом деле	3	3
94	из которых	3	3
95	и по	4	3
96	к нему	3	3
97	вопрос как	3	3
98	мы можем	6	3
99	из них	2	3
100	в то	5	3
101	мы должны	8	3
102	но в	6	3
103	значит что	5	3
104	и более	3	2
105	с тем	3	2
106	в частности	3	2
107	его и	3	2
108	хотя бы	5	2
109	эти функции	2	2
110	что эта	3	2
111	состоит в	6	2
112	к этому	3	2
113	как уже	3	2
114	что он	25	2
115	в различных	2	2
116	можно сказать	5	2
117	и к	2	2
118	и становятся	2	2
119	не с	2	2
120	то в	3	2
121	вывод что	2	2
122	совершается в	2	2
123	только в	10	2
124	то время	4	2
125	для него	5	2
126	одной стороны	3	2
127	одной из	3	2
128	никто не	2	2
129	на ход	2	2
130	себя и	2	2
131	благодаря этому	2	2
132	то как	3	2
133	вопроса о	3	2
134	а с	2	2
135	с одной	3	2
136	все эти	4	2
137	не означает	4	2
138	перейти к	3	2
139	и что	12	2
140	того что	16	2
141	для того	14	2
142	не имеет	4	2
143	и его	3	2
144	можно было	5	2
145	связи функций	2	2
146	этот вопрос	6	2
147	в другом	6	2
148	не знает	5	2
149	или не	2	2
150	что мы	4	2
151	о том	8	2
152	что эти	2	2
153	в свое	2	2
154	сказать что	13	2
155	как это	8	2
156	функций между	2	2
157	время как	4	2
