N	2gram	Ircho_Kome_3	Myshleni
1	в том	12	42
2	том что	13	35
3	с помощью	4	31
4	таким образом	12	25
5	в развитии	2	25
6	точки зрения	4	24
7	в этом	8	24
8	в качестве	2	21
9	и в	22	20
10	что в	5	19
11	в основе	2	17
12	то же	7	16
13	то что	4	15
14	не только	5	15
15	что они	2	14
16	как мы	2	13
17	с другой	4	12
18	при этом	7	12
19	в их	2	12
20	потому что	10	12
21	может быть	6	12
22	в целом	3	11
23	так же	4	11
24	в его	8	11
25	с точки	3	11
26	так как	11	10
27	в отношении	4	10
28	если мы	2	10
29	в себе	4	10
30	одной стороны	3	9
31	но и	4	9
32	другой стороны	2	9
33	с одной	3	9
34	между тем	2	9
35	как это	5	9
36	как и	3	9
37	того же	6	9
38	тот же	2	9
39	что и	8	9
40	и не	21	8
41	и что	6	8
42	в результате	2	8
43	было бы	3	8
44	вместе с	9	8
45	как бы	3	7
46	этом отношении	2	7
47	что мы	2	7
48	же самое	3	7
49	и тот	3	7
50	в своей	5	7
51	самом деле	6	7
52	а не	4	7
53	того чтобы	6	7
54	тем что	5	7
55	уже в	2	6
56	к тому	6	6
57	тому же	6	6
58	в самом	9	6
59	не может	3	6
60	и на	2	6
61	его в	8	6
62	с тем	4	6
63	что он	8	6
64	в силу	2	6
65	можно было	2	6
66	в частности	3	5
67	никогда не	3	5
68	целый ряд	2	5
69	это не	2	5
70	на то	3	5
71	не является	4	5
72	если бы	8	5
73	и его	6	5
74	между собой	4	5
75	с этим	3	5
76	и к	3	5
77	все же	4	5
78	о том	8	5
79	речь идет	5	5
80	так и	4	5
81	как в	2	5
82	для того	6	5
83	мы можем	3	5
84	все время	2	4
85	тому что	2	4
86	в своем	8	4
87	что с	2	4
88	из них	5	4
89	роль в	2	4
90	друг друга	4	4
91	с этой	3	4
92	как он	3	4
93	и с	4	4
94	состоит в	2	4
95	к этому	6	4
96	по своему	3	4
97	в сущности	2	4
98	по сравнению	2	4
99	только что	7	4
100	тем же	3	4
101	между ними	2	4
102	не в	4	4
103	и для	4	4
104	во всяком	3	4
105	в области	2	4
106	не могут	2	3
107	не менее	5	3
108	в какой	3	3
109	так что	6	3
110	в этой	3	3
111	от того	2	3
112	одной из	3	3
113	в виду	2	3
114	всяком случае	3	3
115	один из	3	3
116	со стороны	11	3
117	в связи	4	3
118	то обстоятельство	2	3
119	столь же	3	3
120	на его	2	3
121	обстоятельство что	2	3
122	к одной	2	3
123	но в	5	3
124	отнюдь не	4	3
125	сравнению с	2	3
126	и во	2	3
127	идет о	3	3
128	этом случае	2	3
129	бы в	4	3
130	по существу	2	3
131	представляет собой	3	3
132	чем в	3	3
133	наряду с	2	3
134	когда он	4	3
135	приводит к	3	3
136	совершенно не	2	3
137	на этот	3	3
138	ни в	10	3
139	связи с	5	3
140	что эта	2	3
141	в которой	3	3
142	и поэтому	4	3
143	прежде всего	5	2
144	как из	2	2
145	свою очередь	6	2
146	в свою	7	2
147	одним из	2	2
148	не совсем	2	2
149	в ней	4	2
150	в нем	3	2
151	к нему	5	2
152	не по	7	2
153	с полным	3	2
154	по мнению	2	2
155	не имеет	3	2
156	а в	7	2
157	не знает	3	2
158	и здесь	4	2
159	в начале	3	2
160	их в	3	2
161	под влиянием	2	2
162	нисколько не	3	2
163	это в	2	2
164	у него	4	2
165	полным основанием	2	2
166	ясно что	6	2
167	стороны и	2	2
168	а затем	2	2
169	еще не	6	2
170	он говорит	2	2
171	которую он	2	2
172	далеко не	3	2
173	в свое	2	2
174	а также	2	2
175	раз в	2	2
176	и речи	4	2
177	ли не	2	2
178	если не	3	2
179	и он	2	2
180	в таком	2	2
181	и это	2	2
182	здесь не	2	2
183	который по	2	2
184	едва ли	7	2
185	отличие от	2	2
