N	3gram	Losev_Vesc_1	Problema
1	вещи есть ее	2	19
2	тем не менее	3	18
3	и т д	19	10
4	в данном случае	2	8
5	на то что	2	8
6	для того чтобы	2	8
7	сам по себе	3	7
8	содержит в себе	4	7
9	вовсе не есть	6	6
10	то что мы	2	6
11	о том что	4	5
12	не есть ни	3	5
13	в том что	4	5
14	т д и	5	4
15	в конце концов	2	4
16	сама по себе	3	4
17	только то что	2	4
18	сами по себе	3	3
19	и не есть	2	3
20	дело в том	2	3
21	с точки зрения	3	3
22	можно сказать что	3	3
23	с другой стороны	2	3
24	не только не	2	3
25	д и т	5	3
26	во всяком случае	2	3
27	не потому что	4	2
28	есть еще и	2	2
29	что она есть	2	2
30	по крайней мере	4	2
31	ли сказать что	3	2
32	свидетельствует о том	3	2
33	в самом деле	4	2
34	мы говорим что	3	2
35	что иное как	7	2
36	то и другое	4	2
37	подобно тому как	4	2
38	можно ли сказать	3	2
39	есть не что	5	2
40	не что иное	7	2
41	и не просто	3	2
42	не может быть	6	2
43	и то что	3	2
44	вещи и не	2	2
45	так или иначе	4	2
