N	3gram	Losev_Vlad_3	Psycholo
1	в том что	10	9
2	на то что	2	8
3	не может быть	6	8
4	о том что	8	7
5	во всяком случае	3	6
6	в то время	4	5
7	с одной стороны	3	5
8	само по себе	3	5
9	с другой стороны	2	5
10	то время как	2	5
11	так же как	2	4
12	точно так же	4	3
13	в отличие от	3	3
14	в конце концов	5	3
15	только в том	3	3
16	что в этом	2	3
17	более или менее	5	2
18	в таком случае	2	2
19	с точки зрения	6	2
20	тем не менее	9	2
21	в этом отношении	2	2
22	в настоящее время	3	2
23	вместе с тем	6	2
24	в этом смысле	3	2
25	в том случае	3	2
26	что и в	3	2
