N	2gram	Bakhtin_fo_2	Narrotol
1	не только	11	32
2	может быть	7	25
3	но и	9	23
4	в качестве	3	21
5	и не	9	20
6	и в	46	19
7	то есть	10	19
8	в том	10	18
9	в этом	22	17
10	в частности	5	14
11	том что	4	14
12	не в	9	14
13	а не	4	12
14	то что	7	11
15	а в	3	11
16	не может	2	10
17	точки зрения	10	10
18	при этом	6	9
19	так и	7	9
20	в его	8	9
21	в мире	4	9
22	с другой	2	8
23	не является	3	8
24	во времени	3	8
25	и т.п	2	8
26	в себе	4	8
27	как и	8	7
28	еще не	6	7
29	к тому	3	7
30	ни для	2	7
31	а также	3	7
32	все же	6	7
33	как в	4	7
34	с одной	2	7
35	том числе	3	6
36	что он	3	6
37	то в	2	6
38	но не	5	6
39	точка зрения	3	6
40	именно в	2	6
41	в себя	2	6
42	в той	2	6
43	как это	2	6
44	на протяжении	3	6
45	о том	4	6
46	но в	10	6
47	и как	3	5
48	отнюдь не	4	5
49	по себе	2	5
50	или иной	2	5
51	можно сказать	2	5
52	картина мира	2	5
53	картины мира	2	5
54	в форме	3	5
55	уже не	3	5
56	и его	12	5
57	в данном	2	5
58	в основе	6	5
59	к себе	4	5
60	в этой	2	5
61	далеко не	2	5
62	мира в	3	5
63	прежде всего	14	4
64	в пространстве	5	4
65	в нем	5	4
66	у него	9	4
67	то же	8	4
68	же в	4	4
69	если не	2	4
70	же время	4	4
71	было бы	2	4
72	связи с	8	4
73	имеет место	3	4
74	как бы	10	4
75	в особенности	6	4
76	те же	6	4
77	не мог	2	4
78	числе и	2	4
79	только в	11	4
80	здесь не	2	4
81	и с	6	4
82	жизни в	4	3
83	что в	5	3
84	могут быть	2	3
85	никогда не	6	3
86	уже в	4	3
87	из этих	4	3
88	в прошлом	3	3
89	что они	4	3
90	в сущности	2	3
91	хотя и	3	3
92	он не	5	3
93	и даже	3	3
94	если в	2	3
95	один из	2	3
96	из них	8	3
97	жизни и	8	3
98	в эпизоде	7	3
99	особенно в	2	3
100	этом отношении	2	3
101	как мы	6	3
102	и он	4	3
103	жизни как	2	3
104	и на	7	3
105	тем что	3	3
106	в то	5	3
107	этом ряду	2	2
108	себя и	3	2
109	в своем	5	2
110	та же	3	2
111	в литературе	2	2
112	что на	3	2
113	на первый	3	2
114	ему в	3	2
115	по существу	5	2
116	между ними	2	2
117	для него	3	2
118	в пределах	5	2
119	она не	2	2
120	в аспекте	2	2
121	наряду с	2	2
122	вплоть до	2	2
123	наконец в	2	2
124	и потому	2	2
125	и др	5	2
126	нет и	3	2
127	сами по	2	2
128	картину мира	7	2
129	его жизни	4	2
130	жизни а	2	2
131	и до	2	2
132	смерти и	4	2
133	отношение к	3	2
134	так же	2	2
135	не на	3	2
136	в связи	8	2
137	и только	2	2
138	отношения к	4	2
139	не было	3	2
140	все эти	5	2
141	в двух	2	2
142	человека в	6	2
143	времени в	7	2
144	и для	9	2
145	с точки	8	2
146	это не	2	2
147	роль в	3	2
148	в иной	2	2
149	тем более	3	2
150	каждый из	2	2
151	говорить о	2	2
152	и все	6	2
153	жизни но	2	2
154	его в	6	2
155	мира и	9	2
156	мы имеем	2	2
157	о чем	3	2
