N	2gram	Bakhtin_Fr_8	Myshleni
1	речи и	3	28
2	точки зрения	6	26
3	таким образом	17	26
4	в том	13	24
5	и в	56	23
6	том что	8	21
7	с точки	2	18
8	того чтобы	4	17
9	то что	3	17
10	в этом	14	17
11	так же	2	16
12	не только	8	16
13	для того	2	15
14	что в	5	14
15	может быть	3	14
16	но и	9	14
17	как и	5	14
18	в его	18	14
19	с помощью	3	13
20	не может	2	12
21	в развитии	2	12
22	как бы	11	11
23	сказать что	3	11
24	с другой	2	10
25	прежде всего	6	10
26	в отношении	5	10
27	в качестве	4	9
28	одной стороны	2	9
29	другой стороны	2	9
30	и не	9	9
31	между тем	3	9
32	и с	8	9
33	вместе с	2	9
34	с одной	4	8
35	и на	7	8
36	в основе	4	8
37	в процессе	5	8
38	то же	11	8
39	нашей работы	2	8
40	в этой	6	7
41	в самом	9	7
42	в то	12	7
43	так как	4	7
44	с тем	2	7
45	что он	2	7
46	мы не	2	7
47	и ее	4	7
48	в другом	3	7
49	с этой	2	6
50	все это	8	6
51	потому что	6	6
52	вопрос об	2	6
53	о том	4	6
54	в сущности	8	6
55	и его	12	6
56	другом месте	3	6
57	в себе	4	6
58	только в	9	6
59	перед нами	3	5
60	то время	2	5
61	можно сказать	2	5
62	и как	2	5
63	что для	3	5
64	в своих	4	5
65	и все	6	5
66	бы в	3	5
67	если бы	2	5
68	но в	6	5
69	и более	4	5
70	по своей	4	5
71	он не	5	5
72	слова и	3	5
73	так и	13	5
74	как мы	7	5
75	связан с	2	5
76	и т.д	3	5
77	но не	5	4
78	что все	4	4
79	не в	3	4
80	при этом	4	4
81	что она	2	4
82	в котором	2	4
83	в свете	4	4
84	целый ряд	2	4
85	все эти	15	4
86	фактов и	2	4
87	все остальные	2	4
88	в результате	5	4
89	их в	4	4
90	с его	5	4
91	в одном	2	4
92	к этому	2	4
93	и к	4	4
94	было бы	2	4
95	в своей	2	4
96	сих пор	8	4
97	во всей	2	4
98	как раз	2	4
99	мы видим	6	4
100	ни в	2	4
101	до сих	8	4
102	уже в	2	3
103	что это	4	3
104	в своем	3	3
105	что они	2	3
106	друг другу	2	3
107	образом и	3	3
108	в их	3	3
109	и других	4	3
110	мы находим	3	3
111	от всех	2	3
112	в которых	2	3
113	вовсе не	6	3
114	во всем	4	3
115	такой же	5	3
116	во всех	8	3
117	человека и	2	3
118	на две	2	3
119	все же	2	3
120	самом деле	2	3
121	а не	2	3
122	из которых	2	3
123	и то	2	3
124	в каком	2	3
125	связи с	6	3
126	в которой	4	3
127	в области	5	3
128	в частности	7	2
129	никогда не	5	2
130	в нашем	2	2
131	первый план	2	2
132	же время	10	2
133	для него	2	2
134	несмотря на	2	2
135	хотя и	2	2
136	был бы	3	2
137	один из	5	2
138	мы видели	5	2
139	и до	10	2
140	данном случае	2	2
141	той же	6	2
142	начиная с	2	2
143	в слове	2	2
144	и наконец	3	2
145	и даже	8	2
146	бы и	2	2
147	а в	2	2
148	и те	2	2
149	к его	3	2
150	что эти	2	2
151	в этих	11	2
152	в известном	2	2
153	всех этих	3	2
154	главным образом	3	2
155	в них	11	2
156	с собой	2	2
157	и эти	2	2
158	в ее	6	2
159	из всех	2	2
160	в значительной	2	2
161	две части	2	2
162	себе и	2	2
163	за пределы	4	2
164	наконец в	4	2
165	и потому	4	2
166	даже в	4	2
167	когда он	2	2
168	того как	2	2
169	в ту	4	2
170	уже не	3	2
171	в речи	2	2
172	между ними	2	2
173	в данном	2	2
174	и при	2	2
175	в виде	2	2
176	дело в	2	2
177	там где	3	2
178	не могли	2	2
