N	2gram	Ircho_Kome_2	Istorich
1	и в	26	22
2	мы имеем	2	19
3	в этом	10	17
4	и т	2	16
5	что в	9	15
6	не только	7	14
7	в доме	6	12
8	но и	10	12
9	и не	14	12
10	может быть	11	11
11	в этих	4	11
12	или в	3	11
13	еще не	6	10
14	таким образом	6	10
15	но в	3	10
16	что он	5	9
17	в нем	6	9
18	что и	7	9
19	вместе с	9	9
20	в том	11	9
21	с этим	5	8
22	том что	9	8
23	как мы	4	8
24	с другой	2	7
25	к этому	5	7
26	но не	3	7
27	то что	6	7
28	из них	7	7
29	и здесь	6	7
30	так как	4	7
31	связи с	3	6
32	в них	4	6
33	это не	2	6
34	не вполне	2	6
35	а в	3	6
36	то же	3	6
37	в течение	2	6
38	возможно что	3	6
39	друг друга	3	6
40	так в	2	6
41	мы можем	3	6
42	во время	6	6
43	если бы	9	6
44	не менее	4	5
45	в частности	4	5
46	так что	5	5
47	до сих	2	5
48	один из	5	5
49	все же	4	5
50	что она	2	5
51	он не	2	5
52	сих пор	2	5
53	к нему	3	5
54	в этой	3	5
55	и другие	2	4
56	в другой	2	4
57	не всегда	2	4
58	как это	4	4
59	не в	2	4
60	только в	4	4
61	на этом	2	4
62	одним из	2	4
63	что на	3	4
64	отношение к	2	4
65	для нас	3	4
66	и его	12	4
67	и на	7	4
68	не может	3	4
69	тем что	3	4
70	в других	2	4
71	и с	5	4
72	что у	4	3
73	целый ряд	2	3
74	в одной	2	3
75	и от	4	3
76	и все	2	3
77	представление о	2	3
78	прежде всего	4	3
79	к тому	12	3
80	и к	2	3
81	а затем	5	3
82	как и	4	3
83	этим объясняется	2	3
84	у него	4	3
85	было бы	8	3
86	в его	4	3
87	в целом	4	3
88	со стороны	2	3
89	в связи	3	3
90	и у	2	3
91	с ними	2	3
92	потому что	6	3
93	и ее	2	3
94	из этих	4	3
95	о том	6	3
96	его в	4	3
97	из дому	3	3
98	после смерти	3	2
99	не было	3	2
100	все время	2	2
101	с тем	5	2
102	независимо от	5	2
103	связанных с	2	2
104	и есть	2	2
105	молодых людей	4	2
106	друг другу	3	2
107	представления о	2	2
108	в одном	2	2
109	вовсе не	2	2
110	вопрос о	3	2
111	в тех	3	2
112	во всяком	2	2
113	мы знаем	3	2
114	же в	4	2
115	ни в	5	2
116	тому же	11	2
117	но все	3	2
118	в силу	2	2
119	одна из	2	2
120	с одной	2	2
121	как в	3	2
122	в качестве	5	2
123	то время	3	2
124	после того	2	2
125	на себя	7	2
126	одной стороны	2	2
127	у нее	2	2
128	например в	3	2
129	да и	3	2
130	хотя и	4	2
131	в ней	3	2
132	всяком случае	2	2
133	в котором	3	2
134	даже в	2	2
135	не имеет	3	2
136	то это	2	2
137	отношению к	3	2
138	и это	2	2
139	после этого	2	2
140	жизни и	3	2
141	так и	12	2
142	даже не	3	2
143	по отношению	3	2
144	в своем	6	2
145	никто не	3	2
146	той же	3	2
147	если не	2	2
148	еще более	2	2
149	мы найдем	3	2
150	и что	2	2
151	и для	4	2
152	роль в	2	2
153	время как	2	2
154	дело с	3	2
155	между тем	4	2
156	точки зрения	4	2
157	в то	6	2
158	как будто	4	2
159	как правило	3	2
160	на это	2	2
161	же можно	2	2
162	что по	2	2
163	же не	2	2
164	с собой	2	2
