N	2gram	Savitsky_E_1	StatiiOP
1	и в	37	25
2	в этом	12	24
3	в том	11	20
4	что в	21	19
5	может быть	6	19
6	тем что	3	19
7	что это	2	16
8	том что	6	15
9	в этой	2	14
10	в его	2	12
11	то что	6	12
12	не только	18	12
13	в этих	2	11
14	прежде всего	9	10
15	таким образом	2	10
16	и не	14	10
17	но и	14	9
18	т е	9	8
19	в своих	2	8
20	о том	3	8
21	было бы	8	7
22	с этим	2	7
23	не может	9	7
24	точки зрения	23	7
25	в то	16	7
26	место в	3	6
27	не в	5	6
28	только в	9	6
29	как бы	6	6
30	как в	3	6
31	как на	3	6
32	а в	2	6
33	и на	6	6
34	в россии	5	6
35	в области	11	6
36	между тем	8	6
37	то же	15	5
38	независимо от	4	5
39	в них	3	5
40	потому что	3	5
41	с другой	7	5
42	на то	6	5
43	в котором	2	5
44	связано с	3	5
45	а не	2	5
46	того что	7	5
47	другой стороны	2	5
48	он не	2	5
49	отметить что	3	5
50	так и	10	5
51	но в	14	5
52	этом отношении	3	4
53	с тем	3	4
54	всяком случае	3	4
55	точка зрения	2	4
56	этом смысле	3	4
57	в смысле	9	4
58	как и	7	4
59	мы видим	2	4
60	то в	4	4
61	в качестве	14	4
62	можно сказать	4	4
63	в общем	3	4
64	если бы	2	4
65	и к	3	4
66	в ней	4	4
67	к ней	4	4
68	а также	7	4
69	и тем	3	4
70	в своей	8	4
71	всего в	2	4
72	в течение	5	4
73	с точки	17	4
74	к нему	2	4
75	и для	3	4
76	и с	2	4
77	сказать что	4	4
78	во всяком	3	4
79	в каком	4	4
80	что эти	2	4
81	в эту	2	4
82	что все	2	3
83	и более	2	3
84	в какой	2	3
85	же время	14	3
86	с этой	6	3
87	тем более	4	3
88	и что	2	3
89	одной стороны	8	3
90	и если	2	3
91	несмотря на	4	3
92	между прочим	7	3
93	и наконец	2	3
94	на язык	2	3
95	не является	3	3
96	в некоторых	2	3
97	со стороны	5	3
98	в их	11	3
99	в виде	5	3
100	бы совершенно	2	3
101	так как	7	3
102	во многом	2	2
103	при помощи	2	2
104	все более	9	2
105	никогда не	3	2
106	и во	2	2
107	на долю	3	2
108	тогда когда	2	2
109	но также	2	2
110	вовсе не	6	2
111	утверждать что	2	2
112	или иной	4	2
113	от них	3	2
114	к тому	8	2
115	как мы	5	2
116	такой же	2	2
117	есть в	2	2
118	что если	2	2
119	но не	5	2
120	того же	3	2
121	в остальном	3	2
122	в свою	3	2
123	одной из	5	2
124	в самом	4	2
125	во всех	6	2
126	нас к	2	2
127	если в	2	2
128	в развитии	2	2
129	вместе с	2	2
130	ее в	3	2
131	не на	4	2
132	и только	3	2
133	в отношении	32	2
134	начиная с	2	2
135	россии и	3	2
136	с одной	8	2
137	и других	2	2
138	заключается в	2	2
139	во втором	2	2
140	для того	6	2
141	же к	2	2
142	и по	5	2
143	во многих	4	2
144	мы не	4	2
145	на основе	2	2
146	или в	2	2
147	в которых	3	2
148	в результате	3	2
149	ни на	3	2
150	могут быть	2	2
151	но как	2	2
152	в европейской	2	2
153	не имеет	4	2
154	заметить что	2	2
155	то есть	6	2
