N	2gram	Tiupa_Vved_1	FransuaR
1	и в	13	41
2	то есть	8	20
3	таким образом	4	19
4	в этом	21	15
5	и все	4	14
6	как и	11	14
7	то же	5	13
8	в его	4	12
9	прежде всего	7	11
10	в том	10	11
11	как мы	3	11
12	в себе	5	11
13	так и	8	10
14	в то	4	10
15	в качестве	8	9
16	и его	5	9
17	не в	6	9
18	же время	3	9
19	но и	19	9
20	и т.п	9	9
21	в своем	5	9
22	что в	3	9
23	и от	2	8
24	то что	6	8
25	но в	6	8
26	в них	2	7
27	в романе	6	7
28	как бы	4	7
29	в нем	5	7
30	и не	12	7
31	все они	2	6
32	это не	6	6
33	есть в	2	6
34	для него	3	6
35	только в	6	6
36	о том	5	6
37	к этому	2	5
38	не только	20	5
39	и к	2	5
40	в ней	4	5
41	что и	2	5
42	мы видели	2	5
43	как в	4	5
44	а в	6	5
45	и для	3	5
46	потому что	5	5
47	место в	2	4
48	хотя и	7	4
49	том что	7	4
50	одна из	4	4
51	все что	3	4
52	было бы	4	4
53	картины мира	5	4
54	может быть	18	4
55	он не	3	4
56	целый ряд	2	4
57	и наконец	2	4
58	мира и	2	4
59	и на	3	4
60	и с	2	4
61	мира в	8	4
62	нового времени	3	3
63	в мире	8	3
64	но это	3	3
65	свою очередь	4	3
66	в своей	5	3
67	в свою	4	3
68	при этом	26	3
69	например в	2	3
70	жизни и	7	3
71	во всех	2	3
72	не может	7	3
73	не было	2	3
74	в той	4	3
75	тем самым	5	3
76	не имеет	2	3
77	и по	3	3
78	можно было	2	3
79	тем что	2	3
80	как о	2	3
81	так сказать	2	3
82	перед нами	6	2
83	а на	2	2
84	никогда не	4	2
85	в этих	3	2
86	в одной	2	2
87	на самом	4	2
88	о котором	2	2
89	к тому	6	2
90	связано с	3	2
91	отношению к	7	2
92	более или	2	2
93	по своему	2	2
94	точка зрения	3	2
95	до конца	3	2
96	отношение к	2	2
97	еще не	7	2
98	того что	6	2
99	своего рода	10	2
100	одного из	3	2
101	свидетельствует о	4	2
102	картина мира	12	2
103	а также	8	2
104	и времени	2	2
105	начала и	2	2
106	или менее	2	2
107	во времени	2	2
108	по отношению	7	2
109	этом отношении	4	2
110	а не	15	2
111	уже не	5	2
112	мы не	4	2
113	в данном	13	2
114	и мира	3	2
115	в результате	3	2
116	их в	2	2
117	в литературе	2	2
118	и т.д	5	2
119	также и	4	2
120	далеко не	4	2
121	как он	2	2
122	бы в	3	2
123	с ним	3	2
124	в области	3	2
125	мы имеем	5	2
126	том как	3	2
