N	3gram	Voloshinov_2	Freidism
1	с точки зрения	13	11
2	по отношению к	8	8
3	во всяком случае	2	7
4	не может быть	10	7
5	в самом деле	5	6
6	в большинстве случаев	5	5
7	и прежде всего	2	5
8	то же время	8	4
9	в то же	8	4
10	как мы видели	3	4
11	в зависимости от	2	4
12	как мы уже	3	4
13	на самом деле	4	4
14	с самого начала	5	3
15	бы то ни	4	3
16	в свою очередь	5	3
17	если бы он	3	3
18	в таком случае	3	3
19	в следующей главе	2	3
20	в собственном смысле	2	3
21	мы можем сказать	2	3
22	для того чтобы	6	3
23	в узком смысле	2	2
24	то же самое	5	2
25	внутренней и внешней	2	2
26	с одной стороны	3	2
27	и не может	3	2
28	то ни было	4	2
29	в отличие от	3	2
30	в высшей степени	3	2
31	может быть и	5	2
32	до сих пор	3	2
33	но в то	5	2
34	мы уже знаем	2	2
