N	2gram	Tiupa_Narr_2	Myslijsy
1	потому что	2	46
2	то есть	9	34
3	в слове	3	32
4	в том	14	32
5	и в	13	30
6	может быть	10	28
7	то же	4	23
8	не только	26	21
9	только в	11	21
10	для нас	2	20
11	но и	15	19
12	том что	13	18
13	то что	8	18
14	того что	6	18
15	что в	4	17
16	в себе	8	16
17	в сознании	2	15
18	не в	8	15
19	и не	14	15
20	а не	17	15
21	таким образом	5	14
22	что и	2	13
23	точно так	2	12
24	а в	9	12
25	если бы	4	12
26	так и	9	11
27	в душе	2	10
28	как и	4	10
29	как в	5	10
30	и что	2	10
31	в этом	13	10
32	в то	5	10
33	из этих	2	9
34	для него	4	9
35	было бы	2	9
36	в нем	5	9
37	мы не	2	9
38	между тем	3	9
39	в самом	2	8
40	в ней	2	8
41	только что	2	8
42	с другой	5	7
43	вовсе не	2	7
44	к тому	9	7
45	но не	3	7
46	с одной	5	7
47	тем самым	5	7
48	зависит от	2	6
49	что он	5	6
50	но это	2	6
51	те же	2	6
52	то и	3	6
53	не может	8	6
54	уже не	4	6
55	не имеет	2	6
56	с ним	4	6
57	одно из	2	5
58	же время	3	5
59	в своем	6	5
60	еще не	2	5
61	мысль о	2	5
62	только по	2	5
63	и тем	5	5
64	отношению к	5	5
65	не менее	4	5
66	по отношению	5	5
67	как на	2	5
68	тому как	2	5
69	не следует	3	5
70	сказать что	3	5
71	и т	2	5
72	что я	3	5
73	к ней	3	5
74	что это	4	4
75	столь же	2	4
76	оно не	2	4
77	все что	4	4
78	в его	6	4
79	в котором	5	4
80	тем более	2	4
81	не все	2	4
82	один из	3	4
83	не к	4	4
84	и его	3	4
85	он не	5	4
86	если не	2	4
87	и по	3	4
88	по поводу	2	4
89	далеко не	5	4
90	в каждой	2	4
91	место в	5	3
92	быть может	2	3
93	тому что	3	3
94	прежде всего	6	3
95	и все	4	3
96	представить себе	3	3
97	тем не	5	3
98	именно в	2	3
99	а к	3	3
100	не будет	2	3
101	в свою	2	3
102	можно сказать	6	3
103	одной стороны	5	3
104	при этом	14	3
105	вслед за	6	3
106	никак не	3	3
107	что она	2	3
108	как бы	6	3
109	для себя	3	3
110	от всего	2	3
111	в целом	3	3
112	на него	5	3
113	со стороны	6	3
114	только на	2	3
115	того чтобы	3	3
116	в силу	4	3
117	так же	2	3
118	в таком	3	3
119	говорить о	2	3
120	в начале	2	3
121	ответ на	5	3
122	в чем	2	3
123	том как	2	3
124	только не	2	2
125	перед нами	4	2
126	во время	2	2
127	об этом	4	2
128	со своей	2	2
129	в какой	4	2
130	не столько	5	2
131	с нею	2	2
132	а как	3	2
133	на то	2	2
134	именно то	2	2
135	ему в	2	2
136	что с	2	2
137	в ее	4	2
138	в этой	4	2
139	что они	3	2
140	по своему	2	2
141	как о	2	2
142	у него	6	2
143	несмотря на	2	2
144	о любви	2	2
145	на стороне	2	2
146	собственно говоря	2	2
147	с таким	2	2
148	его жизни	2	2
149	все же	6	2
150	же в	4	2
151	жизни и	4	2
152	в своей	4	2
153	в форме	5	2
154	т п	2	2
155	тогда как	15	2
156	в других	2	2
157	в виде	2	2
158	а с	2	2
159	этом отношении	3	2
160	к своему	2	2
161	самом деле	3	2
162	и даже	3	2
163	той же	2	2
164	с этой	3	2
165	которое не	2	2
166	точки зрения	5	2
167	подобно тому	2	2
168	у меня	2	2
169	бы в	2	2
170	о том	5	2
171	так сказать	3	2
172	которая не	2	2
173	в области	2	2
174	большей части	3	2
