N	2gram	Tiupa_Disk_1	Istorich
1	в сказке	3	36
2	и в	16	24
3	что он	4	21
4	не только	28	21
5	может быть	17	14
6	не может	9	14
7	что в	4	13
8	мы имеем	2	12
9	как в	10	12
10	в этом	15	12
11	но и	14	11
12	это не	3	10
13	том что	19	10
14	а в	5	10
15	и что	2	10
16	с другой	10	9
17	не в	7	9
18	все же	3	9
19	о том	8	9
20	потому что	4	9
21	еще не	14	8
22	что и	3	8
23	другой стороны	3	8
24	то же	7	8
25	а не	22	8
26	или в	2	8
27	один из	3	7
28	в том	23	7
29	во всех	5	7
30	то что	5	7
31	таким образом	3	7
32	тем что	3	6
33	об этом	2	6
34	как и	16	6
35	но не	11	6
36	в нем	9	6
37	и все	2	6
38	того что	3	6
39	только в	7	6
40	не менее	2	5
41	в тех	2	5
42	одной стороны	9	5
43	отношение к	4	5
44	дело не	2	5
45	так и	8	5
46	с одной	9	5
47	героя и	2	5
48	но в	8	5
49	никогда не	2	4
50	представления о	2	4
51	не всегда	2	4
52	представляет собой	17	4
53	при этом	13	4
54	одной из	4	4
55	своего рода	8	4
56	как бы	5	4
57	в их	5	4
58	в сказках	2	4
59	и не	11	4
60	точки зрения	3	4
61	в данном	5	4
62	уже в	2	3
63	с его	4	3
64	в качестве	34	3
65	в них	4	3
66	но они	2	3
67	в различных	2	3
68	например в	2	3
69	том чтобы	2	3
70	и герой	2	3
71	когда он	2	3
72	данном случае	2	3
73	по своим	4	3
74	как мы	2	3
75	должны быть	3	3
76	и даже	3	3
77	и он	2	3
78	и по	2	3
79	и его	2	3
80	к сыну	2	3
81	хотя и	2	3
82	к себе	2	3
83	связи с	4	3
84	тогда как	19	3
85	перед нами	3	2
86	того же	3	2
87	или даже	2	2
88	к этому	2	2
89	прежде всего	11	2
90	в литературе	2	2
91	стороны и	2	2
92	то ли	2	2
93	и ее	2	2
94	в то	3	2
95	в ее	3	2
96	исторические корни	2	2
97	в силу	5	2
98	так например	2	2
99	в форме	2	2
100	в действительности	3	2
101	не от	2	2
102	на его	4	2
103	в самом	3	2
104	и о	4	2
105	к ним	3	2
106	в котором	5	2
107	и др	2	2
108	на себя	2	2
109	направлен на	2	2
110	и тем	2	2
111	на том	2	2
112	со стороны	7	2
113	отличается от	2	2
114	уже не	4	2
115	в особенности	4	2
116	что не	4	2
117	и сказка	3	2
118	сказать что	3	2
119	в основе	7	2
120	из них	3	2
121	в одной	3	2
122	с этим	3	2
123	и на	5	2
124	они не	2	2
125	на небесах	2	2
126	но при	3	2
