N	2gram	Losev_Vesc_1	FransuaR
1	и в	21	40
2	и его	2	17
3	прежде всего	9	16
4	в этом	4	15
5	мы уже	3	13
6	не только	36	13
7	и не	29	13
8	в его	2	13
9	что в	9	12
10	вовсе не	10	12
11	как и	8	11
12	но и	18	11
13	таким образом	8	10
14	как мы	4	10
15	и все	5	9
16	в сущности	4	9
17	может быть	16	9
18	в том	8	8
19	у него	2	8
20	все эти	3	8
21	и с	8	8
22	той же	2	8
23	но в	5	8
24	в своем	6	7
25	в одном	2	7
26	то же	6	7
27	в виду	2	7
28	мы еще	2	6
29	в самом	9	6
30	во всех	2	6
31	в своей	5	6
32	в той	3	6
33	в то	3	6
34	мы видим	2	5
35	как раз	9	5
36	в нем	2	5
37	то что	27	5
38	а не	19	5
39	и для	9	5
40	в основе	3	5
41	для него	4	5
42	и во	3	4
43	у нас	7	4
44	том что	8	4
45	было бы	14	4
46	в ней	12	4
47	из них	4	4
48	и потому	5	4
49	один из	3	4
50	жизни и	2	4
51	все это	5	4
52	еще более	2	4
53	только на	3	4
54	о том	6	4
55	и о	3	4
56	в данном	5	4
57	того чтобы	3	4
58	и даже	6	4
59	также и	6	4
60	и здесь	4	4
61	так как	7	4
62	если бы	5	3
63	и от	3	3
64	об этом	3	3
65	в ее	7	3
66	но это	10	3
67	в этой	3	3
68	для этого	4	3
69	одна из	5	3
70	кроме того	4	3
71	еще не	8	3
72	но именно	2	3
73	и есть	26	3
74	никак не	3	3
75	и следовательно	7	3
76	как бы	12	3
77	что и	3	3
78	другими словами	5	3
79	дело не	2	3
80	так и	3	3
81	не может	17	3
82	а в	4	3
83	мы находим	2	3
84	самом деле	4	3
85	слово в	2	3
86	для того	2	3
87	между ними	3	3
88	и как	8	3
89	можно было	2	3
90	сказать что	17	3
91	тем что	2	3
92	в себе	14	3
93	в другом	2	3
94	только в	14	3
95	но ведь	2	3
96	в конце	2	3
97	и самое	2	3
98	в свете	7	3
99	их в	3	3
100	слова в	2	2
101	из самых	2	2
102	не менее	3	2
103	есть и	4	2
104	ее не	2	2
105	и этот	2	2
106	в подлинном	2	2
107	еще и	8	2
108	с в	2	2
109	на их	2	2
110	сравнению с	6	2
111	хотя бы	6	2
112	с другой	6	2
113	это не	5	2
114	с нею	18	2
115	и вот	2	2
116	можно сказать	6	2
117	момент в	6	2
118	все же	4	2
119	это и	6	2
120	основе своей	2	2
121	это есть	7	2
122	на этом	2	2
123	но не	5	2
124	и если	2	2
125	тут же	2	2
126	в первой	2	2
127	по преимуществу	2	2
128	свидетельствует о	3	2
129	и понимания	2	2
130	той или	2	2
131	в котором	3	2
132	слова и	5	2
133	дело в	4	2
134	данном случае	2	2
135	как нечто	2	2
136	в разных	4	2
137	это вовсе	2	2
138	должны быть	4	2
139	и у	3	2
140	со всем	5	2
141	нас в	3	2
142	образ и	3	2
143	потому что	16	2
144	с этим	3	2
145	даже и	4	2
146	но он	2	2
147	точки зрения	5	2
148	и ее	18	2
149	выражение в	3	2
150	и еще	2	2
151	по сравнению	7	2
152	и это	14	2
153	ни от	5	2
154	того же	5	2
155	и необходимо	2	2
156	мы не	6	2
157	и сама	3	2
