N	2gram	Tiupa_Lite_1	Morfolog
1	может быть	13	52
2	таким образом	3	20
3	представляет собой	4	17
4	не может	5	17
5	могут быть	2	15
6	и в	8	13
7	в этом	12	13
8	и др	3	12
9	связи с	6	11
10	прежде всего	11	9
11	так и	4	9
12	в связи	4	9
13	то же	5	9
14	и не	12	9
15	а не	16	9
16	с другой	3	8
17	в качестве	17	7
18	все же	4	7
19	это не	4	6
20	в том	16	6
21	но не	4	6
22	а также	5	6
23	а в	3	6
24	подобно тому	2	6
25	не менее	7	5
26	тому как	2	5
27	в поле	2	5
28	далеко не	3	5
29	как бы	7	5
30	один из	3	5
31	то что	10	5
32	потому что	3	5
33	что в	3	4
34	что его	3	4
35	тем не	2	4
36	отношению к	2	4
37	было бы	2	4
38	несмотря на	3	4
39	не только	24	4
40	то это	2	4
41	как в	5	4
42	тех же	3	4
43	по отношению	3	4
44	как и	6	4
45	следующим образом	2	4
46	тем что	2	4
47	точки зрения	6	4
48	с точки	2	4
49	на этом	2	4
50	также и	3	4
51	его в	3	4
52	это уже	2	3
53	с собой	4	3
54	же в	5	3
55	том что	14	3
56	в целом	8	3
57	в пределах	3	3
58	в сущности	2	3
59	во втором	2	3
60	не является	2	3
61	но и	17	3
62	самом деле	2	3
63	друг друга	4	3
64	из них	4	3
65	в то	5	3
66	но в	3	3
67	в частности	15	2
68	однако в	2	2
69	хотя бы	2	2
70	та же	2	2
71	этого не	2	2
72	состоит в	11	2
73	что он	5	2
74	имеется в	2	2
75	из его	2	2
76	только в	8	2
77	для него	2	2
78	одной стороны	2	2
79	себя в	6	2
80	и только	2	2
81	с одной	2	2
82	все эти	2	2
83	к себе	3	2
84	того что	6	2
85	что такое	2	2
86	уже не	7	2
87	тем же	3	2
88	и его	4	2
89	можно было	2	2
90	в другом	2	2
91	самого себя	3	2
92	о том	2	2
93	одна из	3	2
94	как это	8	2
