N	2gram	Potebnia_M_2	Tragedij
1	и в	24	18
2	в этом	8	9
3	не только	15	8
4	и не	19	7
5	и на	8	7
6	может быть	23	7
7	как бы	9	7
8	что он	4	6
9	и его	2	6
10	же время	2	6
11	у него	2	6
12	но в	4	6
13	все же	5	5
14	что это	3	5
15	так и	5	5
16	это не	3	5
17	не может	12	5
18	то же	12	5
19	как и	7	5
20	в то	6	5
21	но и	9	4
22	то что	20	4
23	в целом	3	4
24	что в	16	4
25	все это	2	4
26	прежде всего	7	4
27	и все	3	4
28	в нем	9	4
29	так же	2	4
30	том что	8	4
31	но это	3	4
32	и что	4	4
33	в себе	10	4
34	еще не	4	4
35	уже в	5	3
36	один из	2	3
37	что за	2	3
38	как в	10	3
39	все эти	2	3
40	тем самым	4	3
41	и как	6	3
42	должно быть	2	3
43	в его	2	3
44	что с	2	3
45	для него	10	3
46	при этом	13	3
47	мог бы	3	3
48	как это	2	3
49	с ним	5	3
50	то есть	30	3
51	под влиянием	8	2
52	не имеет	6	2
53	не могут	7	2
54	что и	11	2
55	в душе	23	2
56	боли и	2	2
57	то и	9	2
58	что все	2	2
59	вопрос о	2	2
60	если б	5	2
61	уже не	4	2
62	с его	2	2
63	вместе со	2	2
64	столь же	5	2
65	не так	3	2
66	и здесь	2	2
67	в том	18	2
68	друг друга	2	2
69	но все	2	2
70	так что	10	2
71	в таком	4	2
72	не в	13	2
73	с первого	2	2
74	вряд ли	3	2
75	точно так	9	2
76	и то	3	2
77	одна из	4	2
78	потому что	49	2
79	ничем не	2	2
80	с тем	4	2
81	тем что	7	2
82	было в	2	2
83	по поводу	6	2
84	о том	5	2
85	его в	3	2
86	и это	2	2
87	в самом	4	2
88	в одном	6	2
89	что она	3	2
90	никогда не	4	2
91	одном из	4	2
