N	2gram	Nazirov_Tr_1	Analitik
1	может быть	7	29
2	в том	2	27
3	не может	5	22
4	и не	7	21
5	в частности	2	19
6	и в	18	18
7	но и	4	17
8	отнюдь не	3	15
9	не только	8	15
10	не в	2	14
11	как и	5	13
12	в его	3	13
13	в этом	9	13
14	том что	4	12
15	при этом	3	12
16	в себе	4	11
17	то есть	3	11
18	то же	5	9
19	в то	5	9
20	в мире	3	8
21	но в	6	8
22	к тому	2	7
23	тем самым	3	7
24	это не	5	6
25	прежде всего	4	6
26	же время	6	6
27	в самом	2	6
28	то что	4	6
29	в отличие	2	6
30	отличие от	2	6
31	и как	3	5
32	в этой	4	5
33	что в	4	5
34	как бы	7	5
35	в целом	4	5
36	и его	6	5
37	и на	7	5
38	о том	2	5
39	столь же	2	4
40	ни в	2	4
41	все же	5	4
42	так и	5	4
43	уже не	2	4
44	с ним	3	4
45	не могут	2	3
46	с его	2	3
47	и все	4	3
48	в нем	4	3
49	в ходе	2	3
50	что он	6	3
51	еще не	4	3
52	никто не	3	3
53	он не	2	3
54	что и	2	3
55	к нему	3	3
56	в таком	2	3
57	не случайно	2	3
58	как будто	3	3
59	своего рода	3	3
60	и то	2	2
61	никогда не	2	2
62	все эти	3	2
63	не просто	2	2
64	вопрос о	2	2
65	а как	2	2
66	один в	3	2
67	должно быть	3	2
68	и сам	3	2
69	отношение к	2	2
70	для него	3	2
71	несмотря на	5	2
72	еще в	2	2
73	один из	3	2
74	как говорит	2	2
75	и до	2	2
76	данном случае	2	2
77	который в	2	2
78	в данном	2	2
79	в первом	2	2
80	потому что	2	2
81	и с	7	2
