N	2gram	Losev_Prob_1	Mirosoze
1	может быть	14	30
2	не только	17	29
3	и в	32	28
4	не может	8	28
5	но и	9	25
6	а не	15	25
7	он не	3	24
8	в этом	19	20
9	не было	4	18
10	не в	4	16
11	потому что	16	16
12	в своей	8	15
13	и есть	6	14
14	никогда не	7	14
15	в нем	13	13
16	и это	9	12
17	для него	2	11
18	в самом	6	11
19	и не	31	11
20	что в	12	10
21	в своем	5	10
22	из подполья	2	10
23	прежде всего	10	10
24	и все	7	10
25	что он	7	10
26	было бы	8	10
27	и потому	2	10
28	но он	3	9
29	с тем	5	9
30	в его	6	9
31	не есть	29	9
32	и его	3	9
33	но не	9	8
34	в котором	5	8
35	в самой	3	7
36	того что	7	7
37	в конце	6	7
38	но в	14	7
39	нет ничего	10	7
40	к нему	3	7
41	в себе	15	7
42	он сам	2	6
43	в том	9	6
44	в этой	10	6
45	все это	7	6
46	и на	8	6
47	вместе с	2	6
48	только в	7	6
49	в которой	2	6
50	не могут	2	5
51	это не	6	5
52	у нас	14	5
53	как и	3	5
54	то что	42	5
55	нет и	2	5
56	уже в	3	4
57	в этих	3	4
58	не знал	5	4
59	смысле слова	7	4
60	в их	4	4
61	а в	4	4
62	в которых	3	4
63	точки зрения	3	4
64	в них	7	4
65	не как	2	4
66	один из	4	4
67	она не	2	4
68	за пределы	6	4
69	есть не	6	4
70	уже не	3	4
71	тем что	7	4
72	значит что	3	4
73	к тому	3	3
74	для нас	5	3
75	это есть	9	3
76	но если	2	3
77	в него	2	3
78	только и	3	3
79	не имеет	2	3
80	должно быть	2	3
81	особенно в	2	3
82	с этим	3	3
83	и еще	3	3
84	его в	6	3
85	так как	11	3
86	то есть	33	3
87	и с	2	3
88	с его	2	3
89	для них	2	3
90	одно из	2	3
91	он должен	2	3
92	в жизни	3	3
93	с собой	2	3
94	человека а	2	3
95	в ее	3	3
96	том что	12	3
97	учение о	3	3
98	есть и	3	3
99	ничего не	10	3
100	мы увидим	3	3
101	на том	4	3
102	хотя бы	3	3
103	по своему	9	2
104	прежде чем	3	2
105	вообще не	2	2
106	момент в	2	2
107	его как	2	2
108	о чем	6	2
109	для того	8	2
110	есть также	3	2
111	на этот	3	2
112	в виду	6	2
113	могут быть	2	2
114	все эти	8	2
115	и что	9	2
116	есть только	8	2
117	также и	11	2
118	сказать что	13	2
119	даже и	8	2
120	он и	8	2
121	в истории	4	2
122	как бы	14	2
123	о том	11	2
124	как он	4	2
125	не значит	2	2
126	когда мы	8	2
127	с ним	3	2
128	понять его	2	2
129	не существует	6	2
130	если бы	4	2
131	и во	3	2
132	и уж	2	2
133	мы видим	2	2
134	литературы и	4	2
135	в то	6	2
136	ведь это	2	2
137	как будто	3	2
138	до сих	3	2
139	как для	2	2
140	о нем	3	2
141	не хочет	3	2
142	сих пор	3	2
143	как в	4	2
144	и сама	2	2
145	оказывается что	2	2
146	входит в	4	2
147	разного рода	6	2
148	того чтобы	9	2
149	и как	6	2
150	и для	4	2
151	конце концов	4	2
152	он в	2	2
153	в каком	3	2
