N	2gram	Medvedev_V_1	Problema
1	и не	19	28
2	не только	25	24
3	только в	7	23
4	вовсе не	3	21
5	в том	15	20
6	и в	26	20
7	все эти	6	16
8	смысле слова	2	15
9	то что	6	15
10	у нас	2	14
11	было бы	7	14
12	но и	10	14
13	точки зрения	3	14
14	перед нами	4	13
15	или иной	2	13
16	не в	6	13
17	также и	2	13
18	даже и	3	13
19	в себе	6	12
20	том что	8	12
21	прежде всего	13	11
22	по себе	2	11
23	не менее	2	10
24	отнюдь не	3	10
25	в качестве	11	10
26	не является	5	10
27	так и	5	10
28	и его	6	10
29	при помощи	3	10
30	может быть	22	9
31	все это	10	9
32	и даже	2	9
33	в этом	26	9
34	если бы	3	8
35	что он	4	8
36	таким образом	31	8
37	в результате	5	8
38	но в	2	8
39	значит что	2	8
40	с другой	11	7
41	это не	7	7
42	еще не	2	7
43	и потому	2	7
44	то же	10	7
45	именно в	2	7
46	а не	7	7
47	сказать что	5	7
48	в ней	2	7
49	хотя бы	19	7
50	об этом	9	6
51	всех этих	2	6
52	и от	3	6
53	по крайней	2	6
54	художественный образ	5	6
55	как и	7	6
56	крайней мере	2	6
57	в виду	4	6
58	другой стороны	8	6
59	же самое	2	6
60	мы имеем	3	6
61	но не	2	5
62	хотя и	2	5
63	в нем	6	5
64	можно сказать	4	5
65	в целях	2	5
66	в ее	4	5
67	действительности и	7	5
68	жизни и	3	5
69	вместе с	7	5
70	так же	3	5
71	не может	17	5
72	в них	4	5
73	или в	3	5
74	о том	10	5
75	художественных образов	4	4
76	с тем	3	4
77	и есть	5	4
78	но даже	3	4
79	и для	2	4
80	в одном	4	4
81	и ее	4	4
82	что его	2	4
83	это и	6	4
84	в этой	4	4
85	только не	2	4
86	в своей	4	4
87	что она	2	4
88	как бы	5	4
89	и т	23	4
90	же в	6	4
91	во всех	6	4
92	отличается от	2	4
93	с этим	3	4
94	а в	3	4
95	что не	3	4
96	и наконец	2	4
97	можно было	2	4
98	как раз	3	4
99	в то	6	4
100	в художественном	10	4
101	нет ни	2	4
102	в связи	3	3
103	человека в	2	3
104	к тому	4	3
105	и весь	2	3
106	можно ли	2	3
107	все они	2	3
108	у пушкина	2	3
109	в жизни	2	3
110	и к	3	3
111	для него	8	3
112	и как	3	3
113	связи с	4	3
114	себе и	2	3
115	между прочим	2	3
116	образы и	5	3
117	вплоть до	2	3
118	же и	2	3
119	в его	14	3
120	и этот	2	3
121	то это	2	3
122	что и	3	3
123	в зависимости	6	3
124	что в	10	3
125	бы и	6	3
126	в своем	8	3
127	т д	14	3
128	не было	7	3
129	еще и	2	3
130	для того	3	3
131	из которых	2	3
132	что мы	2	3
133	в самых	2	3
134	с другими	2	3
135	которая не	2	3
136	из них	9	3
137	чем же	4	3
138	к его	2	3
139	но как	3	3
140	в сознании	4	3
141	в другом	2	3
142	зависимости от	5	3
143	того или	2	3
144	явлений и	3	3
145	не обходится	3	3
146	как это	12	3
147	в области	2	3
148	как о	2	3
149	в конкретной	2	2
150	для его	4	2
151	в частности	11	2
152	по этому	9	2
153	из себя	2	2
154	и непосредственно	2	2
155	в конце	3	2
156	значительной мере	3	2
157	только очень	2	2
158	разобраться в	2	2
159	представить себе	2	2
160	стороны и	2	2
161	с его	3	2
162	нет и	3	2
163	остановимся на	2	2
164	является не	4	2
165	что они	3	2
166	объективного мира	2	2
167	заключается в	2	2
168	по одному	2	2
169	в пределах	5	2
170	и может	2	2
171	том как	3	2
172	в самом	4	2
173	ни одна	2	2
174	том чтобы	2	2
175	между собою	2	2
176	он не	2	2
177	действительность в	2	2
178	относится к	2	2
179	не вполне	2	2
180	в котором	3	2
181	все же	5	2
182	каждой из	2	2
183	говорит о	7	2
184	диалектического развития	2	2
185	или менее	6	2
186	всех других	3	2
187	л толстой	10	2
188	свидетельствуют о	2	2
189	уже по	2	2
190	чтобы не	2	2
191	что без	2	2
192	того чтобы	3	2
193	и он	2	2
194	только что	4	2
195	и по	3	2
196	художественной структуры	2	2
197	с ними	4	2
198	в значительной	3	2
199	говорить о	2	2
200	далеко не	2	2
201	будто бы	2	2
202	его в	3	2
203	в чем	2	2
204	в которой	2	2
205	более или	6	2
