N	2gram	Tiupa_Anal_3	KulturaY
1	и в	18	23
2	точки зрения	3	23
3	в том	9	22
4	не только	22	17
5	было бы	3	16
6	в этом	14	16
7	с точки	2	16
8	может быть	9	14
9	самом деле	2	14
10	что в	9	13
11	в самом	5	13
12	не менее	4	12
13	том что	12	11
14	а не	9	11
15	в его	7	11
16	и не	12	10
17	прежде всего	5	9
18	тем не	2	9
19	еще не	6	9
20	таким образом	4	9
21	лишь в	5	8
22	уже не	5	8
23	с другой	7	7
24	или иной	5	7
25	те же	2	7
26	в данном	4	7
27	сказать что	2	7
28	все эти	2	7
29	как это	3	7
30	с тем	2	6
31	по себе	4	6
32	что и	5	6
33	что он	4	6
34	при этом	11	6
35	так и	14	6
36	в их	6	6
37	не может	2	6
38	то же	3	6
39	в общем	2	6
40	могут быть	2	6
41	говорить о	3	6
42	только в	2	6
43	о том	6	6
44	ничего не	3	6
45	в рамках	3	5
46	как и	14	5
47	не в	6	5
48	совершенно не	2	5
49	хотя и	2	5
50	что она	2	5
51	как бы	10	5
52	все же	4	5
53	а в	10	5
54	тем что	2	5
55	той или	3	5
56	из этих	3	5
57	далеко не	4	5
58	в первом	2	5
59	были бы	3	4
60	один из	2	4
61	этого слова	2	4
62	а также	2	4
63	в целом	3	4
64	того же	5	4
65	тех пор	2	4
66	одной стороны	2	4
67	не случайно	8	4
68	столь же	4	4
69	в сущности	5	4
70	в ее	3	4
71	то что	2	4
72	данном случае	3	4
73	как в	3	4
74	как раз	7	4
75	в своем	4	4
76	не было	3	4
77	с одной	2	4
78	в той	2	4
79	тем самым	4	4
80	что не	3	4
81	в слове	5	4
82	не столько	3	4
83	между тем	5	4
84	однако что	4	4
85	уже в	3	3
86	отнюдь не	4	3
87	вопроса о	2	3
88	это не	2	3
89	именно в	3	3
90	есть не	2	3
91	к тому	6	3
92	и к	4	3
93	но как	3	3
94	это и	2	3
95	то в	2	3
96	но не	7	3
97	очевидно что	2	3
98	по поводу	3	3
99	по преимуществу	2	3
100	он не	6	3
101	не есть	4	3
102	но и	13	3
103	по отношению	7	3
104	другой стороны	5	3
105	тому же	3	3
106	и вот	2	3
107	мы не	3	3
108	в ней	2	3
109	бы и	2	3
110	той же	5	3
111	в результате	5	3
112	в то	3	3
113	я в	5	3
114	там где	2	3
115	когда мы	2	3
116	я и	3	3
117	так сказать	2	2
118	все это	3	2
119	о чем	4	2
120	в частности	12	2
121	все они	2	2
122	не как	2	2
123	одного и	3	2
124	в одном	4	2
125	не более	2	2
126	в тех	2	2
127	сама по	2	2
128	можно сказать	4	2
129	но сам	2	2
130	и здесь	2	2
131	состоит в	4	2
132	и того	3	2
133	и как	4	2
134	в дальнейшем	2	2
135	что они	3	2
136	по своему	2	2
137	свое время	2	2
138	тот или	2	2
139	или иным	2	2
140	в качестве	12	2
141	иначе говоря	2	2
142	в свое	2	2
143	однако в	5	2
144	его в	3	2
145	не с	2	2
146	отношению к	7	2
147	в пределах	4	2
148	своего рода	8	2
149	когда он	2	2
150	вместе с	2	2
151	дело не	3	2
152	и без	3	2
153	внимание на	4	2
154	так в	3	2
155	в отличие	2	2
156	как к	2	2
157	в особенности	3	2
158	который как	2	2
159	путь к	3	2
160	более чем	2	2
161	на себя	2	2
162	во всяком	2	2
163	а вот	2	2
164	что мы	2	2
165	тому как	2	2
166	еще и	3	2
167	здесь не	3	2
168	отличие от	2	2
169	мы имеем	5	2
170	но в	2	2
171	и следует	2	2
