N	2gram	Tiupa_Hudo_1	Mirosoze
1	и в	14	46
2	в нем	3	22
3	у него	9	22
4	может быть	5	21
5	в этом	11	20
6	никогда не	6	18
7	для него	10	18
8	и не	2	18
9	не только	12	18
10	но и	5	15
11	не может	7	15
12	человека в	6	14
13	как и	9	13
14	а не	12	13
15	прежде всего	11	12
16	друг друга	5	12
17	потому что	5	12
18	не было	4	11
19	в ней	4	11
20	но он	3	11
21	и он	5	11
22	та же	4	10
23	но в	5	10
24	он не	4	10
25	в себе	11	10
26	не в	7	9
27	не знает	2	9
28	как бы	7	8
29	в своем	4	8
30	она не	4	8
31	в мире	3	7
32	в этой	8	7
33	что он	9	7
34	и к	4	7
35	и потому	2	7
36	как в	8	7
37	и для	3	7
38	вопрос о	2	6
39	того что	4	6
40	жизни и	5	6
41	в русской	4	6
42	то же	9	5
43	в самом	4	5
44	один из	4	5
45	что она	4	5
46	это не	7	5
47	в конце	4	5
48	и все	4	5
49	в духе	4	5
50	к тому	7	5
51	по преимуществу	3	5
52	то что	8	5
53	в своей	10	5
54	и его	5	5
55	в его	8	5
56	и это	4	5
57	что в	6	4
58	тому что	4	4
59	до конца	2	4
60	человека не	2	4
61	что у	3	4
62	они не	2	4
63	не имеет	2	4
64	с его	5	4
65	том что	16	4
66	себя в	4	4
67	так и	13	4
68	т е	4	4
69	уже не	7	4
70	того чтобы	3	4
71	человек в	2	3
72	же как	2	3
73	себя и	2	3
74	и от	4	3
75	в такой	2	3
76	ни в	5	3
77	в том	12	3
78	каждого человека	2	3
79	жизни в	6	3
80	в своих	3	3
81	и на	3	3
82	и с	4	3
83	по своей	4	3
84	о том	12	3
85	его в	3	3
86	как он	2	3
87	нет ничего	2	3
88	с ним	4	3
89	если бы	3	3
90	к другому	4	3
91	до сих	2	3
92	не бывает	2	3
93	сих пор	2	3
94	все равно	2	3
95	той же	2	3
96	тем что	3	3
97	с другим	2	3
98	только в	5	3
99	в творчестве	3	3
100	в этих	5	2
101	быть может	7	2
102	в человеке	2	2
103	я и	2	2
104	да и	2	2
105	человека его	2	2
106	так что	2	2
107	в действительности	4	2
108	со своим	2	2
109	на его	2	2
110	такого рода	3	2
111	хотя и	2	2
112	не имеют	3	2
113	по отношению	8	2
114	как к	3	2
115	лишь в	3	2
116	друг для	3	2
117	должно быть	2	2
118	а в	7	2
119	к себе	5	2
120	личности и	2	2
121	не о	2	2
122	точки зрения	5	2
123	не случайно	7	2
124	между тем	8	2
125	на этом	3	2
126	не означает	2	2
127	превращается в	3	2
128	личности в	7	2
129	по себе	2	2
130	интерес к	5	2
131	то в	4	2
132	связи с	4	2
133	и что	2	2
134	себе и	2	2
135	личности к	2	2
136	он уже	4	2
137	еще в	3	2
138	отношению к	8	2
139	что же	2	2
140	человеческой жизни	4	2
141	в центре	4	2
142	но с	2	2
143	к своему	2	2
144	что не	2	2
145	можно было	5	2
146	для друга	3	2
147	как будто	4	2
148	ничего не	8	2
149	и поэтому	2	2
