N	2gram	Kanaev_Sov_1	Vladivir
1	и в	7	30
2	в этом	7	20
3	у него	2	19
4	в том	4	18
5	и не	6	18
6	в конце	3	13
7	что в	2	12
8	не только	4	12
9	в его	2	11
10	а в	4	11
11	как мы	2	11
12	и даже	2	10
13	не в	3	9
14	было бы	3	9
15	все же	3	9
16	не может	17	9
17	вместе с	4	8
18	что же	5	8
19	но в	3	8
20	не менее	2	7
21	точки зрения	12	7
22	и все	3	7
23	может быть	12	7
24	для нас	3	7
25	а не	3	7
26	прежде всего	5	6
27	и к	3	6
28	тем не	2	6
29	у нас	3	6
30	всяком случае	2	6
31	во всяком	2	6
32	в себе	3	6
33	жизни и	4	6
34	как и	6	5
35	в дальнейшем	4	5
36	№ с	2	5
37	при этом	3	5
38	тот же	2	5
39	как бы	4	5
40	все это	3	5
41	с этим	2	5
42	и что	2	5
43	в результате	6	5
44	все эти	5	5
45	так как	4	5
46	мы знаем	2	4
47	в этой	3	4
48	в целом	4	4
49	мы с	2	4
50	что это	2	4
51	на его	2	4
52	и мы	3	4
53	в нем	3	4
54	то же	3	4
55	и наконец	5	4
56	на этот	2	4
57	той же	2	4
58	мы должны	4	4
59	в которой	2	4
60	уже в	3	3
61	из этих	2	3
62	в свою	2	3
63	еще более	2	3
64	с точки	5	3
65	в отличие	2	3
66	таким образом	11	3
67	уже не	2	3
68	отличие от	2	3
69	в таком	2	3
70	в виде	2	3
71	когда мы	3	3
72	в области	3	3
73	и есть	2	2
74	это не	4	2
75	мы видели	4	2
76	в настоящее	2	2
77	же это	4	2
78	на котором	2	2
79	свою очередь	2	2
80	на этом	2	2
81	настоящее время	2	2
82	такого рода	2	2
83	в самом	2	2
84	и потому	3	2
85	можно назвать	2	2
86	ее на	2	2
87	но все	2	2
88	и по	2	2
89	их в	4	2
90	и во	2	2
91	которой он	2	2
92	как он	3	2
93	это за	2	2
94	ничего не	6	2
95	мы не	9	2
