N	2gram	Propp_Russ_1	Formalny
1	т е	17	32
2	и не	6	30
3	и в	36	27
4	может быть	8	25
5	не может	4	24
6	так и	7	21
7	таким образом	6	18
8	в этом	12	18
9	а не	2	17
10	точки зрения	3	16
11	и пр	2	15
12	в нем	2	15
13	то же	3	15
14	на самом	2	14
15	как и	10	14
16	с точки	3	14
17	в жизни	2	11
18	и т	10	11
19	но и	16	10
20	так как	15	9
21	не только	22	9
22	так же	3	9
23	что в	19	8
24	при этом	6	8
25	как бы	5	8
26	отнюдь не	2	8
27	то что	6	8
28	входит в	4	8
29	как мы	10	8
30	только в	4	8
31	не менее	3	7
32	в том	17	7
33	все это	6	7
34	потому что	10	7
35	между тем	7	7
36	с тем	8	7
37	для них	3	7
38	в его	2	7
39	там где	2	7
40	т д	9	6
41	все эти	2	6
42	в своих	2	6
43	но в	2	6
44	еще не	4	6
45	все же	5	6
46	и для	2	6
47	вместе с	10	6
48	независимо от	2	5
49	в каждом	2	5
50	что именно	2	5
51	в дальнейшем	2	5
52	что они	7	5
53	и их	4	5
54	в ней	2	5
55	большинстве случаев	2	5
56	но не	2	5
57	и потому	2	5
58	тем что	4	5
59	связи с	4	5
60	к тому	4	4
61	он был	2	4
62	и как	2	4
63	можно говорить	2	4
64	в большинстве	2	4
65	до конца	2	4
66	в целом	2	4
67	в связи	4	4
68	и те	3	4
69	о том	8	4
70	как это	8	4
71	мы можем	2	4
72	между собой	2	4
73	том что	19	4
74	она не	2	4
75	как в	5	4
76	только на	3	4
77	мы не	6	4
78	связь между	2	4
79	могут быть	2	4
80	что это	3	3
81	в этих	3	3
82	его и	2	3
83	тому что	4	3
84	в какой	2	3
85	это не	10	3
86	для нас	6	3
87	того что	4	3
88	имеет место	2	3
89	к материалу	2	3
90	и что	4	3
91	в которых	5	3
92	и на	10	3
93	их в	3	3
94	и с	2	3
95	и более	2	3
96	в них	6	3
97	у нас	8	3
98	они и	2	3
99	во всех	4	3
100	еще в	4	3
101	а и	5	3
102	уже не	6	3
103	не на	2	3
104	для этого	2	2
105	главным образом	2	2
106	на все	2	2
107	п в	13	2
108	всех этих	2	2
109	его от	2	2
110	но это	4	2
111	такой же	2	2
112	на этом	3	2
113	не можем	3	2
114	к другому	2	2
115	и др	4	2
116	из них	8	2
117	что она	2	2
118	за счет	2	2
119	в своем	3	2
120	а иногда	4	2
121	из этих	4	2
122	как он	2	2
123	в россии	4	2
124	к этому	4	2
125	одна из	4	2
126	же а	2	2
127	мы увидим	8	2
128	мы должны	2	2
129	и из	3	2
130	в целях	3	2
131	или на	3	2
132	таким же	3	2
133	в основном	3	2
134	не значит	2	2
135	этого слова	3	2
136	что и	7	2
137	тем не	3	2
138	как не	2	2
139	так в	4	2
140	что этот	4	2
141	связаны с	3	2
142	в области	3	2
143	ничего не	3	2
