N	3gram	Losev_Vlad_2	Problema
1	тем не менее	6	18
2	в данном случае	2	8
3	на то что	2	8
4	сам по себе	2	7
5	содержит в себе	4	7
6	о том что	3	5
7	в том что	9	5
8	в то же	3	4
9	точно так же	3	4
10	в конце концов	3	4
11	в связи с	8	4
12	то что он	3	3
13	дело в том	3	3
14	что же касается	5	3
15	более или менее	3	3
16	с точки зрения	3	3
17	в настоящее время	2	3
18	во всяком случае	6	3
19	можно было бы	2	2
20	по крайней мере	4	2
21	хотя и не	2	2
22	на этот раз	3	2
23	у нас выше	3	2
24	не говоря уже	2	2
25	и на его	2	2
26	и то что	5	2
27	необходимо сказать что	4	2
28	как это мы	4	2
29	так или иначе	3	2
