N	3gram	Vinokur_St_1	Myslijsy
1	по отношению к	3	8
2	в том что	17	7
3	по крайней мере	2	5
4	о том что	11	5
5	в этом случае	2	5
6	не может быть	5	5
7	и в этом	3	4
8	тем не менее	2	4
9	до сих пор	7	4
10	и то что	2	4
11	и т п	9	4
12	для того чтобы	10	4
13	на то что	4	4
14	во всяком случае	6	3
15	с точки зрения	8	3
16	в то же	4	3
17	и т д	21	3
18	на самом деле	6	3
19	то же время	4	3
20	то что в	2	2
21	так или иначе	2	2
22	в данном случае	6	2
23	хотя бы и	2	2
24	в том смысле	2	2
25	и в том	2	2
26	вопрос о том	2	2
27	это не значит	3	2
28	не в том	2	2
29	что и в	4	2
30	только в том	3	2
