N	2gram	Vinokur_St_1	Russkaja
1	не может	8	22
2	и не	16	19
3	в том	36	17
4	в этом	21	17
5	и в	44	14
6	то что	18	13
7	таким образом	7	11
8	то же	5	11
9	точки зрения	11	11
10	же время	4	10
11	но и	10	10
12	в то	9	10
13	том что	29	9
14	не только	18	9
15	в себе	2	9
16	с точки	8	9
17	может быть	15	9
18	во всяком	6	9
19	прежде всего	7	8
20	того чтобы	11	8
21	стремление к	3	7
22	самом деле	11	7
23	в данном	14	7
24	о том	17	7
25	и с	3	7
26	если бы	9	6
27	на самом	6	6
28	что он	10	6
29	для него	6	6
30	для того	10	6
31	всяком случае	6	6
32	если в	2	6
33	все это	5	6
34	в своем	2	6
35	и для	3	6
36	в своих	2	6
37	в россии	4	6
38	хотя бы	6	5
39	он должен	2	5
40	вопрос о	4	5
41	на то	4	5
42	при этом	2	5
43	до сих	7	5
44	было бы	17	5
45	конечно не	2	5
46	в своей	6	5
47	он не	2	5
48	никогда не	5	5
49	в нем	5	5
50	сих пор	7	5
51	во всех	8	5
52	и только	3	5
53	по существу	2	5
54	а потому	2	5
55	а в	17	5
56	потому что	6	5
57	только в	10	5
58	между тем	3	5
59	но не	3	4
60	что в	30	4
61	как и	9	4
62	как бы	4	4
63	все же	8	4
64	жизни и	5	4
65	со стороны	6	4
66	что же	6	4
67	точку зрения	3	4
68	не в	12	4
69	можно было	13	4
70	и то	5	4
71	в этой	11	4
72	в его	9	4
73	его в	2	4
74	так как	5	4
75	может не	2	3
76	что это	4	3
77	можно ли	4	3
78	именно в	6	3
79	из этих	6	3
80	в конце	3	3
81	что все	2	3
82	этом случае	2	3
83	всех этих	2	3
84	да и	3	3
85	в другом	3	3
86	то в	3	3
87	лишь в	3	3
88	что они	7	3
89	в качестве	4	3
90	еще не	3	3
91	несмотря на	2	3
92	в самом	7	3
93	но если	4	3
94	и потому	2	3
95	для этого	2	3
96	то это	3	3
97	что и	6	3
98	и т	30	3
99	из них	8	3
100	данном случае	6	3
101	вряд ли	5	3
102	не было	4	3
103	что оно	3	3
104	и сейчас	4	3
105	того что	9	3
106	и по	5	3
107	что для	3	3
108	культуры в	3	3
109	тем что	5	3
110	и во	2	3
111	в виде	3	3
112	говорить о	2	3
113	о котором	2	3
114	в сознании	2	3
115	а с	3	2
116	нисколько не	2	2
117	и более	2	2
118	должна быть	3	2
119	в частности	4	2
120	у него	2	2
121	по этому	3	2
122	с этим	3	2
123	этот вопрос	4	2
124	это в	4	2
125	ясно что	10	2
126	или иного	4	2
127	ни в	3	2
128	так что	6	2
129	но это	6	2
130	является не	4	2
131	что с	2	2
132	она не	2	2
133	совершенно не	5	2
134	за то	3	2
135	но для	2	2
136	в ней	3	2
137	в котором	5	2
138	речь идет	4	2
139	для себя	3	2
140	и тем	3	2
141	для нас	7	2
142	быть и	2	2
143	на совершенно	2	2
144	даже не	4	2
145	и тогда	2	2
146	тому что	3	2
147	целый ряд	2	2
148	по отношению	3	2
149	отношения к	2	2
150	если не	2	2
151	все эти	5	2
152	и что	4	2
153	тем самым	2	2
154	а не	16	2
155	и даже	5	2
156	к нему	2	2
157	так же	5	2
158	в других	2	2
159	и те	2	2
160	на которой	2	2
161	во многих	3	2
162	в таком	3	2
163	в результате	3	2
164	их в	2	2
165	больше чем	2	2
166	даже и	2	2
167	в начале	3	2
168	во время	3	2
169	на эту	4	2
170	того или	4	2
171	как будто	4	2
172	в этих	2	2
173	только с	2	2
174	отметить что	2	2
175	в области	14	2
176	но в	10	2
