N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	38	56
2	то есть	46	24
3	в романе	4	21
4	в его	43	18
5	таким образом	10	17
6	все эти	5	15
7	в этом	15	14
8	в том	8	13
9	так и	5	13
10	и его	16	12
11	в то	4	12
12	в этих	2	11
13	как бы	22	11
14	в них	5	11
15	то же	5	11
16	же время	3	10
17	еще не	7	10
18	только в	13	9
19	в самом	7	9
20	но и	9	9
21	и не	42	9
22	том что	3	8
23	не только	9	8
24	и др	8	8
25	в нем	15	8
26	во всех	11	8
27	все это	3	8
28	и даже	3	8
29	и с	17	8
30	в частности	2	7
31	в большинстве	5	7
32	как мы	7	7
33	и на	3	7
34	все они	5	6
35	прежде всего	13	6
36	вовсе не	2	6
37	в ее	4	6
38	точки зрения	8	6
39	связи с	2	6
40	и все	3	6
41	связаны с	2	6
42	большинстве случаев	5	6
43	но в	4	6
44	но не	12	5
45	с его	2	5
46	никогда не	5	5
47	в пределах	6	5
48	ни с	2	5
49	как и	7	5
50	и другие	2	5
51	он не	3	5
52	что в	7	5
53	не было	2	5
54	они не	3	5
55	в области	11	5
56	что все	2	4
57	и более	2	4
58	что это	2	4
59	и ее	2	4
60	переходим к	2	4
61	в себе	4	4
62	например в	3	4
63	и к	3	4
64	конечно не	5	4
65	за пределы	12	4
66	в ней	4	4
67	и потому	4	4
68	с одной	3	4
69	при этом	5	4
70	и других	2	4
71	форм и	2	4
72	язык в	2	4
73	того чтобы	2	4
74	в основе	5	4
75	в своих	2	4
76	во всем	2	4
77	о том	4	4
78	в особенности	2	4
79	одна из	2	4
80	и которые	2	4
81	в едином	2	3
82	в своем	5	3
83	и здесь	2	3
84	более того	4	3
85	здесь в	2	3
86	кроме того	3	3
87	может быть	26	3
88	в некоторых	2	3
89	и о	5	3
90	одной из	3	3
91	связи и	3	3
92	здесь нет	2	3
93	что и	2	3
94	то что	8	3
95	как форма	7	3
96	связь с	3	3
97	в форме	4	3
98	в их	10	3
99	не на	5	3
100	в связи	2	3
101	на них	3	3
102	там где	6	3
103	с помощью	7	3
104	здесь мы	2	3
105	и наконец	6	3
106	не в	7	3
107	рядом с	5	3
108	конечно и	4	3
109	сказать что	4	3
110	между тем	7	3
111	к его	2	3
112	в другом	2	3
113	в таких	2	3
114	слова и	3	3
115	к которому	4	3
116	первый план	2	2
117	если бы	3	2
118	в виде	2	2
119	в нашем	4	2
120	с другой	7	2
121	это не	5	2
122	и во	2	2
123	в других	4	2
124	на самом	4	2
125	к этому	2	2
126	для понимания	2	2
127	что он	2	2
128	можно сказать	2	2
129	ни было	3	2
130	ни в	11	2
131	узком смысле	2	2
132	и как	8	2
133	но это	3	2
134	этот момент	2	2
135	др в	2	2
136	одной стороны	3	2
137	было бы	8	2
138	несмотря на	3	2
139	действительности и	3	2
140	нем и	2	2
141	а в	6	2
142	лишь там	2	2
143	и эта	2	2
144	события и	2	2
145	хотя и	3	2
146	между ними	4	2
147	в котором	2	2
148	значение имеет	3	2
149	точка зрения	3	2
150	все же	6	2
151	в своей	7	2
152	события так	2	2
153	в мире	3	2
154	его как	3	2
155	самом деле	6	2
156	и тела	2	2
157	данном случае	4	2
158	другой стороны	4	2
159	не может	27	2
160	как к	2	2
161	то ни	3	2
162	носит чисто	2	2
163	культуры и	3	2
164	в значительной	2	2
165	а не	5	2
166	и отдельных	2	2
167	для того	2	2
168	из которых	2	2
169	к нему	10	2
170	и для	11	2
171	с точки	6	2
172	его в	9	2
173	бы то	3	2
174	и те	2	2
175	в слове	3	2
176	от всех	4	2
177	в данном	4	2
178	также и	3	2
179	и при	2	2
180	но с	3	2
181	их и	2	2
182	чтобы стать	4	2
183	на мир	2	2
184	языка в	3	2
185	той или	2	2
186	далеко не	5	2
187	дело в	2	2
188	с ним	5	2
189	отметить что	7	2
190	не могли	2	2
