N	2gram	Tiupa_Anal_3	EvropaiE
1	и в	18	37
2	в пределах	4	25
3	точки зрения	3	23
4	что в	9	21
5	не только	22	18
6	с точки	2	17
7	в то	3	16
8	то же	3	15
9	в своем	4	14
10	в качестве	12	14
11	же время	3	14
12	но и	13	14
13	и не	12	14
14	но в	2	14
15	в этом	14	12
16	в их	6	11
17	в том	9	11
18	так и	14	10
19	отнюдь не	4	9
20	прежде всего	5	9
21	не может	2	9
22	в себе	2	9
23	только в	2	9
24	к тому	6	8
25	в ее	3	8
26	одной стороны	2	8
27	было бы	3	8
28	с одной	2	8
29	между тем	5	8
30	как и	14	7
31	по своему	2	7
32	нам кажется	2	7
33	а также	2	7
34	с другой	7	7
35	том что	12	6
36	может быть	9	6
37	как бы	10	6
38	то что	2	6
39	во всех	2	6
40	и даже	8	6
41	и на	4	6
42	то есть	10	6
43	в частности	12	5
44	столь же	4	5
45	не в	6	5
46	но не	7	5
47	как нам	5	5
48	со стороны	9	5
49	в той	2	5
50	тем самым	4	5
51	и по	2	5
52	и потому	2	5
53	именно в	3	4
54	или иной	5	4
55	можно сказать	4	4
56	несмотря на	2	4
57	в самом	5	4
58	то в	2	4
59	в ней	2	4
60	той или	3	4
61	даже в	2	4
62	по себе	4	4
63	мы не	3	4
64	сказать что	2	4
65	как это	3	4
66	и к	4	3
67	этом отношении	3	3
68	с тем	2	3
69	никогда не	5	3
70	в них	2	3
71	и от	2	3
72	на себя	2	3
73	в общем	2	3
74	представляет собой	5	3
75	мы можем	2	3
76	в свою	5	3
77	очевидно что	2	3
78	того же	5	3
79	не более	2	3
80	в культуре	2	3
81	известной степени	3	3
82	всяком случае	2	3
83	не является	5	3
84	что и	5	3
85	говорит о	2	3
86	не будет	3	3
87	во второй	7	3
88	когда он	2	3
89	бы и	2	3
90	как в	3	3
91	и для	2	3
92	и прежде	2	3
93	в результате	5	3
94	во всяком	2	3
95	тем что	2	3
96	в данном	4	3
97	о том	6	3
98	дело в	2	3
99	всего лишь	8	3
100	там где	2	3
101	мира и	2	3
102	ни столь	2	2
103	а не	9	2
104	в случае	5	2
105	во втором	4	2
106	с этим	3	2
107	в большинстве	2	2
108	и все	2	2
109	в одном	4	2
110	совершенно очевидно	2	2
111	и ту	2	2
112	есть не	2	2
113	же в	2	2
114	и того	3	2
115	и как	4	2
116	свою очередь	4	2
117	но как	3	2
118	по преимуществу	2	2
119	он не	6	2
120	в его	7	2
121	только к	2	2
122	если в	3	2
123	не есть	4	2
124	в мире	5	2
125	вместе с	2	2
126	данном случае	3	2
127	иначе говоря	2	2
128	а в	10	2
129	таким образом	4	2
130	но с	2	2
131	в значительной	2	2
132	или точнее	2	2
133	более чем	2	2
134	другой стороны	5	2
135	поскольку он	3	2
136	хотя и	2	2
137	могут быть	2	2
138	в этой	6	2
139	по своей	2	2
140	далеко не	4	2
