N	2gram	Tiupa_Disk_2	Komedia
1	и в	16	22
2	том что	10	12
3	в том	8	11
4	но и	11	11
5	не только	10	10
6	из них	3	10
7	в то	5	10
8	как и	16	9
9	может быть	16	9
10	в одном	4	8
11	и не	15	8
12	и его	3	8
13	о том	4	8
14	в этой	4	7
15	что в	5	6
16	одного из	4	6
17	что он	2	6
18	ни в	7	6
19	такого рода	9	6
20	то же	6	6
21	не в	3	6
22	а в	2	6
23	с другой	5	5
24	прежде всего	7	5
25	при этом	17	5
26	со своим	2	5
27	в его	3	5
28	еще в	3	5
29	так и	9	5
30	как в	8	5
31	все это	2	5
32	другой стороны	2	5
33	нового времени	5	5
34	потому что	4	5
35	между тем	2	5
36	именно в	2	4
37	к этому	4	4
38	в другом	3	4
39	в качестве	16	4
40	же время	5	4
41	а также	8	4
42	в котором	3	4
43	в нем	7	4
44	что и	2	4
45	в результате	2	4
46	точки зрения	4	4
47	одном из	3	4
48	но в	11	4
49	место в	2	3
50	же как	2	3
51	не менее	7	3
52	и одновременно	2	3
53	в них	3	3
54	идет о	2	3
55	и как	3	3
56	перед лицом	2	3
57	здесь в	3	3
58	первую очередь	2	3
59	одной стороны	4	3
60	в частности	12	3
61	он не	3	3
62	все же	6	3
63	отношению к	4	3
64	в целом	2	3
65	отношение к	2	3
66	по отношению	4	3
67	этом отношении	4	3
68	с одной	4	3
69	там же	2	3
70	и на	5	3
71	в этом	16	3
72	и с	2	3
73	могут быть	3	3
74	и ее	3	3
75	только в	3	3
76	и все	3	3
77	его в	3	3
78	времени и	2	2
79	в противоположность	5	2
80	в рамках	7	2
81	столь же	3	2
82	а сам	2	2
83	по свидетельству	2	2
84	а к	2	2
85	такой же	2	2
86	но не	7	2
87	того же	2	2
88	в себя	2	2
89	это еще	2	2
90	еще не	6	2
91	в первую	2	2
92	для себя	2	2
93	с ее	2	2
94	то что	5	2
95	не к	2	2
96	вместе с	2	2
97	со стороны	10	2
98	не может	9	2
99	принадлежит к	3	2
100	в период	4	2
101	в принципе	2	2
102	но это	3	2
103	не следует	3	2
104	в своих	6	2
105	в себе	19	2
106	по своей	6	2
107	как будто	3	2
108	отличие от	12	2
109	в области	2	2
110	или по	2	2
