N	2gram	Medvedev_V_1	OGranits
1	и в	26	13
2	и его	6	12
3	прежде всего	13	9
4	не может	17	8
5	и не	19	8
6	может быть	22	8
7	и их	3	7
8	точки зрения	3	7
9	в его	14	7
10	таким образом	31	6
11	не только	25	6
12	то что	6	6
13	только в	7	6
14	как бы	5	6
15	художественного произведения	6	5
16	все же	5	5
17	хотя бы	19	5
18	и наконец	2	5
19	в процессе	16	5
20	то же	10	4
21	не является	5	4
22	в своей	4	4
23	все это	10	4
24	в каждом	2	4
25	еще и	2	4
26	лишь в	2	4
27	было бы	7	4
28	в сознании	4	4
29	но в	2	4
30	произведения как	5	4
31	связана с	2	3
32	отношению к	7	3
33	что в	10	3
34	никогда не	4	3
35	но и	10	3
36	так и	5	3
37	в их	5	3
38	по отношению	7	3
39	в одном	4	3
40	в ее	4	3
41	как и	7	3
42	не в	6	3
43	в которой	2	3
44	не столько	2	3
45	в пределах	5	3
46	ни один	7	3
47	в себе	6	3
48	в искусстве	6	3
49	говорить о	2	3
50	с этим	3	3
51	и для	2	3
52	но для	2	3
53	и этот	2	2
54	не менее	2	2
55	и др	9	2
56	а как	2	2
57	в нем	6	2
58	ее в	4	2
59	во всей	2	2
60	в целом	4	2
61	а не	7	2
62	художественное произведение	5	2
63	другой стороны	8	2
64	с другой	11	2
65	в них	4	2
66	в связи	3	2
67	а в	3	2
68	с одной	2	2
69	в течение	2	2
70	все эти	6	2
71	этой проблемы	3	2
72	вовсе не	3	2
73	роль в	4	2
74	в книге	2	2
75	к тому	4	2
76	и к	3	2
77	если бы	3	2
78	в общем	2	2
79	в чем	2	2
80	в том	15	2
81	так же	3	2
82	в словесном	2	2
83	том что	8	2
84	в зависимости	6	2
85	с ними	4	2
86	в своих	2	2
87	зависимости от	5	2
88	что они	3	2
89	в этом	26	2
90	между тем	5	2
91	могут быть	5	2
92	чем же	4	2
93	к сожалению	2	2
94	смысле слова	2	2
95	и ее	4	2
96	для него	8	2
97	в другом	2	2
98	одной стороны	2	2
99	и может	2	2
100	того или	2	2
101	в целях	2	2
102	в области	2	2
103	в самом	4	2
104	вслед за	2	2
105	и при	5	2
106	представлений и	2	2
107	бы в	3	2
108	на язык	2	2
109	между собою	2	2
110	в ней	2	2
111	и отбор	2	2
112	явлений и	3	2
