N	3gram	Vygotskiy__1	Psycholo
1	для того чтобы	15	19
2	в том что	15	12
3	о том что	6	10
4	в самом деле	2	7
5	то же самое	3	6
6	на то что	3	6
7	так же точно	9	5
8	с самого начала	8	5
9	к тому что	3	5
10	с точки зрения	18	4
11	можно было бы	3	4
12	друг с другом	4	4
13	смысле этого слова	3	3
14	так же как	5	3
15	том что он	2	3
16	во всяком случае	3	3
17	шаг за шагом	2	3
18	с одной стороны	8	3
19	до сих пор	4	3
20	в том чтобы	3	3
21	заключается в том	6	3
22	с таким образом	3	2
23	и той же	2	2
24	в сущности говоря	2	2
25	в то время	5	2
26	вместе с тем	5	2
27	сам по себе	3	2
28	в какой мере	2	2
29	в приложении к	2	2
30	с другой стороны	9	2
31	и в частности	2	2
32	что может быть	2	2
33	вместо того чтобы	2	2
34	таким образом что	3	2
35	то время как	4	2
36	речь идет о	2	2
37	одной и той	2	2
