может быть	8
в соотнесении	7
смертного человека	7
соотнесении с	7
эстетического видения	6
в ее	5
отношению к	5
только в	5
по отношению	5
и не	4
ценностного центра	4
время и	4
и пространство	4
мира эстетического	4
эстетическое видение	4
единственного места	4
в их	3
это не	3
вовсе не	3
является человек	3
ценностному центру	3
точки зрения	3
в этом	3
ее эмоционально-волевом	3
как бы	3
с человеком	3
и здесь	3
конкретной архитектоники	3
эмоционально-волевом тоне	3
для меня	2
человек не	2
ценностным центром	2
моего единственного	2
все же	2
лишь в	2
в виду	2
по милу	2
к нему	2
эстетического в(дения	2
многообразие бытия	2
ценностей не	2
при этом	2
но все	2
и временным	2
вечный смысл	2
имеем в	2
только с	2
ценностных центрах	2
только любовь	2
если бы	2
с ним	2
не есть	2
не значит	2
как момент	2
конкретной действительности	2
имеет ценностный	2
в ценностном	2
конечно не	2
с точки	2
отнюдь не	2
ее целом	2
ценностный тон	2
моей причастной	2
в том	2
во главе	2
видения не	2
места и	2
архитектоники и	2
мил а	2
все возможное	2
быть активен	2
равно объемлются	2
единственное место	2
и содержание	2
не может	2
только по	2
во всех	2
и оформления	2
моменты архитектоники	2
милу хорош	2
жизни смертного	2
возможное время	2
и их	2
контексте жизни	2
для нее	2
с моего	2
он плох	2
конкретного ценностного	2
хорошу мил	2
заинтересованное внимание	2
участное мышление	2
ты покидала	2
я буду	2
как моменты	2
по хорошу	2
конкретных ценностных	2
любовь может	2
ценностным светом	2
всех отношениях	2
все эти	2
причастности бытию	2
событии бытия	2
не имеем	2
что и	2
ценностный вес	2
логические отношения	2
моментов бытия	2
не в	2
ценности все	2
и все	2
не по	2
ценности для	2
из себя	2
и только	2
лирической пьесе	2
а по	2
эти различения	2
пространство и	2
ценностный смысл	2
картина будет	2
должен быть	2
в событии	2
индивидуальность математическое	1
функция забвения	1
и проникнутостью	1
значит однако	1
конкретному человеку	1
иные ценностные	1
и превзойден	1
точек единственного	1
плох жалок	1
действительная вечность	1
пространства и	1
уничтожим масштабы	1
активен и	1
становится вечный	1
религии в	1
любовным утверждением	1
употреблении отнюдь	1
конкретное многообразие	1
в суждении	1
могут быть	1
вне архитектоники	1
бескорыстная любовь	1
архитектоники только	1
центру исходящей	1
этом эстетическое	1
и единственному	1
героя предмета	1
различия в	1
временным исхождения	1
иные моменты	1
виде определенной	1
еще жить	1
единые время	1
знает и	1
дальной ты	1
а только	1
сама биологическая	1
единый ценностный	1
делает впервые	1
и закрепить	1
возможное бытие	1
интонации в	1
с конкретно-пространственным	1
единственная точка	1
его вопреки	1
движущей ценностью	1
в архитектонике	1
их определений	1
том случае	1
равная сторона	1
биологическая функция	1
люблю ли	1
картину гибели	1
же лица	1
как о	1
в едином	1
ценностей это	1
переживаемого мира	1
любовно заинтересованное	1
им присущ	1
и формальных	1
деталей по	1
пространственно-временном контексте	1
действительная причастность	1
