2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part1_wordlist_2gram	Nazirov_TvorcheskiePrincipyDostoevskogo_partition_part2_wordlist_2gram
особое место	2	1
одновременно все	1	1
все же	5	5
его в	3	1
xx века	3	1
читатель разделяет	1	1
в область	3	1
от всех	1	1
собственной личности	1	1
связь с	2	1
себе не	1	2
по нашему	4	5
сути дела	3	3
с лизой	1	1
известном смысле	1	1
еще с	1	1
эпохой романтизма	1	1
и имеет	1	1
даже в	1	3
м бахтин	4	6
о которой	1	1
отличен от	1	1
и к	1	1
конечном счете	1	4
с иваном	2	1
кириллов и	1	1
человеческой истории	1	1
и поступков	1	1
м реализм	1	1
смерти в	1	1
чем у	1	1
и далее	2	2
сама жизнь	1	1
сто тысяч	1	1
и потом	1	1
его и	2	1
связан с	1	3
так и	6	2
надежды на	1	1
достоевского это	3	4
на самоубийство	1	1
и т	13	3
он чувствует	1	2
сюжетов достоевского	2	1
в ту	2	3
мы наблюдаем	1	1
влияние на	1	2
как было	1	1
и у	2	2
и вследствие	1	1
и авторской	1	1
он же	2	1
означает что	1	1
представляется достоевскому	1	1
в известном	1	1
тем самым	4	7
то что	3	8
действительности и	1	2
и от	4	4
м бахтина	4	1
достоевского оппозиция	1	1
шекспировского гамлета	1	1
это я	1	1
наряду с	7	1
человек был	1	1
записках из	3	3
роман xix	1	1
отказа от	1	1
в одном	2	1
в свою	1	7
достоевский и	1	3
цивилизации в	1	1
они живут	1	1
тому же	2	1
не похож	1	1
по сей	1	1
верно указал	1	1
стыда в	1	1
той же	1	3
мышления и	1	1
романтического эстетизма	1	2
к которому	2	1
это уже	2	5
искусно тормозится	1	1
быть человеком	1	1
связи с	1	1
ни в	1	1
к одному	1	1
героя к	1	1
в чичерина	1	1
между собой	1	1
летних впечатлениях	2	1
что в	7	12
он с	1	1
однако в	1	2
в своей	6	4
как раз	1	1
ее был	1	1
но если	2	3
игрой в	1	1
макара девушкина	1	1
же самая	1	2
в основе	2	2
же с	9	2
для автора	2	2
с его	1	11
это прежде	2	1
в терминах	4	1
что она	4	2
как правило	2	1
на наш	2	1
что если	1	1
в будущую	1	2
и что	2	1
не противоречит	1	1
xix век	1	1
записки из	2	6
людям в	1	1
м о	1	1
по европе	2	1
повести и	1	3
раскольников и	1	1
сливается с	1	3
на этот	2	1
что достоевский	3	7
говорили о	1	1
единства человеческой	1	1
представляет собою	1	1
романа это	1	1
что на	2	1
в жизнь	1	1
и о	1	1
но когда	1	1
великий писатель	3	1
в ф	1	4
прибегает к	1	1
мир по	1	1
него в	2	1
в них	1	1
гроссман в	1	1
с там	9	2
само построение	1	1
по сути	3	4
место в	3	3
см назиров	1	2
в романном	1	1
в роман	2	1
на деле	1	2
эстетической оценки	1	2
не есть	1	1
что все	1	3
не то	1	2
действия и	2	1
сам же	1	1
их личности	1	1
и рассказы	1	2
быть определен	1	1
не может	7	4
могут быть	2	2
желчь и	1	1
черновиках романа	1	1
сказать что	1	2
то есть	5	12
отнюдь не	4	5
вместе с	3	2
достоевским как	2	1
братьев карамазовых	4	1
и гибели	1	1
человека для	1	1
бунт в	1	1
в том	8	7
не мыслил	1	1
мы знаем	1	1
с законом	1	2
в его	10	13
что герои	1	1
отметим что	1	1
мысль о	1	2
из этой	2	1
достоевский как	1	3
же достоевский	1	1
произведений достоевского	1	1
маляр миколка	1	1
способен на	1	1
бытия но	1	1
приводит к	2	2
о том	5	6
меня не	1	1
в диалоге	1	1
между тем	3	1
его бунт	1	1
живет в	1	2
теперь же	1	1
же у	1	1
отказаться от	2	2
культуры и	1	1
в виду	1	2
этот тип	1	1
достоевский при	1	1
м м	11	11
еще в	1	2
бахтин называет	1	1
достоевского его	1	1
достоевский прямо	1	1
мире достоевского	3	3
в сферу	1	1
не все	1	1
в духе	4	2
его бунта	1	1
но его	1	2
сам достоевский	1	2
по мере	1	1
раскольникова исповедь	1	1
князя мышкина	16	1
в кн	3	2
может быть	8	5
иного рода	1	1
романное время	1	3
то в	1	2
и его	9	6
в одной	3	2
известно что	2	2
тот самый	1	1
развития в	1	1
в записках	3	4
достоевского весьма	2	1
любил и	1	1
у читателя	2	1
в сфере	1	1
это означало	1	2
уже говорили	1	1
пока еще	1	1
в комнату	1	2
главных героев	1	1
давно уже	2	1
то у	2	1
связанного с	1	1
это довольно	1	1
вовсе не	2	5
она не	1	1
скверный анекдот	3	4
концепция человека	1	3
с автором	1	1
и дьявола	1	1
в создании	1	1
была бы	1	1
в бесах	6	3
от какого-то	1	1
это как	1	3
в виде	2	3
т ii	2	2
ли не	2	1
я не	2	3
через каторгу	1	1
который в	1	3
за собой	4	1
на свадьбе	1	1
поступков и	1	1
мира достоевского	1	5
достоевский сделал	1	1
достоевского мы	2	1
более не	2	2
мистический оттенок	1	1
с чувством	3	1
роман достоевского	3	1
даже если	1	1
объективного характера	1	1
в глубине	1	1
своей известной	1	2
морали и	1	1
отошел от	1	1
действительности но	1	1
юмор достоевского	1	2
ту эпоху	1	2
отличие от	2	2
не выносит	1	1
его к	1	1
тургенева а	1	1
тот же	1	2
достоевского и	2	3
романа и	3	1
году и	1	1
русский роман	1	2
и герои	1	1
для них	1	1
и порою	1	2
и других	2	3
нет ли	1	1
а идея	1	1
в глазах	1	1
достоевского как	8	1
в таком	3	1
больше не	1	4
во имя	1	2
в частности	2	2
всего романа	1	1
б о	2	1
закон гуманизма	1	2
т п	2	2
показывает что	4	1
всякий раз	1	1
подпольного человека	3	11
и даже	5	3
от этой	2	1
может не	1	2
не было	2	1
о жизни	3	1
xix веке	2	1
в биографии	1	1
людей достоевский	1	1
то это	1	1
в своих	3	5
только в	2	5
его героев	1	1
души и	1	1
перелома в	1	1
и мир	1	2
так сказать	2	2
другой стороны	2	1
с ними	2	1
в этой	5	5
достоевского с	5	8
в русском	1	1
отношению к	3	1
самым достоевский	1	1
о войне	1	1
подпольный человек	3	22
ли что	1	1
героев достоевского	5	3
трагических мыслителей	1	1
с большой	1	4
к этому	3	2
и холод	1	1
как в	4	8
нет ни	1	2
и я	1	1
не случайно	2	4
и не	9	7
что у	4	1
и превращается	1	1
мы уже	1	1
наш взгляд	2	1
и рядом	1	1
таким образом	10	5
в творческой	2	2
первой части	4	3
жизни в	3	6
если же	1	1
всегда с	2	1
тем что	3	1
м с	7	5
литературе романтизма	1	1
всемирной истории	1	1
уже в	2	3
в жизни	1	2
это и	1	3
в плане	3	1
году он	1	1
в изображении	1	1
не только	13	7
шел в	1	1
но кто	1	1
он не	3	8
в основном	6	4
там же	9	3
но у	4	1
все эти	4	1
вот что	1	1
стремился к	1	1
это был	3	1
особенно в	2	1
которого не	1	1
как уже	1	1
женщине с	1	1
может и	1	1
в истории	2	1
достоевский использовал	1	1
это еще	1	1
в литературе	2	2
в литературу	1	1
в их	3	3
с самого	1	3
со своим	1	1
в идиоте	1	3
похож ни	1	1
в современном	3	2
т д	11	1
писателя для	1	1
то все	1	1
достоевского к	2	3
в себе	3	2
нашему мнению	4	5
стремление достоевского	2	1
и он	2	2
в рассказе	3	3
униженные и	1	2
вряд ли	1	2
на его	4	3
герои достоевского	4	4
как известно	2	1
мир достоевского	1	2
личности в	2	2
к тому	1	2
г м	3	2
как у	3	1
на этих	1	1
князь мышкин	6	3
перед нами	1	2
только как	1	1
вырваться из	1	1
в соответствии	4	3
бахтина о	2	1
морального эстетизма	1	2
достоевского чрезвычайно	1	1
из них	2	2
войне и	1	1
достоевского нет	3	1
несравненно более	2	2
творчества достоевского	1	4
о русских	1	1
поэтики достоевского	1	4
быть может	3	2
в области	1	1
самого достоевского	2	3
сами по	1	1
бога и	1	2
отличается от	1	1
фомы опискина	2	2
в первом	1	2
счастья в	1	1
в душе	4	1
для достоевского	2	4
романе идиот	3	4
не дают	1	1
фридлендер г	1	1
по себе	1	1
не менее	2	6
еще не	5	1
спб с	1	2
в году	16	7
он сам	3	6
с болью	1	1
с ним	3	3
не столько	2	2
так в	2	1
морального сознания	1	1
представляют собой	1	1
лебедева в	1	1
зрелого достоевского	1	1
дня и	1	1
в конце	6	1
в принципе	4	2
и приводит	1	1
не вполне	1	1
иван карамазов	7	2
а в	4	6
тому что	1	1
