4gram	Vygotskiy_Psychologia_partition_part3_wordlist_4gram	Vygotskiy_Psychologia_partition_part2_wordlist_4gram
заключается в том что	7	4
в том смысле что	1	1
указывает на то что	1	3
в полном согласии с	1	1
с этой точки зрения	1	1
сколько раз твердили миру	1	1
в то время как	2	2
твердили миру что лесть	1	1
между поэтической и прозаической	1	2
в том что она	3	1
что в этой басне	1	2
к области поэзии и	1	1
все более и более	2	2
указывал на то что	1	1
все больше и больше	1	2
только в том случае	4	1
в том и заключается	2	1
не умели пользоваться басней	1	1
том и заключается что	1	1
что басня применяется к	1	1
что лесть гнусна вредна	1	3
уж сколько раз твердили	1	1
показать это на примере	1	1
он прямо говорит что	1	1
и во всех остальных	1	1
поэтической и прозаической басней	1	2
одной и той же	4	1
согласиться с тем что	1	1
полном согласии с этим	1	1
и в полном согласии	1	1
одно и то же	1	2
и в самом деле	4	9
в самом деле стоит	1	2
у лафонтена и крылова	1	1
миру что лесть гнусна	1	1
один и тот же	1	1
собой напрашивается вывод что	2	1
употребления животных в басне	1	1
раз твердили миру что	1	1
одна и та же	1	1
отсюда сам собой напрашивается	1	1
что с одной стороны	1	1
в самом деле басня	1	2
сам собой напрашивается вывод	2	1
в том случае если	4	1
заключается в том чтобы	1	1
и отсюда сам собой	1	1
указать на то что	1	1
