3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram
и в этой	1	1
из того что	3	1
не только в	2	1
мы будем иметь	1	1
все то что	2	11
и совершенно прав	1	1
и показывают что	1	1
в противоположные стороны	1	1
можно было бы	3	4
мы меньше всего	1	1
то что она	1	1
противоположные стороны и	2	1
ход событий в	1	1
в том чтобы	2	3
для того чтобы	19	19
и мы сейчас	1	2
о том что	6	10
если скажем что	1	1
друг с другом	3	4
на то что	16	6
вместе с тем	3	2
этой точки зрения	1	1
бы показать что	2	1
автор не только	1	2
что иное как	2	1
что зритель воспринимает	1	1
и сейчас же	1	3
когда говорит что	2	1
на самом деле	2	5
и никак не	1	1
которые только что	1	1
и что он	1	2
стоит только обратиться	1	2
убить короля сейчас	1	1
в трех разных	1	1
не только не	4	2
и для этого	1	1
вступить в противоречие	1	1
то что ему	1	2
одной стороны он	1	1
для нас совершенно	1	1
потому что они	1	1
в двух противоположных	2	1
никак не может	3	2
так как это	3	3
таким образом что	3	2
делает не то	1	1
вызывать в нас	1	1
как говорит сам	1	1
именно то что	4	1
прямо сказать что	1	1
мы могли бы	4	1
нет ни одной	1	1
столь же ясно	1	1
в жизни и	1	1
к тому что	6	5
тот факт что	4	1
и в этом	1	3
нас как бы	1	1
что в нем	1	5
одной и той	2	2
и в сущности	1	1
и каждый шаг	1	1
мы совершенно не	1	1
совершенно понятно что	1	2
то обстоятельство что	1	1
и так как	1	1
психологической точки зрения	1	1
отсюда понятно что	1	1
каком отношении эти	1	1
в двух планах	3	1
и в частности	1	2
из которых складывается	1	1
не что иное	2	1
так же точно	5	5
но он не	1	1
что мы видим	1	1
то что мы	2	3
в том и	2	1
сих пор в	1	1
отчетливо и ясно	1	1
нам кажется что	1	1
же как и	1	1
в том что	14	12
мы увидим насколько	1	1
в то время	1	2
лежит в основе	1	1
и вот это	1	1
в приложении к	1	2
в евгении онегине	1	1
в художественном произведении	1	1
и если мы	4	2
ему что все	1	1
в целом ряде	1	1
оно может быть	1	1
исключительно для того	1	1
необходимо чтобы герой	1	1
и что от	1	1
что все то	1	1
от этой цели	1	1
невозможно потому что	1	1
и т п	3	3
то что оно	2	1
с таким образом	2	2
так как все	1	1
что это не	1	2
так же как	2	3
того чтобы сделать	1	1
в свою очередь	1	1
и мы вправе	1	1
равно как и	1	1
было бы показать	1	1
по отношению к	1	1
в конечном счете	1	1
совершенно очевидно что	2	1
с другой стороны	5	2
отклонения от него	1	1
ни в каком	1	1
сам по себе	3	2
короля сейчас же	1	2
которые конечно же	1	1
что самое важное	2	1
совершенно не можем	1	1
простой смысл его	1	1
самом деле если	2	1
прав когда указывает	1	1
за которой скрывается	1	2
привело к тому	1	1
в трагедии и	1	1
мы сейчас увидим	2	1
смысле этого слова	1	3
том что он	1	3
деле если мы	1	1
формы и содержания	1	1
же точно как	2	1
до тех пор	2	2
ни одной черты	1	1
чтобы заставить нас	1	1
он говорит что	2	2
или вернее сказать	2	1
того же действия	1	1
и что шекспир	1	1
можно сказать что	2	1
и насколько он	1	1
в нем нет	1	2
но никак не	1	1
с одной стороны	12	3
при совершенно противоположном	2	1
аффективное противоречие и	1	1
он утверждает что	1	1
трагедии ее материал	1	1
в противоречие с	1	1
конце концов только	1	1
вместо того чтобы	1	2
мы увидим что	6	1
то что им	1	1
то что если	1	1
в этой точке	1	1
но никто не	1	1
того чтобы увидеть	1	1
прямо указывает на	1	1
бы сказать что	2	1
был бы как	1	1
прежде всего на	1	1
и мы никогда	1	1
друг к другу	4	1
согласны в том	1	1
как это делает	2	2
мы знаем что	2	1
и что самое	1	4
сейчас же после	1	6
совершенно невозможно потому	1	1
будем иметь случай	1	1
же самое в	1	1
как раз обратный	1	1
тому что он	1	1
правильно говорит что	1	1
и той же	2	2
с самого начала	3	5
только обратиться к	1	2
как раз наоборот	1	1
рядом с этим	1	1
в самом деле	5	7
потому что он	2	2
во всем европейском	1	1
согласно этому взгляду	1	1
к тому чтобы	1	3
жизни и смерти	1	1
с тем что	3	1
до сих пор	5	3
ничего общего с	1	1
что ни одна	1	1
шаг за шагом	1	3
том в каком	1	1
если бы мы	2	2
фабулы и сюжета	1	2
дело в том	1	1
с точки зрения	2	4
о том в	1	1
заставляет нас с	1	1
том месте где	1	1
другой стороны он	1	1
именно в том	2	2
но совершенно ясно	1	1
речь идет о	1	2
который все время	1	1
бы если бы	1	1
мы не можем	1	1
в этом смысле	1	1
а как раз	1	2
иметь случай показать	1	1
утверждает что у	1	1
что у шекспира	1	1
сказать что эта	1	1
и в самом	2	2
указывали на то	1	1
трагедии заключается в	1	1
в сущности говоря	8	2
те или иные	1	1
он может быть	1	1
шекспира но и	1	1
что он не	1	4
мы никогда не	2	3
что в этом	6	1
на этот вопрос	3	1
на одном из	1	1
ясно что в	2	1
как бы в	2	1
при таком понимании	1	1
мы все время	1	2
она кажется нам	1	1
то что все	1	1
того чтобы он	1	1
в каком-то совсем	1	1
если мы припомним	1	1
что такое понимание	1	1
том или ином	1	1
в конце концов	2	3
то же самое	3	6
то время как	1	2
об убийстве о	1	1
и все так	1	1
планах с одной	2	1
и что в	3	3
с психологической точки	1	1
раскрывается перед нами	1	1
и в русской	1	1
которая могла бы	1	2
совершенно ясно что	5	3
и в свою	1	1
потому что все	2	1
что именно они	1	1
и таким образом	2	1
не годится для	1	1
ни одна из	1	1
что это есть	2	1
с этой точки	1	1
и когда мы	3	1
не может быть	2	1
этой точке сходятся	1	1
ошибемся если скажем	1	1
совершенно противоположным тому	1	1
которое существует между	2	1
в том или	1	1
что в этой	1	2
сами по себе	2	3
что оно может	1	1
одну и другую	1	1
мы имели дело	1	1
они как бы	1	1
в каком отношении	2	1
тех пор пока	2	2
и т д	3	2
это на примере	1	1
том что она	1	1
во все время	1	2
мы видим что	3	2
в драме и	1	1
сводится к тому	2	2
легко показать что	2	2
всем европейском мире	1	1
заключается в том	6	3
не то что	1	3
точке сходятся два	1	1
стороны он видит	2	2
стоят друг к	1	1
это совершенно верно	1	2
отношению к шекспиру	1	1
и в результате	2	1
каком-то совсем другом	1	1
чтобы увидеть что	2	1
то что он	3	3
а с другой	4	1
как бы нарочно	1	1
такого же мнения	1	1
только то что	1	1
надо сказать что	1	3
для своей трагедии	1	1
лежащая в основе	1	1
то что в	2	3
