2gram	Potebnia_Myslijsyk_partition_part1_wordlist_2gram	Potebnia_Myslijsyk_partition_part2_wordlist_2gram
все же	5	6
отлично от	1	1
его в	3	1
вопрос как	1	1
говорит лотце	4	1
состояние которое	1	1
подобно тому	4	3
здесь может	1	1
но тогда	1	2
тех и	1	2
в развитии	1	1
и противоположность	1	1
язык но	1	2
то то	1	1
членораздельные звуки	3	1
и т	6	6
в известном	1	1
то что	20	10
так а	1	1
общим чувством	1	4
его как	1	1
на такой	1	1
все его	1	1
лишь по	1	1
с которою	2	1
связи с	6	3
образа который	1	1
и которые	1	2
себя только	1	2
и той	2	3
то время	4	1
как не	3	1
чувства потому	1	1
которое нам	1	1
о постепенном	1	1
этой цели	1	2
собственно говоря	1	1
смысле в	1	4
из свойства	1	1
уже и	1	1
же с	1	7
при самом	1	4
выведены из	1	1
не противоречит	2	1
больше в	1	1
никто не	1	3
нашей мысли	8	1
нам кажется	4	1
не без	1	1
языка что	1	1
души в	2	1
если спросим	1	1
не есть	6	10
как увидим	2	2
этих последних	2	3
те же	3	1
взаимных отношений	1	1
могут быть	8	9
впечатления общего	1	3
мы принуждены	2	2
сознания и	1	1
которые следует	1	1
в его	2	5
есть когда	1	1
ли мы	2	1
душевным явлением	1	1
в нас	3	7
прежде чем	1	3
мы бы	2	1
и может	3	2
с нею	2	4
ожидать от	1	1
примем что	1	2
не заключает	2	1
который мы	1	1
мыслью и	1	2
обоняния и	1	1
есть только	6	11
понятие о	1	1
по мере	5	6
может нам	1	1
не можем	6	2
были бы	1	3
языка мы	2	1
вовсе не	9	5
ним то	1	1
кажется нам	2	1
к ним	1	2
про себя	1	1
такой степени	1	1
ни было	3	2
мысли с	1	3
степень развития	1	1
по степени	1	1
бы в	2	4
языке есть	1	3
они могли	1	1
каждому из	2	2
иначе чем	1	1
а вместе	4	3
в глазах	1	3
б мы	1	2
вместе и	5	9
конечно если	1	1
жизни нашего	1	1
души на	1	3
ответ на	1	1
на известное	1	1
как предмет	1	2
каждого слова	1	1
могут не	1	2
другой стороны	2	5
так сказать	4	2
что вполне	1	1
то и	9	7
его с	2	2
чувства которые	1	1
к этому	2	1
и какое	1	1
но для	1	1
и не	19	18
что язык	2	16
по времени	3	2
выше мы	1	1
если будем	1	1
таким образом	11	13
связанные с	2	1
время не	1	1
тогда когда	10	9
тем что	7	9
одно и	2	1
чтобы убедиться	1	1
только служат	1	1
же впечатления	2	1
тех какие	1	1
смысле этого	3	1
на внешние	1	1
дает нам	1	1
все эти	2	1
удовольствие от	1	1
если цель	2	1
психологии есть	1	1
значительной степени	1	2
посредством коих	1	1
с самого	2	3
этим последним	1	3
т д	3	4
мы находим	2	1
вкуса и	2	1
как кажется	4	3
и того	6	2
и неудовольствия	2	4
от нашего	2	1
есть б	1	2
чувствуем голод	1	1
перед нами	1	1
других чувств	2	1
слова для	2	4
время свидетельствует	1	1
быть может	7	1
