2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_2gram
когда они	1	1
эпоса и	1	1
все же	6	6
его в	6	3
времени и	1	10
мнимые смерти	1	2
от всех	1	1
начиная от	1	2
в человеческой	1	1
выражение в	1	2
и события	1	2
в значительной	1	2
менее всего	1	1
и каждый	1	1
слова и	3	2
и имеет	2	1
ни один	1	1
и освещается	1	1
этим пересечением	1	1
определяются особенности	1	1
за пределами	1	1
в античном	5	1
как нет	1	1
новое значение	1	1
действие романа	1	1
и к	2	2
мы имеем	2	1
виду что	1	1
не становится	1	1
позже то	1	1
но здесь	2	1
того и	1	2
кроме того	3	4
глубокий и	1	1
нет но	1	2
своей специфической	1	1
в историческом	2	1
у всех	2	1
будем говорить	1	1
жизненной формы	1	1
связан с	1	1
так и	7	12
чем не	2	3
существенную роль	1	2
вещи и	2	1
время лишено	1	1
и т	14	8
не является	3	2
плутовского романа	1	2
и особую	1	1
когда мы	1	1
влияние на	2	4
этом мире	6	2
iv проблема	1	1
и у	5	5
у них	2	2
еще и	1	2
в последнем	2	1
до нас	1	5
поэтому все	1	2
прямой и	1	1
рыцарский роман	5	1
то что	7	6
этой жизни	1	1
но как	1	1
он действует	1	1
на землю	2	1
не как	1	2
добродетели и	1	1
и от	2	1
времени а	1	1
часто и	1	2
из того	1	1
испытание героев	1	1
эту черту	1	1
освоения времени	1	2
наряду с	2	5
в особенности	6	9
человек был	1	3
иной характер	1	2
всех сторон	1	1
все его	4	3
в одном	7	3
в свою	1	2
самому своему	1	1
имеется и	1	2
не похож	2	1
имеет существенное	1	3
другие герои	1	1
всю картину	1	1
та же	3	1
миру и	1	1
если бы	1	5
нет никакого	1	1
важный момент	2	1
это уже	1	1
связи с	8	6
биографической жизни	1	2
нового хронотопа	1	1
ни в	1	8
и которые	1	1
и разновременностей	1	1
между собой	1	4
то время	1	4
лежат в	1	2
в авантюрном	2	5
что в	5	5
них и	1	1
момент при	1	1
протяжении всего	2	1
в фольклоре	2	1
в быту	1	3
а как	1	3
и они	3	1
в своей	1	2
и существенного	1	1
для раскрытия	2	2
друг с	4	1
и вещи	1	1
в хронотопе	1	4
все в	2	1
частной жизни	1	23
в основе	6	5
на первый	3	1
шута дурака	1	1
с его	1	9
пространстве под	1	1
на материале	1	2
как только	1	1
этом случае	2	1
других жанров	1	2
все более	1	1
казни и	1	1
в той	2	4
времени но	1	1
бы и	1	1
о чем	3	1
к греческому	1	1
авантюрном времени	3	5
хронотоп в	1	5
всего этого	1	2
борьба и	1	1
и все	6	6
дается и	1	1
у мариво	1	1
специфической логикой	3	2
и речи	1	5
указать на	1	1
человеческой жизни	4	6
дается описание	1	1
дается как	2	1
всем этим	1	3
жизни и	8	8
от природы	1	2
но когда	1	1
громадное значение	5	1
себя и	3	3
авантюрном романе	1	1
в них	7	4
в преисподнюю	1	1
место в	4	2
всех событий	1	1
последующей истории	2	5
эта особенность	1	1
полностью но	1	1
на одном	1	1
в основу	1	3
в европейском	1	1
те же	6	2
в роман	2	4
этого романа	2	4
и ни	1	1
у лесажа	1	1
часы и	1	2
что все	2	2
романа у	2	1
не может	2	6
могут быть	2	5
пределами романа	1	1
случая и	1	2
если не	2	1
там где	2	2
уже сказали	3	2
частную жизнь	1	3
сказать что	1	3
то есть	10	33
отнюдь не	4	5
здесь еще	3	2
единство человеческого	1	1
в трагедии	1	2
вместе с	9	3
в том	10	9
v рыцарский	1	1
в его	8	13
это время	1	7
и т.п	2	4
здесь они	2	1
похож на	2	1
разных эпох	1	1
не входит	1	2
с нею	1	1
о том	4	1
большого эпоса	1	2
отношение к	3	2
роман в	2	4
эти особенности	1	2
в виду	3	3
ряду с	1	1
богов или	1	1
и верности	1	3
другом месте	2	1
да и	1	3
в самой	2	2
с помощью	3	2
герой и	1	1
и смысл	1	1
должны быть	1	1
и франсион	1	1
нормального хода	1	2
в некоторых	2	2
как мы	6	14
однако не	1	1
этот новый	1	1
типу в	1	1
может быть	7	11
и его	12	16
в средние	3	1
ни с	1	2
правда в	1	1
уже за	1	1
и силы	1	1
уже говорили	4	3
и последовательная	1	1
вследствие этого	1	3
как его	2	1
приходит к	1	1
в отношении	2	3
вовсе не	13	13
она не	2	1
есть не	1	3
одинокого человека	2	1
к ним	2	2
жанр не	1	1
его от	1	2
в тех	1	1
громадное влияние	1	3
не на	3	1
с тем	2	3
на развитие	3	2
средние века	3	1
мы встречаем	1	2
сюда в	1	1
публично-риторические формы	1	2
по всему	3	1
событие в	1	1
здесь не	2	4
примыкают и	1	1
той или	1	2
в сатирах	1	1
доклассового фольклора	3	2
бы в	1	1
и раскрыть	1	1
где и	1	2
самой жизни	3	1
и проч	1	4
временем в	3	1
отличие от	1	2
его к	1	1
на корабле	1	1
сравнению с	1	2
и прежде	3	2
романе и	3	4
тот же	3	1
романа и	1	3
этому ряду	1	1
и подслушивания	1	4
и самое	4	1
могло быть	1	4
на которые	1	1
и других	2	3
мира в	3	3
как он	2	2
характер носит	4	1
уже на	1	2
функции плута	1	1
переживает метаморфозу	1	1
быть лишь	1	1
в таком	1	3
места для	1	1
в частности	5	6
с которой	1	1
может раскрыться	1	2
всего романа	2	1
входят в	1	1
т п	11	8
на этой	1	4
для своей	1	1
не было	3	7
и даже	3	2
о жизни	1	1
например у	1	3
всех ее	1	1
значительной мере	1	1
почти вовсе	2	2
того чтобы	8	5
только в	11	4
в этой	2	1
точках разрыва	1	1
богов и	1	1
авантюрно-бытового романа	1	4
так сказать	7	7
в вине	1	1
видения и	2	2
получают значение	1	1
еще вернемся	3	1
в присутствии	1	4
то и	1	1
идет о	1	1
отдельных авантюр	2	3
его с	1	1
сами герои	1	2
здесь дается	2	3
европейском романе	1	1
самим собою	2	3
явления природы	1	1
с большой	2	2
к этому	3	3
и всему	1	1
романа в	2	5
смертей и	1	1
оказали громадное	1	1
были созданы	1	1
сомнений и	1	1
мир в	4	2
и сама	1	1
как в	4	6
последнем счете	2	1
от этого	2	2
во всяком	2	3
греческих романов	2	6
и не	9	14
мы уже	9	11
лишь на	1	1
здесь же	1	1
со всеми	2	3
и вообще	1	2
сказать в	1	1
таким образом	3	11
тем более	3	1
по своему	2	1
видение и	1	1
борьбе с	2	2
жизни в	4	8
века и	2	1
основе этих	1	1
связанные с	5	1
они с	1	2
а вовсе	1	1
тем что	3	2
одно и	1	3
уже в	4	2
у гете	1	1
самосознание здесь	1	1
с тождеством	2	1
по самому	1	2
нужно отнести	1	1
отдельных романов	1	1
человеческая жизнь	1	1
не только	11	9
авантюрно-бытовом романе	2	1
он не	5	5
в основном	8	5
тому времени	1	1
его жизнь	1	1
что даже	1	1
один или	1	2
чтобы затем	1	1
наконец в	2	1
все эти	5	9
внутреннего человека	1	1
жизни где	1	1
особенно в	2	1
в данном	2	2
в пределах	5	5
в истории	4	2
одну из	1	1
тем же	2	1
с исключительной	1	2
рядом с	2	2
в литературе	2	16
и потому	2	3
в литературу	2	1
в их	3	6
с самого	1	2
в точном	1	2
все стороны	2	1
о времени	1	1
было в	1	1
не были	2	2
из самых	2	1
того в	1	1
основе этого	1	1
момент метаморфозы	1	2
в себе	4	3
и того	1	6
между ними	2	3
и он	4	1
в пространстве	5	5
истории романа	3	5
нашего анализа	1	1
очень резко	1	1
к тому	3	3
основу его	1	1
и момент	1	2
на основе	3	2
жизнь с	1	2
одной стороны	1	2
бы не	1	1
и те	1	3
из них	8	1
и для	9	4
с другом	4	1
первый план	2	1
