4gram	Vinokur_KulturaYazyka_partition_part2_wordlist_4gram	Vinokur_KulturaYazyka_partition_part1_wordlist_4gram
заключается в том что	2	1
обстоятельство что не все	1	1
частью нормального слова но	1	1
не только потому что	1	2
с этой точки зрения	1	2
и то обстоятельство что	1	1
темы т е такие	1	1
и вовсе не потому	1	1
т п и т	1	1
состоит в том что	3	1
и т д и	2	1
я имею в виду	1	1
в той мере в	5	1
и т п т	1	1
сошлюсь хотя бы на	1	1
и т п все	1	1
п и т п	1	1
что-либо в этом роде	1	2
смысл лишь в той	1	1
и т д это	1	1
только в том случае	1	1
точно так же как	1	2
не что иное как	1	1
как зам зав проф	1	1
только для того чтобы	1	1
т е как раз	2	1
то только потому что	1	1
и пр и пр	1	1
и т д не	1	1
находится в противоречии с	1	1
не находится в противоречии	1	1
лишь в той мере	1	1
в самом широком смысле	1	1
не принял радио вследствие	2	1
т д и т	2	1
то во всяком случае	1	1
в то же время	2	3
и в самом деле	2	2
и т п и	1	2
и с этой точки	1	1
или что-либо в этом	1	1
можно было бы сказать	1	1
той мере в какой	5	1
т п т е	1	1
то обстоятельство что в	2	1
какой смысл может иметь	1	1
широком смысле этого термина	1	1
в том случае если	1	2
самом широком смысле этого	1	1
но с другой стороны	1	1
элементы темы т е	1	1
то обстоятельство что не	1	1
не в том чтобы	3	1
