2gram	Potebnia_Myslijsyk_partition_part3_wordlist_2gram	Potebnia_Myslijsyk_partition_part2_wordlist_2gram
все же	5	2
есть или	1	1
не вижу	1	1
его в	3	3
без них	2	1
говорит лотце	4	1
восприятий и	2	4
подобно тому	4	2
связанных между	1	1
чувство сопровождающее	2	1
только свет	1	1
душе а	1	2
есть форма	1	1
собою предмет	1	1
насколько оно	1	3
о средствах	1	1
то то	1	1
и т	6	5
в ту	1	1
то что	20	18
его как	1	1
понятное говорящему	1	1
на такой	1	1
все его	1	1
с которою	2	1
на самое	1	1
еще для	1	1
тому же	1	1
связи с	6	2
образа который	1	1
и той	2	2
то время	4	4
которое нам	1	1
менее есть	1	1
не всякий	1	1
собственно говоря	1	2
нам чем-то	1	1
смысле в	1	2
такое явление	1	1
уже и	1	1
того кто	3	1
же с	1	6
при самом	1	1
слово из	1	1
звуки но	1	1
материал слова	1	1
в первое	1	2
сливается с	1	2
никто не	1	3
что внутренняя	1	2
нам кажется	4	2
нашей мысли	8	4
не без	1	1
кто знает	1	1
человек менее	1	1
души в	2	1
или нет	3	1
слияния с	1	1
не есть	6	17
как увидим	2	1
те же	3	6
могут быть	8	3
между новым	1	1
знак символ	1	1
сравнение то	1	1
сознания и	1	1
понятным для	1	1
в его	2	4
ли мы	2	1
в нас	3	2
прежде чем	1	2
мы бы	2	1
и может	3	3
с нею	2	2
друга что	1	1
отношение к	1	2
повторяет в	1	1
примем что	1	1
не заключает	2	2
который мы	1	1
есть только	6	5
понятие о	1	2
по мере	5	4
не можем	6	3
останавливаясь на	1	1
своих действий	1	1
мне представляется	1	1
сознании и	2	2
языка мы	2	2
вовсе не	9	7
средство понимать	1	4
ним то	1	2
кажется нам	2	1
к ним	1	1
про себя	1	1
такой степени	1	2
ни было	3	1
как представляется	1	1
мысли с	1	1
бы в	2	2
языке есть	1	1
внешняя форма	3	7
есть знак	1	1
а вместе	4	1
соединенное с	1	1
слова которые	1	1
этот взгляд	2	1
перед собою	2	2
в глазах	1	1
б мы	1	1
вместе и	5	5
конечно если	1	1
что первобытный	1	1
души на	1	1
человек должен	1	1
ответ на	1	3
как предмет	1	1
так сказать	4	2
другой стороны	2	4
что уже	1	2
то и	9	6
его с	2	2
них самих	1	1
к этому	2	3
и какое	1	1
в пример	2	1
и не	19	15
слово как	2	5
что язык	2	2
и та	1	2
выше мы	1	2
если будем	1	1
внешнее не	1	1
таким образом	11	14
тогда когда	10	9
тем что	7	7
одно и	2	5
другие но	1	1
смысле этого	3	7
прежних восприятий	1	2
дает нам	1	3
все эти	2	1
только путем	1	1
посредством коих	1	3
с самого	2	1
этим последним	1	1
пред собою	1	1
т д	3	3
как кажется	4	1
исходною точкою	1	1
от нашего	2	4
перед нами	1	2
можем не	1	1
вызовет в	1	3
слова для	2	3
быть может	7	3
на понятие	1	1
сами по	7	1
отличается от	1	1
из виду	1	2
же восприятий	1	1
самое слово	1	2
но этого	1	1
чувством или	1	1
все наше	1	1
и внешней	1	1
на них	1	1
значить что	1	1
навсегда остались	1	1
что человек	1	2
стороны и	1	1
одного из	1	1
но она	3	1
настолько насколько	3	3
и без	1	7
одно время	4	1
душевной жизни	7	6
по крайней	5	5
предмета в	2	2
находя что	1	1
же следует	1	1
как и	7	10
и чем	1	1
или что	2	3
на котором	1	2
случаев но	1	1
же время	2	5
его собственною	1	1
предположим что	1	1
при объяснении	1	2
и в	24	30
сознание есть	1	1
они еще	1	1
но не	12	7
в стороне	1	1
если оно	1	1
как скоро	1	1
для нас	31	20
не одною	1	1
слово только	1	1
зрения и	7	2
lotze т	6	2
на меня	1	1
как знак	1	2
как сознание	1	1
оно значит	1	1
с этим	7	6
известное видоизменение	1	1
именно из	1	1
причина почему	1	2
но это	3	6
различие в	2	1
принять за	2	1
весь процесс	1	1
друг другу	1	1
ее в	1	1
вообще в	1	1
горит а	1	1
знаем что	1	1
же в	5	2
в ряду	6	3
конечно не	1	1
добывается человеком	1	1
это не	3	1
человека к	1	1
между людьми	1	2
внешних возбуждениях	1	2
некоторое время	2	1
мысли к	2	1
этимологическое значение	1	1
бы ни	5	3
но он	2	1
должно быть	2	5
того как	7	4
не ошибаемся	2	1
бы быть	3	2
более или	8	3
без следа	1	1
что без	3	1
нам остается	1	1
прежде всего	7	3
указывает на	2	6
него как	1	1
в переносном	1	1
человека есть	1	1
эти слова	1	2
очередь есть	1	1
внешним предметам	1	1
до тех	1	1
этом следует	1	1
мысль что	1	1
ли эта	1	1
в образовании	2	1
сколько и	1	2
при понимании	1	4
что происходит	1	1
и наконец	1	2
зависит от	2	6
не к	1	4
что зрение	1	1
lazarus т	1	1
перестает быть	2	4
есть именно	1	1
с течением	1	1
чтобы показать	1	1
наоборот в	1	1
которое испытывает	1	1
тех пор	1	1
если это	2	1
все что	3	4
с этой	1	2
не иметь	1	1
об этом	1	2
только посредством	2	5
в говорящем	1	1
существование в	1	2
которое предполагает	1	1
его чувствами	1	1
потому он	1	1
определенности и	2	1
а только	8	3
при повторении	1	1
что хотя	4	2
мы называем	3	1
его свойство	1	1
и есть	2	3
самом деле	2	2
успокоения организма	1	1
степенях развития	1	1
хотя и	3	1
периоды языка	1	1
что тогда	1	1
в ребенке	4	1
отражается в	1	2
во многом	1	2
например в	3	6
то же	12	23
ее из	1	1
могло бы	1	1
сравнительно с	4	5
случае если	1	1
нельзя сказать	1	3
содержания мысли	2	1
форма в	1	4
соединения звуков	1	1
ряд их	2	1
содержания а	1	1
чувственное восприятие	1	3
на ее	1	1
мы видим	2	2
представляется нам	5	1
этот звук	4	3
его во	1	1
но мы	3	2
дает только	2	1
как говорят	1	1
а и	5	4
не идет	1	1
известным явлением	1	1
душе и	1	1
возвращаясь в	1	1
действуют на	1	1
в звуках	4	2
один из	2	4
в действительности	2	5
с физиологическою	1	1
во-вторых потому	1	1
в обществе	2	1
то тем	1	3
отношения к	2	1
с точки	1	1
же и	1	3
только воспоминание	1	1
было для	2	1
нам за	1	1
взрослый человек	1	1
но в	4	1
появления в	2	2
не имеет	6	6
могла бы	3	2
со многими	1	2
а тлеет	1	1
сих пор	4	3
слов обыкновенно	1	1
тем не	6	3
и такое	1	3
и б	2	1
а потом	1	1
или если	2	1
отдельно от	1	1
степени развития	1	2
эти последние	2	2
восприятий или	1	1
с потому	1	1
в котором	4	4
[зрения] не	1	1
дает слову	1	1
кажется вполне	1	1
для него	10	9
на каждом	1	1
явление не	2	1
вообще потому	1	1
за таким	1	1
нашего знания	2	1
свою очередь	6	3
совсем не	2	1
представление в	1	2
говорит гумбольдт	3	5
сознании то	1	1
и это	2	4
мы его	1	1
что мысль	1	2
не с	3	1
только звук	3	2
b с	1	4
ничего общего	1	2
так например	3	2
связь с	1	3
себе не	4	4
не следует	1	5
ему самому	1	2
и непосредственно	1	1
словом то	1	1
есть к	1	3
есть для	1	5
образ или	1	2
виду что	1	1
это стремление	1	1
том виде	1	1
птице которая	1	1
когда мы	2	2
в последнем	1	3
находящихся в	1	1
такой взгляд	1	1
в выражении	1	1
образ предмета	4	2
и от	3	4
с в	2	2
из того	1	2
не один	1	2
одними физиологическими	1	1
может но	1	1
слова должно	1	1
в одном	6	2
на который	1	1
проч но	2	1
той же	3	2
waitz с	2	1
только после	2	1
друг от	1	1
а как	1	2
верным что	1	1
или же	7	4
нас смысла	1	1
не должно	2	1
с его	2	1
говорит нам	1	1
не знаем	2	3
не имеем	3	1
и все	3	3
много признаков	1	1
мы только	1	1
согласие в	1	1
и о	1	2
жизни и	1	2
ли кто	1	1
в них	5	5
посредником между	1	1
которое тоже	1	1
человек может	1	2
но тем	3	2
может стать	2	2
выше называли	1	1
звук и	6	3
если не	4	4
там где	4	3
состоит не	2	3
ко всем	2	2
можно заметить	3	1
и членораздельный	2	1
мысль с	1	1
слова но	2	2
понимания слова	1	1
в том	18	32
мы знаем	2	1
имея в	2	1
лишь настолько	3	3
а =	1	2
к другой	2	3
из всего	1	1
как при	3	2
народной поэзии	1	2
образы предметов	1	1
от того	5	8
восприятий в	1	2
внешних возбуждений	2	2
на душу	1	1
без которой	2	1
служат только	1	1
к самому	1	1
что между	1	1
и наоборот	5	4
не все	2	4
как мы	1	7
случае для	1	1
заключает в	4	5
и чувства	2	1
и поэзии	1	1
и действия	2	2
мысли но	2	1
steinthal с	2	6
чувственный образ	1	23
что как	1	2
только тогда	3	9
это содержание	2	5
на нас	3	2
многих других	1	1
в отдельном	1	1
многих случаях	1	1
можно назвать	2	1
есть не	5	7
пока не	1	1
что чувственный	1	1
здесь не	1	1
которого в	1	2
признаков но	1	1
можно бы	2	4
тот же	5	1
она входит	1	1
это определение	2	1
со стороны	3	3
как он	4	1
одно из	3	5
та и	1	1
несомненно что	1	2
что здесь	1	1
не встречает	1	1
прежним и	1	1
содержание мысли	1	2
чтобы не	1	1
и язык	1	1
то это	3	6
звуке и	1	1
когда с	1	2
том случае	1	1
от этого	1	2
есть такая	1	2
оно только	1	1
другим слово	1	1
в связь	1	1
этих слов	1	2
получивших уже	1	1
уже в	5	5
междометие как	1	1
в жизни	2	1
верно то	1	1
что сознание	2	1
восприятий какие	1	1
в истории	1	1
одним словом	4	2
и потому	2	4
единственно потому	1	1
вряд ли	3	1
идет далее	1	1
как на	3	5
значении этого	1	1
человеческой чувственности	1	1
новые впечатления	1	1
заставляет нас	1	2
что кажется	1	1
с положением	2	1
из них	5	6
самом своем	1	1
чувством и	2	1
его звук	1	1
