4gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part7_wordlist_4gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_4gram
тем не менее картина	1	1
но тем не менее	2	2
в данном случае в	1	1
и в русской сказке	1	2
с другой стороны и	3	2
с этой точки зрения	1	3
в тех случаях когда	1	3
в то время как	2	2
в этих случаях часто	1	1
состоит в том что	2	1
пребыванием в ином мире	1	1
случай мы имеем в	2	3
это означало бы что	1	1
см и т д	1	1
до окна царевны и	1	1
образом мы видим что	1	2
может быть поставлен вопрос	2	1
таким образом мы видим	1	2
точно так же как	1	1
с пребыванием в ином	1	3
приходит к заключению что	1	1
что она при этом	2	1
и т д или	1	2
в лесном доме и	1	1
в сказке сивко-бурко здесь	1	1
уже выше мы видели	2	1
и т д в	1	2
как мы увидим ниже	1	1
как это происходит в	1	2
мы уже знаем что	1	2
другой персонаж а именно	1	1
он стоит на столбах	1	1
мы увидим дальше что	1	1
это не совсем так	1	1
то же можно сказать	1	1
то это означало бы	1	1
таким образом и здесь	1	1
можно предположить что и	1	1
точно так же в	1	1
