2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram
есть как	2	1
все же	1	2
его в	6	2
есть можно	1	1
смотреть на	1	2
необходимо чтобы	3	1
и всякого	1	2
символ и	8	8
это вовсе	2	1
но тогда	1	1
кроме того	2	4
некоторого рода	5	2
и требует	1	1
и т	11	4
не является	5	10
в известном	1	2
из указанных	3	1
то что	42	15
взятый сам	1	2
с понятием	1	1
символическую природу	1	1
его как	2	1
о разных	1	1
тому же	1	2
величин в	1	1
нет никакой	2	4
несмотря на	3	4
общей форме	1	1
связи с	5	3
же деле	1	2
кто не	1	1
то время	1	2
принципом не	1	1
образами ни	1	1
не всякий	4	3
общее есть	1	1
все подобного	1	3
он является	1	1
однако в	2	2
символ что	1	1
уже и	3	3
которые являются	2	1
близкое соприкосновение	1	1
на первый	2	1
и сливаются	1	2
противоположностей то	1	1
другими соседними	2	1
но символ	3	1
мы скажем	1	1
именно символами	1	1
является законом	1	1
из которых	1	3
не есть	29	12
художественным образом	1	3
могут быть	2	1
его символом	1	1
сознания и	2	3
сказать о	2	3
и значит	1	1
значение символа	1	1
явлений но	1	1
в его	6	3
все равно	5	3
нечто единое	1	1
символа с	2	1
и может	2	2
теории литературы	3	1
который мы	2	1
да и	3	5
понятия тем	1	2
уже о	1	1
есть только	8	2
разлагаемая в	1	1
и борьбы	1	1
это ясно	1	2
тот самый	1	1
однако мы	1	2
вовсе не	35	21
символа от	3	2
который является	2	2
поставить вопрос	1	1
здесь нет	2	3
ни было	1	2
всего как	1	1
единичностей которые	2	1
в отдельности	4	1
в символе	17	6
даже если	4	3
мы обязательно	1	1
ни о	5	4
и нет	1	1
которая является	2	4
сами не	1	1
других знаков	1	1
этом нам	1	1
действий и	1	1
символ потому	2	1
математического символа	1	1
а вместе	1	2
медного всадника	2	3
мы встречаемся	2	1
есть тем	1	1
учения о	2	2
общность которая	1	2
всякого понятия	1	1
обобщающей силой	1	1
на нечто	8	2
другой стороны	3	6
самый настоящий	1	2
то и	6	5
свидетельствует о	3	2
символа в	3	6
и все-таки	2	1
но для	3	1
и сама	2	3
и не	31	28
или тип	1	1
со всеми	2	2
таким образом	6	8
по своему	9	6
являются символами	3	2
символе и	1	1
в художественной	1	1
связанные с	1	1
тем что	7	3
одно и	1	1
это общее	4	1
что каждая	1	2
все эти	8	16
вот что	1	1
по содержанию	1	2
есть он	1	1
в данном	9	6
петра i	2	1
в литературе	4	2
в прошлом	1	1
вообще говоря	1	1
т д	10	3
мы находим	2	2
на его	2	2
мы считаем	1	1
и этот	1	3
только известный	1	1
перед нами	5	13
всех подобного	1	1
говорили выше	2	1
иррациональное число	1	2
следовательно если	2	1
в сравнении	1	2
сами по	3	2
особенно важно	1	2
сливаются в	3	3
и уже	3	1
понятия символа	7	9
как принцип	1	1
бы оно	3	1
первый взгляд	1	1
бы его	1	1
отражение действительности	1	5
дело в	3	2
теорией символа	1	1
поэтому и	2	1
в своем	5	3
одного из	1	1
но она	3	3
и без	1	6
анализа и	1	1
по крайней	2	6
на заходящее	1	1
не являются	5	2
внешним образом	1	1
как и	3	6
единичностей но	1	2
символ этот	1	2
есть также	3	1
каком случае	3	3
поэтому в	1	1
количества десятичных	2	1
конца xix	2	1
и в	32	20
только нашими	1	1
он как-то	1	1
с этими	2	1
но не	9	5
солнце и	1	1
теория символа	2	3
для нас	5	6
при встрече	1	1
мы сказали	1	1
как знак	2	4
бы он	1	1
и об	1	1
ни только	4	2
ее отражение	4	1
о своем	2	1
с этим	3	4
действительность не	1	1
символом и	1	1
но это	8	6
сама вещь	1	1
символ но	5	5
было что	1	1
же в	4	4
есть сама	1	1
конечно не	1	3
видим и	1	2
моделью для	1	2
это не	6	7
человека к	1	1
и образ	1	4
и всего	1	1
здесь в	3	5
а если	1	3
должно быть	2	1
это значит	1	10
общее и	1	3
бы нам	2	1
более или	3	2
казалось бы	4	3
не обязательно	3	2
прежде всего	10	11
указывает на	14	4
символа а	1	1
являются либо	1	1
также при	1	1
отвлеченном смысле	1	2
это тоже	2	1
хотели бы	1	2
как символ	6	6
при первом	1	1
чем сам	1	1
в результате	2	8
возникает только	1	1
не к	1	2
мы вообще	1	1
обобщенность которая	1	1
есть именно	5	2
особенно если	1	1
не что	2	2
здесь перед	3	5
с этой	1	1
об этом	10	6
под него	2	2
в совершенно	1	2
с с	1	1
чистом виде	1	2
а только	5	6
поскольку в	2	1
в первую	1	1
действительность однако	1	1
мы называем	2	1
чего-нибудь то	2	1
едва ли	2	10
и есть	6	4
самом деле	6	3
братьях карамазовых	1	1
об этой	1	1
самом же	1	2
хотя и	6	5
что может	2	1
для познания	1	2
то же	10	7
уже нет	1	1
другими словами	3	3
соседними категориями	1	1
нельзя сказать	2	1
не ее	2	1
сказано и	1	1
говорят о	2	1
мы видим	2	1
то более	1	3
что символ	13	4
зрения логики	1	1
слова символ	1	1
как говорят	2	1
и еще	3	1
действительности а	7	1
для построения	2	1
бесконечные ряды	1	3
к этой	1	1
символ имеет	2	1
надо уметь	1	2
символа как	5	4
из наук	2	1
является самым	1	1
в действительности	3	1
и поэтому	1	1
ясно что	3	7
с точки	3	11
же и	3	3
бесконечный ряд	12	16
в миф	1	1
ревизора гоголя	1	1
ли кто-нибудь	1	2
бы ее	1	1
количество и	1	1
оно стало	1	1
скажет что	1	1
понятия и	2	3
представляется что	1	2
предмет то	1	1
но в	14	8
ни понимать	1	1
это мы	2	1
всякого рода	1	3
который бы	2	1
не имеет	2	4
сих пор	3	1
содержания но	1	1
со всем	2	1
если и	1	3
тем не	18	10
не значит	2	1
которого он	2	1
символ есть	10	6
это нужно	1	1
здесь тоже	1	3
о которых	3	2
поэтому здесь	1	1
а потом	2	1
в другом	1	3
на путях	1	2
эти последние	2	1
однако тот	1	1
в котором	5	2
нам уже	1	1
для него	2	3
смысле есть	1	1
бы даже	1	4
не о	2	1
указать здесь	1	1
д и	4	1
весьма насыщенным	1	1
совсем не	4	1
модель для	1	2
всего является	1	1
школьной логики	3	1
понимать под	1	1
можно было	3	4
содержанию не	2	1
и это	9	2
действительности с	1	1
а иной	1	1
отражение и	1	2
и понятие	2	4
мы сейчас	1	3
действительности но	4	1
а следовательно	1	1
ничего общего	11	5
символом то	1	1
символа именно	1	2
и хорошо	1	1
как обозначения	1	1
символической образности	2	1
новое качество	2	1
или событие	1	1
в нечто	2	1
всего его	1	1
уже давно	2	4
когда мы	8	5
еще и	5	3
и от	1	6
есть обобщение	1	1
часто и	2	1
думал что	1	1
но ее	3	1
мало и	1	1
бы это	1	1
сейчас мы	2	1
однако тут	1	1
десятичных знаков	6	2
иное как	2	2
которые вовсе	1	1
себя не	1	1
единство противоположностей	1	1
общее понятие	1	1
в начале	1	3
о самом	1	1
мыслится и	1	1
нашего сознания	1	1
всяком символе	2	1
образа петра	1	1
чтобы был	1	1
с его	2	2
этих двух	1	1
не знаем	1	1
и больше	1	2
бы и	1	3
всегда несет	2	1
прочих структурно-семантических	1	1
и все	7	8
разлагается в	1	2
в смысловом	1	2
и о	8	5
еще только	1	2
жизни и	1	5
но отнюдь	3	1
все другие	2	1
эту окружность	1	1
что эта	1	1
в них	7	5
точнее тем	1	1
о смерти	1	1
для искусства	1	3
как функцию	1	1
и так	2	1
и ни	4	5
если не	4	3
не всякое	7	1
действительности в	3	1
отнюдь не	10	10
и творчески	1	1
других областях	1	1
символ может	1	1
в том	9	20
и какова	1	1
то уж	1	1
художественном образе	1	2
как они	2	2
не мыслится	1	1
к другой	1	2
чем больше	4	1
и структура	1	1
к самому	1	1
что между	1	1
идет речь	1	2
как мы	7	3
и искусства	4	1
здесь вполне	1	1
пока еще	3	1
основе своей	1	1
в отношении	3	4
момент времени	1	1
изображения и	1	1
есть не	6	6
в бесах	1	1
в виде	15	22
сказали выше	1	1
признак или	1	1
настоящее время	3	1
символа но	2	3
здесь не	7	7
символа и	9	8
всякий символ	12	4
жизни мы	1	1
иным как	1	2
самой этой	1	1
переделывать действительность	1	1
тот же	1	2
является здесь	1	2
сравнении с	1	2
как он	4	1
уже на	2	1
что здесь	3	6
нет ничего	10	3
то он	2	2
отчет в	1	4
чтобы не	1	2
то это	1	3
символами но	1	1
или иного	2	3
т е	1	1
история и	1	1
чтобы понять	3	1
веры в	1	1
и вполне	3	5
не случайно	1	1
есть такая	2	1
на совсем	1	1
после окончания	1	1
уже во	1	1
уже в	3	4
в жизни	3	3
одном примере	1	1
обозначаемое здесь	1	1
только оно	1	1
особенно в	2	1
такое которое	2	1
в истории	4	3
закон для	3	1
и потому	2	7
в идиоте	1	2
тут и	1	4
как на	1	1
именно он	1	1
лермонтов в	1	1
ничего подобного	2	1
и те	1	1
из них	3	3
предмет есть	1	1
в области	2	3
сам он	1	1
указанные выше	1	1
а что	1	1
не менее	19	10
еще не	9	7
на первом	1	1
насыщенным и	1	1
к его	2	3
же самое	9	6
но на	1	1
в конце	6	2
следовательно и	2	1
ли сказать	2	2
эта последняя	1	1
тех или	3	4
для выражения	1	1
нужно сказать	3	1
является этим	1	1
и тогда	1	2
выше анализ	1	1
на какие	1	1
самая точная	1	1
можно даже	1	2
чего же	1	1
виде как	1	3
в картине	1	1
и на	8	3
есть чисто	1	1
символов как	1	1
есть то	1	1
