4gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_4gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_4gram
дело идет о сочетании	1	1
могут быть весьма различны	1	1
с другой стороны и	1	2
оставаясь содержательно теми же	1	1
моменту нашего тезиса к	1	1
по отношению к нему	1	1
в то время как	1	2
в этом смысле глубоко	1	1
в большинстве случаев в	1	1
как и всякое иное	1	1
в одной плоскости с	3	1
то же время не	3	1
видения и понимания мира	2	1
сознаний с их мирами	4	1
как мы уже говорили	1	1
мы остановимся лишь на	1	1
человека по отношению к	1	1
отношению к себе самому	1	1
в художественном мире достоевского	2	1
как точка зрения как	1	1
о себе самом с	1	1
героя а не как	1	1
о себе самом и	4	1
слово о себе самом	1	1
с самим собою но	1	1
сами по себе еще	2	1
как чужое слово как	1	1
большей или меньшей степени	1	1
по отношению к себе	1	1
достоевского в этом смысле	1	1
то же время оно	1	1
бы то ни было	1	1
в то же время	9	5
чужое слово как слово	1	1
по себе еще не	2	2
человека из подполья и	1	1
дело в том что	1	1
полноценных сознаний с их	1	1
ни в одном из	1	1
приходит в столкновение с	1	1
принципом видения и понимания	1	1
лежит в одной плоскости	1	1
в большей или меньшей	1	1
в первых произведениях достоевского	1	1
но в то же	5	3
в том что он	4	1
чужим словом но в	1	1
