3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram
к значению слова	1	1
к частному и	2	1
это означает что	2	1
ребенок относительно поздно	1	1
и к другому	1	1
не только в	1	1
из того что	3	1
ту мысль что	1	1
связи и отношения	1	1
не могут быть	2	1
в сотрудничестве с	3	1
которого еще не	1	1
силу того что	5	2
процесс их образования	1	1
можно было бы	5	5
все эти особенности	1	1
что мы не	1	1
и того же	4	4
в новую структуру	1	1
для того чтобы	8	7
ступени в развитии	2	1
к одному и	1	1
этой точки зрения	1	2
на то что	4	3
экспериментальном исследовании образования	1	1
друг с другом	5	5
и то что	2	2
вместе с тем	2	10
же по своей	1	1
что иное как	1	1
в этом случае	2	1
данной ступени развития	1	2
показывает исследование является	1	1
где они будут	1	1
на первый план	1	2
является то что	1	4
можем представить себе	1	1
но не для	1	1
в том числе	1	1
только тому что	1	1
могли бы сказать	2	3
не станем сейчас	1	1
мы показали выше	1	1
как и в	1	2
медленно и постепенно	1	1
зависимости от этого	1	2
этом и заключается	1	2
друг от друга	1	1
в детском возрасте	1	2
речи в этом	1	1
ступени развития понятий	2	1
то каким образом	1	1
понятиям но как	1	1
с помощью которого	1	2
мы остановились на	1	1
совпадает с тем	1	1
таким образом что	1	2
если принять во	2	1
нам станет ясно	1	1
в мышлении ребенка	2	4
в школьном возрасте	8	1
в основе этого	2	2
то и другое	1	4
понятий так же	1	2
скажем только что	2	1
что оно не	1	1
той или иной	1	2
что возникает в	1	1
у ребенка и	1	7
благодаря этому возникает	1	3
мы видели что	3	3
мы могли бы	9	7
мы имели возможность	1	4
что как бы	1	1
что и в	1	5
не по типу	1	1
включает в себя	1	2
как показывают исследования	1	1
к тому что	7	1
в зависимости от	5	5
тот факт что	1	5
и в этом	1	2
новая ступень в	2	1
так как их	1	1
одного и того	4	4
как и все	1	1
если бы оно	2	1
на одном и	1	1
значение для всей	1	1
в понятии и	1	1
одной и той	3	2
по сравнению со	1	1
время как в	1	1
то обстоятельство что	1	3
детской речи как	1	1
так как она	1	2
по своей психологической	1	2
по сравнению с	14	3
высшей ступени к	1	1
одним из главнейших	1	1
общего к частному	2	3
не что иное	1	1
так же точно	3	3
до последнего времени	1	1
то что мы	2	2
же как и	1	4
в том что	19	17
мы не станем	2	4
в то время	6	4
и через него	1	1
именно в силу	1	1
с внутренней стороны	1	1
того же по	1	1
не потому что	1	1
к выводу что	1	2
вперед по сравнению	1	1
в развитии ребенка	1	2
ребенка к овладению	1	1
ступень в развитии	4	6
ее достижения в	1	1
что переход от	1	1
не столько на	1	1
показывает что в	1	1
связаны между собой	1	1
тем не менее	1	5
то что ребенок	6	3
если бы ребенок	1	1
в развитии понятий	5	3
что вместе с	1	1
так же как	6	6
и как бы	1	1
в связи с	2	5
приводит к тому	1	1
на этой стадии	2	2
в свою очередь	1	2
по отношению к	10	2
в этом заключается	2	1
с каждой новой	1	1
с другой стороны	2	3
раньше чем он	1	1
в отличие от	1	6
сам по себе	1	1
то что в	1	2
это мы видим	2	1
связи с этим	1	1
обе линии пересекаются	1	1
сверху вниз от	1	1
в процессе развития	1	1
речевого мышления в	1	1
ребенок приходит к	1	1
на каждой возрастной	1	2
проб и ошибок	1	1
и у ребенка	1	1
кроме того что	1	1
новых и новых	1	1
вполне совпадает с	2	2
школьный возраст является	1	1
не встречаются в	1	1
вместе с этим	1	2
смысле этого слова	1	4
в целом мы	1	2
развитии и в	1	1
в данном случае	1	1
и том же	2	1
так и здесь	1	1
но и по	1	1
во внимание что	1	1
в словесном мышлении	1	1
мы видим таким	1	1
их развития в	1	1
приводят нас к	1	1
есть не что	1	1
связанным между собой	1	1
от того как	1	2
но это определение	1	1
связанными между собой	1	2
с одной стороны	1	5
том числе и	1	1
поздно приходит к	1	1
не может усвоить	1	1
принципиально нового по	1	1
для всего нашего	1	1
в этом отношении	3	3
