2gram	Potebnia_Myslijsyk_partition_part2_wordlist_2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram
и сами	2	4
все же	1	5
отлично от	2	1
его в	4	3
времени и	1	1
вытекает из	1	2
когда например	2	1
от всех	1	1
к тем	1	1
связь с	1	1
сплошь да	1	1
не следует	2	1
словом то	1	1
восприятий и	1	2
для меня	10	4
субъективное и	1	1
в собственном	1	2
подобно тому	2	4
только первый	1	1
действует на	1	2
она есть	1	2
не от	3	5
общего с	1	2
не другое	1	2
в состоянии	2	6
есть для	5	1
слова и	5	3
и имеет	1	1
мысли о	2	4
на основании	4	1
за факт	1	2
большую или	1	1
о лице	1	1
для другого	1	1
из сознания	1	1
а от	1	3
из него	2	1
первоначального значения	1	1
каждый раз	4	1
к другому	1	4
относится ко	1	1
санскрите корень	1	1
образ или	2	1
виду что	2	1
что различные	1	1
в наших	2	1
то разве	1	1
тех и	1	1
независимо от	6	9
вероятно что	1	1
в развитии	1	1
таком случае	2	2
человеческой природы	2	2
мысли а	2	2
и противоположность	1	1
что при	1	1
самое это	1	3
выражается в	1	2
то мы	3	2
том виде	1	1
так и	6	5
в другой	2	1
членораздельные звуки	1	3
всего его	1	1
и т	7	6
до значительной	1	1
при таком	1	1
в ту	2	1
отдельных лиц	1	2
когда мы	6	2
для кого	1	2
влияние на	2	4
разумеется мы	1	1
и у	2	3
быть выражены	1	1
за пределы	1	2
в последнем	1	1
уравниваются тем	1	1
из мысли	1	1
в известном	1	1
есть нечто	5	3
такой взгляд	1	1
говорим что	3	1
только от	3	3
то что	29	20
внутреннюю форму	3	3
но как	1	1
образуется не	1	1
в выражении	2	1
не как	2	3
общим чувством	1	1
так а	1	1
бы очень	1	1
в каком	4	3
в более	2	1
как слово	1	1
применить это	1	1
не прямо	1	1
его как	1	1
других в	1	2
бы это	1	1
имеет в	2	1
по которым	1	1
других языках	2	1
всех сторон	1	1
должна быть	1	1
все его	1	1
а потом	1	1
лишь по	1	1
в свою	2	6
основаны на	1	1
член сравнения	1	1
на который	2	1
в одном	4	6
сравнения к	2	1
эта разница	1	1
сначала это	1	1
проч но	2	2
для образования	1	2
той же	3	3
в другом	1	2
от себя	1	2
если бы	13	11
к которому	1	2
и им	1	1
связи с	3	6
может иметь	2	1
и такие	1	1
значит вместе	1	1
звуки в	1	1
к одному	3	1
то время	1	4
и той	1	2
как не	1	3
только после	1	2
что в	17	16
было связано	2	2
можно выразиться	1	1
или от	3	2
с увеличением	1	2
нас в	2	2
друг от	1	1
смысле в	1	1
а как	2	1
и они	2	2
поэтому можно	2	1
членораздельным звуком	1	2
без сомнения	4	4
или же	1	7
уже и	2	1
но если	1	2
все в	2	1
и другая	1	1
и сила	1	1
и прямо	1	1
же с	2	1
при самом	1	1
со словом	3	1
мы тем	1	2
этих двух	1	1
не производит	1	1
этом случае	5	1
что она	2	3
бы и	5	1
не знаем	2	2
в той	4	1
обратить внимание	2	1
что если	6	6
которая нам	1	1
себе в	3	3
внешней природы	6	1
и что	7	4
этом мы	2	1
не противоречит	1	2
в применении	1	1
к языку	1	4
и все	4	3
же мало	1	1
препятствий что	1	1
мы говорим	7	3
точкою для	1	1
никто не	2	1
другим не	1	1
связью между	1	2
много признаков	1	1
нам кажется	2	4
нашей мысли	3	8
слова так	1	2
в зародыше	2	1
не без	1	1
мы только	1	1
что на	2	3
согласие в	1	1
и о	4	1
жизни и	1	1
и созданием	1	1
но когда	1	1
членов сравнения	1	3
тем совершеннее	1	1
к человеку	1	1
после того	2	2
и притом	2	3
слово может	1	1
в них	3	5
только не	3	1
или нет	1	3
на одном	1	1
но тем	2	3
может стать	1	2
на деле	2	3
не есть	9	6
что все	4	2
те же	3	3
нем воспоминание	1	1
между этими	1	1
не то	5	2
и так	3	1
не может	11	12
между новым	1	1
начинается то	1	1
могут быть	7	8
и за	1	1
если не	1	4
знак символ	1	1
там где	3	4
можно убедиться	1	1
сказать что	8	2
мы видели	1	1
состоит не	1	2
то есть	34	30
ко всем	3	2
в значении	3	1
языка или	1	1
не могло	1	1
упомянули что	1	1
вместе с	6	11
виде в	2	1
каждое по-своему	1	1
слова но	1	2
сознания и	1	1
понимания слова	1	1
б которое	1	1
в понимающем	1	1
по тому	2	1
достигает до	1	1
его содержание	2	2
мысли от	2	1
по-видимому не	2	1
человек например	1	1
в том	23	18
относятся к	2	1
и первоначально	1	1
по качеству	1	1
в его	5	2
значения в	1	1
ли мы	1	2
процессов в	1	1
в нас	3	3
этот образ	2	1
мысль о	6	7
для говорящего	3	2
мы бы	2	2
и может	4	3
ряду других	3	1
народной поэзии	7	1
с нею	3	2
как при	1	3
переносном смысле	2	1
новых восприятий	2	2
от того	4	5
о том	8	5
между тем	9	6
для сознания	1	2
отношение к	2	1
чувство может	1	1
и понимание	1	1
что первоначально	1	1
с большею	1	1
его не	1	3
не заключает	1	2
на вопрос	4	3
их связь	1	1
я вижу	2	1
на то	7	5
вспомнить что	1	1
мыслью и	1	1
без которой	1	2
можем заметить	1	1
к самому	1	1
в самой	2	3
большинстве случаев	2	1
есть только	5	6
понятие о	1	1
что между	3	1
впечатления зрения	1	3
должны быть	3	4
мы и	2	1
и наоборот	1	5
без которого	2	1
быть не	2	3
не все	1	2
главным образом	1	4
а потому	1	5
как мы	2	1
однако не	1	1
его место	1	1
прийти на	1	1
по мере	7	5
относится к	1	3
заключает в	8	4
известно что	6	1
может быть	26	23
наше миросозерцание	1	1
то в	3	1
и его	2	2
что значит	2	1
разница между	1	2
не можем	5	6
мысли но	4	2
и поэзии	3	1
steinthal с	1	2
останавливаясь на	1	1
его мысль	1	1
количество признаков	3	1
слова причем	1	1
чувственный образ	11	1
служит только	1	1
не приводит	1	1
что как	4	1
например слово	1	1
только тогда	5	3
тем самым	4	4
были бы	1	1
давно уже	3	1
деятельность мысли	1	1
многих других	1	1
знать что	1	2
и животным	1	1
есть непосредственное	1	1
вовсе не	7	9
тогда не	1	1
можно назвать	2	2
есть не	4	5
была бы	1	1
человека а	2	1
к ним	2	1
про себя	1	1
этому в	1	1
себе звуки	1	1
согласных с	1	1
пока не	2	1
с тем	7	4
такой степени	6	1
это есть	3	1
что чувственный	3	1
сравнения tertium	1	1
только один	1	4
в строении	1	1
том смысле	2	4
сознания не	1	1
другому в	1	1
согласно с	1	3
наблюдений над	1	1
бы прийти	1	1
мысли с	1	1
и музыка	1	1
во многих	2	3
я от	1	1
невозможно и	1	2
бы в	2	2
понимание было	1	1
вслед за	1	3
своей мысли	1	1
внешняя форма	3	3
и проч	18	10
можем сказать	2	1
отличие от	1	1
его к	2	1
для обозначения	1	2
и прежде	2	1
света и	2	2
тот же	2	5
странным что	1	1
и самое	1	1
могло быть	1	1
что нет	1	2
и других	3	2
а вместе	1	4
сравнении с	1	2
со стороны	3	3
состоит из	1	1
на мысль	4	3
тем как	2	2
восприятия но	1	1
перед собою	2	2
не производят	1	1
одно из	1	3
изменения в	1	1
в глазах	2	1
та и	1	1
в таком	4	4
почти то	1	1
несомненно что	1	1
сознании как	1	1
есть первоначально	1	1
что здесь	1	1
да рядом	1	1
вместе и	2	5
менее в	1	1
не встречает	1	1
звуком то	1	1
с которой	1	1
предмет в	1	1
помнить что	1	3
самое образование	1	1
от их	1	4
другая сторона	2	1
т п	4	3
слова человек	1	1
относительно поздно	1	1
значение слова	5	1
не во	1	2
человек должен	1	1
же например	1	1
не было	12	6
содержание мысли	1	1
как предмет	1	1
следует сказать	2	1
с ясным	4	1
и тем	4	3
того чтобы	4	2
во внимание	1	1
и при	2	3
то это	8	3
в своих	2	1
только в	15	11
лучше сказать	1	1
что то	3	1
с ними	3	3
я прежде	2	1
другой стороны	1	2
так сказать	5	4
так бывает	1	1
каждого слова	1	1
звуке и	1	1
из тех	2	1
к первой	1	2
усилиями многих	1	1
из подобных	1	1
само по	5	2
язык представляет	1	1
мы их	1	1
то и	4	9
другой язык	1	1
все то	1	1
всяком случае	3	7
его с	1	2
в единстве	1	1
чтобы понять	2	1
и затем	1	2
том случае	3	1
например как	1	1
им самим	1	1
и какое	1	1
есть образ	1	1
и вполне	2	1
оно и	1	1
понимание в	1	1
и легко	1	1
как язык	1	1
но для	1	1
от нас	1	1
как в	7	10
что например	3	2
во всяком	5	7
с образом	1	1
языка которое	1	1
что у	3	2
слово как	1	2
и не	18	19
что язык	7	2
и та	4	1
мы уже	3	1
выше мы	2	1
но вместе	1	2
апперцепция есть	1	1
животного что	1	1
таким образом	24	11
тем более	5	1
между такими	1	1
в связь	1	1
и вообще	2	3
что чем	2	1
внешней форме	1	1
в санскрите	2	1
есть представление	2	1
представления в	4	1
тогда когда	8	10
сходства между	1	2
тем что	10	7
свойства первобытных	1	1
же касается	1	1
например и	1	1
уже в	5	5
для самого	2	4
такое же	2	2
то куда	1	1
что сознание	1	2
не только	10	15
объяснить почему	1	1
его частей	1	1
судя по	2	5
он не	2	1
смысле этого	1	3
раз как	2	1
в человеке	1	4
в самых	1	1
все эти	3	2
дает нам	1	1
сходства с	1	1
у человека	1	2
явления в	1	1
в истории	4	1
образом можно	1	1
производят в	1	1
только человеку	1	1
множество признаков	1	1
значительной степени	2	1
тем же	1	3
рядом с	1	3
есть и	2	1
и потому	10	2
слова в	3	5
в их	1	1
с самого	1	2
этим последним	4	1
было в	3	2
т д	3	3
единственно потому	1	1
не были	2	1
в себе	14	10
и того	1	6
между ними	4	2
в пространстве	1	2
вряд ли	1	3
как на	1	3
более сложные	1	1
в словах	1	3
к тому	3	1
мысли если	1	1
есть следовательно	1	1
совокупностью признаков	1	1
на себе	3	1
слова теперь	1	1
таким же	5	1
исходною точкою	1	1
заставляет нас	1	1
в эту	1	3
поэтическое произведение	1	1
человека на	1	1
перед нами	1	1
одной стороны	1	3
только как	4	6
бы не	3	5
звука и	1	10
из них	1	5
мысли в	2	3
считаем нужным	1	1
и для	2	3
не более	1	1
на нашу	1	1
времени в	1	1
это только	1	1
что только	2	2
быть может	4	7
от сознания	1	2
для человека	4	1
мы в	3	3
в сравнении	4	2
сами по	2	7
на память	1	2
до степени	1	1
но даже	2	3
вообще и	3	2
оно связано	1	1
что так	2	1
и вместе	3	4
из виду	2	1
или только	1	1
руку к	1	1
всех остальных	4	1
одного и	1	6
в душе	1	23
которые мы	2	3
по себе	11	15
не потому	1	1
даже и	3	2
не менее	5	5
еще не	3	4
перейти к	1	1
с ним	5	5
так в	3	4
себе содержание	1	1
заметим что	3	1
самое слово	4	1
правда мы	1	1
но на	1	2
слова как	1	1
эти звуки	1	2
образом мы	3	2
именно того	1	1
представление исчезает	1	1
на все	1	3
имеем в	1	1
в данное	1	2
других вполне	1	1
в звуке	1	10
а в	5	8
тому что	2	2
наблюдения над	1	1
каждом шагу	1	1
и чувство	1	1
убедиться что	1	1
и более	4	1
только с	1	1
в каждом	3	2
человеческого развития	2	1
и тогда	1	3
с одним	1	1
до такой	5	1
со звуками	1	2
на которую	1	1
и язык	1	1
на них	1	1
как ни	2	1
потому только	1	1
но заключает	1	1
не исключительно	1	1
дело в	1	1
этот способ	1	1
с первого	1	2
что человек	3	1
ни был	3	2
в нашем	2	2
настолько насколько	1	3
с этою	1	2
но с	1	1
и без	2	1
с человеком	1	1
и восприятие	1	1
следовательно два	1	1
и на	3	8
теми же	2	1
бы на	1	1
которые в	1	1
от друга	1	1
все члены	1	1
к другу	1	1
душевной жизни	3	7
есть уже	4	1
от него	2	4
возможно только	3	1
по крайней	5	5
в одно	1	8
же следует	1	1
наших глазах	1	1
живым и	1	1
что одно	1	1
в ряд	2	1
понять что	1	1
состоянии дать	1	1
стало быть	8	4
не имели	2	1
таким путем	1	4
для того	6	5
состоянии были	1	1
языке и	4	1
как и	14	7
и чем	2	1
тому как	2	4
но еще	1	1
или что	2	2
потому что	33	49
общим признаком	1	1
представлений и	2	3
друг друга	2	2
что с	1	2
на котором	4	1
представляем себе	1	1
не замечается	1	1
говорим например	1	1
чувственных восприятий	2	3
двух мысленных	1	1
в самом	3	4
одно целое	1	4
внутренняя форма	2	4
на том	2	1
это последнее	4	4
же время	3	2
например что	2	2
тогда как	4	10
внешними предметами	1	1
смысле что	1	1
в то	4	6
придать значение	1	1
по отношению	10	2
никогда не	3	4
легко заметить	1	1
и то	5	3
внимание на	5	2
с себя	1	1
только содержание	1	1
что есть	3	2
мысль представление	1	2
своих слов	1	1
и в	23	24
новое восприятие	2	4
как оно	2	2
так же	4	2
без всякого	1	1
так что	5	10
предполагают уже	1	1
есть объясняет	1	1
к сознанию	2	1
так как	14	10
и только	3	6
но не	1	12
звуков есть	1	1
говорящего и	2	1
вообще при	1	1
доказать что	1	1
приблизительно так	1	3
не в	11	13
мы произносим	1	2
кроме этого	1	2
если оно	2	1
как скоро	3	1
для нас	14	31
способности к	1	1
слово только	1	1
развивается только	2	1
по мнению	1	1
колебаться в	1	1
есть в	5	2
последнее имеет	1	2
на этом	1	2
мы должны	2	2
не была	1	1
воспоминание его	1	1
а между	4	4
и во	1	3
ход мысли	1	1
в которых	3	1
в наше	1	1
оба эти	1	2
не могут	2	7
бы он	1	1
почти совершенно	1	1
представить себе	2	1
как с	1	1
