4gram	Potebnia_Myslijsyk_partition_part3_wordlist_4gram	Potebnia_Myslijsyk_partition_part2_wordlist_4gram
с ним то есть	1	1
переходит от одной мысли	1	1
может быть не только	1	1
но тем не менее	3	2
которое мы выше называли	1	1
в том смысле что	1	1
в свою очередь есть	1	1
только по мере того	1	1
в то время как	3	1
а в том как	1	2
том смысле в каком	1	1
а между тем в	1	1
в одно время с	1	1
или по крайней мере	2	1
по мере того как	4	3
только в том что	1	2
было бы невозможно но	2	1
по себе не может	1	1
смысле этого слова и	1	1
одно из них не	1	1
если б мы не	1	1
не в том что	1	3
что само по себе	1	1
не заключает в себе	2	2
независимо от нашего знания	1	1
с одной стороны и	1	1
по себе потому что	1	1
первое время его жизни	1	1
не можем себе представить	1	1
одной и той же	1	2
в первое время его	1	1
может и не иметь	1	1
и в таком случае	1	1
того кто знает как	1	1
одно и то же	2	5
что одно и то	1	1
в то же время	2	5
в том смысле в	1	1
то что мы называем	2	1
в то время когда	1	1
один и тот же	1	1
для нас известными отношениями	1	1
мы не можем себе	1	1
мере того как мы	1	1
только после того как	1	1
в таком случае они	1	1
отсюда можно заключить что	1	2
и та и другая	1	1
от одной мысли к	1	1
в том что он	1	2
не горит а тлеет	1	1
в том что оно	1	2
