4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part7_wordlist_4gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part4_wordlist_4gram
в том числе и	2	2
шаривари начала xiv века	1	1
начала и до конца	3	2
то же время они	1	1
превращение крови в вино	1	1
кн iii гл xxviii	1	1
ябедников в доме де	1	1
как мы уже говорили	4	1
и до наших дней	1	1
тем чем они были	1	1
с начала и до	3	2
о которой мы уже	1	1
в доме де баше	3	2
другими словами он хочет	1	1
за то что тот	1	1
описании шаривари начала xiv	1	1
через все средневековье и	1	1
были чрезвычайно распространены в	1	1
на самом же деле	2	1
с образами материально-телесного низа	1	1
с самого начала связывается	1	1
в романе рабле это	1	1
огня сжигающего старый мир	1	1
доме де баше и	1	1
в описании шаривари начала	1	1
в то же время	8	9
же амбивалентна как и	1	1
то же время это	1	1
дело в том что	1	2
так же амбивалентна как	1	1
мы уже знаем что	1	1
кн i гл xx	1	1
у рабле как мы	1	1
в своем романе рабле	1	1
с амбивалентным материально-телесным низом	1	1
власти и старой правды	1	1
но в то же	1	3
старой власти и старой	1	1
в приведенном нами отрывке	1	1
