4gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_4gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_4gram
неотразимо возвышает его ум	1	1
словом о себе самом	1	1
правде правда неотразимо возвышает	1	1
изменяется сравнительно с беспорядочным	1	1
правда неотразимо возвышает его	1	1
в речах хромоножки в	1	1
от какой бы то	1	1
и в то же	5	2
к концу даже тон	1	1
из подполья не только	2	1
и сердце к концу	1	1
и наконец в житии	1	1
то же время не	2	3
человек из подполья не	1	1
как мы уже говорили	1	1
тем что он есть	1	1
к себе самому и	4	1
и в этом смысле	1	2
не появляется в его	1	1
к правде правда неотразимо	1	1
возвышает его ум и	1	1
тон рассказа изменяется сравнительно	1	1
у достоевского никогда не	1	1
на вопрос кто он?	1	2
с самого начала все	1	1
но на самом деле	4	1
его ум и сердце	1	1
не входит в его	1	1
ум и сердце к	1	1
потому что у вас	1	1
в его произведениях но	1	1
большей или меньшей степени	1	1
отношении друг к другу	1	1
какой бы то ни	1	1
а в то же	1	2
собрать свои мысли в	1	1
бы то ни было	4	1
в то же время	12	9
бы он ни был	3	2
с беспорядочным началом его	1	1
его к тому что	1	1
макара долгорукого и наконец	1	1
концу даже тон рассказа	1	1
в отношении друг к	1	1
человек из подполья но	1	1
самосознание и слово героя	1	1
во всяком случае не	1	1
и во всяком случае	1	1
рассказа изменяется сравнительно с	1	1
и по отношению к	1	1
в большей или меньшей	1	1
каков бы он ни	1	1
сердце к концу даже	1	1
свои мысли в точку	1	1
кругозор самого героя и	1	2
но в то же	3	5
в кругозор самого героя	1	3
наконец в житии зосимы	1	1
даже тон рассказа изменяется	1	1
сравнительно с беспорядочным началом	1	1
долгорукого и наконец в	1	1
