3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram
к значению слова	1	1
к частному и	1	2
это означает что	1	2
ребенок относительно поздно	1	1
и к другому	1	1
не только в	1	1
из того что	1	3
ту мысль что	1	1
связи и отношения	1	1
не могут быть	1	2
в сотрудничестве с	1	3
которого еще не	1	1
силу того что	2	5
процесс их образования	1	1
можно было бы	5	5
все эти особенности	1	1
что мы не	1	1
и того же	4	4
в новую структуру	1	1
для того чтобы	7	8
ступени в развитии	1	2
к одному и	1	1
этой точки зрения	2	1
на то что	3	4
экспериментальном исследовании образования	1	1
друг с другом	5	5
и то что	2	2
вместе с тем	10	2
же по своей	1	1
что иное как	1	1
в этом случае	1	2
данной ступени развития	2	1
показывает исследование является	1	1
где они будут	1	1
на первый план	2	1
является то что	4	1
можем представить себе	1	1
но не для	1	1
в том числе	1	1
только тому что	1	1
могли бы сказать	3	2
не станем сейчас	1	1
мы показали выше	1	1
как и в	2	1
медленно и постепенно	1	1
зависимости от этого	2	1
этом и заключается	2	1
друг от друга	1	1
в детском возрасте	2	1
речи в этом	1	1
ступени развития понятий	1	2
то каким образом	1	1
понятиям но как	1	1
с помощью которого	2	1
мы остановились на	1	1
совпадает с тем	1	1
таким образом что	2	1
если принять во	1	2
нам станет ясно	1	1
в мышлении ребенка	4	2
в школьном возрасте	1	8
в основе этого	2	2
то и другое	4	1
понятий так же	2	1
скажем только что	1	2
что оно не	1	1
той или иной	2	1
что возникает в	1	1
у ребенка и	7	1
благодаря этому возникает	3	1
мы видели что	3	3
мы могли бы	7	9
мы имели возможность	4	1
что как бы	1	1
что и в	5	1
не по типу	1	1
включает в себя	2	1
как показывают исследования	1	1
к тому что	1	7
в зависимости от	5	5
тот факт что	5	1
и в этом	2	1
новая ступень в	1	2
так как их	1	1
одного и того	4	4
как и все	1	1
если бы оно	1	2
на одном и	1	1
значение для всей	1	1
в понятии и	1	1
одной и той	2	3
по сравнению со	1	1
время как в	1	1
то обстоятельство что	3	1
детской речи как	1	1
так как она	2	1
по своей психологической	2	1
по сравнению с	3	14
высшей ступени к	1	1
одним из главнейших	1	1
общего к частному	3	2
не что иное	1	1
так же точно	3	3
до последнего времени	1	1
то что мы	2	2
же как и	4	1
в том что	17	19
мы не станем	4	2
в то время	4	6
и через него	1	1
именно в силу	1	1
с внутренней стороны	1	1
того же по	1	1
не потому что	1	1
к выводу что	2	1
вперед по сравнению	1	1
в развитии ребенка	2	1
ребенка к овладению	1	1
ступень в развитии	6	4
ее достижения в	1	1
что переход от	1	1
не столько на	1	1
